"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"9HA4455","2021-09-01T00:00:00","25.30","-77.40",,,"1","4","0","0","8","3","1","0","360","4","51",,"97","1","0","10150","4","0","0","290","0","270","263","1","280","1","1","1","4","A","A",,,,"0",,,"242","57","992","114","5","1","2","1","111111","11111111111A31",,,"1","0","0",,,,,,,,,,"4"
"C6FM8","2021-09-01T00:00:00","26.30","-79.20",,,"1","5","2","5","3","1","1",,,,,,,,,"10125","2","3",,,,,,,,,,"A",,"A","A",,,,,,,"242","69","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"5",,,,,,,,,,,,,
"C6FN5","2021-09-01T00:00:00","25.60","-77.50",,,"1","5","2","5","8","3","1",,,,,,,,,"10127","1","9","8","286",,"258","248",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"H3GR","2021-09-01T00:00:00","25.80","-78.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10131","3","2","8","284",,"247","233",,,,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"J8QX6","2021-09-01T00:00:00","20.80","-71.60",,,"1","4","0","0","7","3","1","0","320","4","46",,"98","3","9","10126","0","2","0","266","0","244","236","1","270",,,,"A",,,,"4","1","0",,,"242","1","992","114","5","1","2","1","111111","11111111118131",,,"1","9","0",,,,,,,,,,"4"
"J8QY2","2021-09-01T00:00:00","24.20","-75.00",,,"1","6","2","5","7","3","1",,"140","4","10","1","98",,"1","10118","3","8","8","277",,"261","256","1","260","4","1","3","5","7","A",,"1","1","14","2","1","242","45","798","172","5","1","2","1","111111","111A1111111111",,"5",,"1",,,,,,,,,,,
"KPDL","2021-09-01T00:00:00","22.30","-70.60",,,"1","5","2","5","7","5","1",,,,,,,,,"10105","3","6","8","284",,"248","234",,,,,"A",,"A","A",,,,,,,"242","20","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"SPGF1","2021-09-01T00:00:00","26.70","-78.99",,,"1","4","2","5",,,"5","0","130","4","15",,,,,"10129","5","0",,"286",,,,,,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F1111F","11AAA11AAAAAA1","31",,"6",,,,,,,,,,,,"4"
"WTDH","2021-09-01T00:00:00","28.80","-78.90",,,"1","4","0","0",,,"1","0","240","4","108",,"98","2",,"10121",,,"0","282",,,,,,,,,"A",,,,,,,,,"242","88","992","114","5","0",,"1","F1111F","1111A11AAA8AAA",,,"3",,,,,,,,,,,,"4"
"WTEO","2021-09-01T00:00:00","27.80","-79.90",,,"1","6","2","5","9",,"1",,"150","4","46",,,,,"10121",,,"8","295",,,"225","3","310",,,"A",,"A","A",,,,,,,"242","79","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T00:10:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","158",,"20",,,,,"10122",,,"8","282",,,"231","9","297",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T00:10:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","166",,"19",,,,,"10127",,,"8","284",,,"229","9","296",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T00:20:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","159",,"23",,,,,"10122",,,"8","281",,,"229","9","297",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T00:20:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","154",,"17",,,,,"10128",,,"8","283",,,"229","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T00:30:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","166",,"24",,,,,"10123",,,"8","281",,,"230","9","298",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T00:30:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","146",,"18",,,,,"10129",,,"8","284",,,"231","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"WDJ4838","2021-09-01T00:33:00","22.89","-71.53",,,"1","5","2","5","9",,"1","5","133",,"123",,,,,"10110",,,"8","271",,,,,,,,,,,,,,,,,,"242","21","798","172","5","0",,"1","F1111F","11AAA11AAAAAAA",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T00:40:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","169",,"23",,,,,"10125",,,"8","281",,,"230","9","301",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T00:40:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","131",,"14",,,,,"10130",,,"8","283",,,"229","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T00:50:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","177",,"26",,,,,"10127",,,"8","281",,,"229","9","300",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T00:50:00","27.50","-71.50",,,"1","4",,"0",,,"11","0","130","1","10",,,,,"10131",,,,"283",,,"229","1","295",,,,,,,,"10","2","7","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,,,,,"4"
"1301573","2021-09-01T01:00:00","24.85","-70.67",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"242","40","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1301578","2021-09-01T01:00:00","25.08","-71.42",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,,"242","51","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1701631","2021-09-01T01:00:00","24.42","-72.47",,,"1","4","2","5",,,"11",,,,,,,,,"10138",,,"8",,,,,"9","306",,,,,,,,,,,,,"242","42","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"1701634","2021-09-01T01:00:00","28.73","-71.68",,,"1","4","2","5",,,"11",,,,,,,,,"10142",,,"8",,,,,"9","294",,,,,,,,,,,,,"242","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"3FPQ9","2021-09-01T01:00:00","25.80","-78.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10131","3","11","8","278",,"269","266",,,,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T01:00:00","28.90","-78.50",,,"1","4",,"0",,,"11","0","160","1","20",,,,,"10127","3","5",,"282",,,"232","1","300",,,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,,,,"4"
"4100047","2021-09-01T01:00:00","27.50","-71.50",,,"1","4",,"0",,,"11","0","110","1","10",,,,,"10132","3","12",,"283",,,"229","1","295",,,,,,,,,,,,,"242","71","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,,,,"4"
"4101570","2021-09-01T01:00:00","29.17","-79.29",,,"1","4","2","5",,,"11",,,,,,,,,"10118",,,"8",,,,,"9","298",,,,,,,,,,,,,"242","99","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"4101669","2021-09-01T01:00:00","21.45","-71.13",,,"1","3","2","5",,,"11",,,,,,,,,"10125",,,,,,,,,,,,,,,,,,,,,,"242","11","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"4401556","2021-09-01T01:00:00","21.20","-73.02",,,"1","3","2","5",,,"11",,,,,,,,,"10124",,,,,,,,,,,,,,,,,,,,,,"242","13","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"4401562","2021-09-01T01:00:00","28.55","-71.35",,,"1","4","2","5",,,"11",,,,,,,,,"10137",,,"8",,,,,"9","293",,,,,,,,,,,,,"242","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"6202646","2021-09-01T01:00:00","21.17","-73.03",,,"1","3","2","5",,,"11",,,,,,,,,"10124",,,,,,,,,,,,,,,,,,,,,,"242","13","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"6203636","2021-09-01T01:00:00","23.18","-75.08",,,"1","4","2","5",,,"11",,,,,,,,,"10127",,,"8",,,,,"9","265",,,,,,,,,,,,,"242","35","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"C6FM8","2021-09-01T01:00:00","26.30","-79.10",,,"1","5","2","5","3","1","1",,,,,,,,,"10129","2","9",,,,,,,,,,"A",,"A","A",,,,,,,"242","69","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"5",,,,,,,,,,,,,
"C6FN5","2021-09-01T01:00:00","25.80","-77.60",,,"1","5","2","5","8","4","1",,,,,,,,,"10136","3","14","8","285",,"248","234",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"C6FV9","2021-09-01T01:00:00","26.00","-77.90",,,"1","6","2","5","3","2","1",,"80","4","26","1","98","0",,"10121","3","16","8","280",,,,"1","300",,,"A",,"A","A",,,,,,,"242","67","798","172","5","1","2","1","11111F","1111A11AA18AA1",,"5",,,,,,,,,,,,,
"C6SJ5","2021-09-01T01:00:00","25.80","-78.00",,,"1","6","2","5","9","0","1",,"60","4","26",,,,,"10133",,,"8","293",,,,"7","299",,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","11111F","11AAA11AA18AAA",,"5",,,,,,,,,,,,,
"H3GR","2021-09-01T01:00:00","25.80","-78.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10137","3","10","8","282",,"247","234",,,,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"J8QY2","2021-09-01T01:00:00","24.40","-75.20",,,"1","4","0","0","7","3","1","0","140","4","21",,"97",,"1","10126","3","15","0","280","0","274","272","1","260",,,,"A",,,,"2","0",,,,"242","45","992","114","5","1","2","1","111111","111A11111181A1",,,"1","1",,,,,,,,,,,"4"
"KPDL","2021-09-01T01:00:00","22.50","-70.90",,,"1","5","2","5","7","5","1",,,,,,,,,"10107","3","6","8","285",,"249","235",,,,,"A",,"A","A",,,,,,,"242","20","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"SPGF1","2021-09-01T01:00:00","26.70","-78.99",,,"1","4","2","5",,,"5","0","170","4","15",,,,,"10135","3","9",,"282",,,,,,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F1111F","11AAA11AAAAAA1","31",,"6",,,,,,,,,,,,"4"
"V7UT7","2021-09-01T01:00:00","27.20","-79.40",,,"1","5","2","5","4","3","1",,"180","3","46","1","98","2","1","10080","4","0","8","280",,"240","220",,,"4","4","A","8","A","A",,"2","2","18","1","1","242","79","798","172","5","1","2","1","F11111","111111111A1111",,"5",,"1","18","1","1",,,,,,,,
"WTDH","2021-09-01T01:00:00","29.40","-78.20",,,"1","4","0","0",,,"1","0","180","4","46",,"98","2",,"10136",,,"0","283",,,,,,,,,"A",,,,,,,,,"242","98","992","114","5","0",,"1","F1111F","1111A11AAA8AAA",,,"3",,,,,,,,,,,,"4"
"WTEO","2021-09-01T01:00:00","27.70","-79.90",,,"1","6","2","5","9",,"1",,"160","4","57",,,,,"10127",,,"8","296",,,"228","3","312",,,"A",,"A","A",,,,,,,"242","79","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T01:10:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","164",,"26",,,,,"10129",,,"8","281",,,"231","9","300",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T01:10:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","101",,"20",,,,,"10133",,,"8","283",,,"229","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T01:20:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","164",,"25",,,,,"10131",,,"8","282",,,"231","9","299",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T01:20:00","27.46","-71.47",,,"1","5","2","5",,,"11",,"100",,"21",,,,,"10134",,,"8","283",,,"228","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T01:30:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","166",,"25",,,,,"10132",,,"8","282",,,"231","9","299",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T01:30:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","118",,"22",,,,,"10135",,,"8","283",,,"227","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T01:40:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","148",,"30",,,,,"10131",,,"8","282",,,"233","9","299",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T01:40:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","119",,"19",,,,,"10135",,,"8","283",,,"229","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"WDJ4838","2021-09-01T01:43:00","23.17","-71.88",,,"1","5","2","5","9",,"1","5","135",,"108",,,,,"10120",,,"8","271",,,,,,,,,,,,,,,,,,"242","31","798","172","5","0",,"1","F1111F","11AAA11AAAAAAA",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T01:50:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","152",,"35",,,,,"10132",,,"8","282",,,"233","9","298",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T01:50:00","27.50","-71.50",,,"1","4",,"0",,,"11","0","110","1","20",,,,,"10135",,,,"283",,,"229","1","295",,,,,,,,"10","3","10","10","3","242","71","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,,,,,"4"
"WTDH","2021-09-01T01:57:00","29.42","-78.22",,,"1","5","2","5","2","2","1","5","172",,"41",,,,,,,,,,,,,,,,,,,,,,,,,,,"242","98","798","172","5","0",,"1","FF11FF","11AAAAAAAAAAAA",,"5",,,,,,,,,,,,,
"1301573","2021-09-01T02:00:00","24.84","-70.67",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"242","40","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1301578","2021-09-01T02:00:00","25.08","-71.42",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"242","51","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,
"1701631","2021-09-01T02:00:00","24.41","-72.47",,,"1","4","2","5",,,"11",,,,,,,,,"10141",,,"8",,,,,"9","304",,,,,,,,,,,,,"242","42","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"1701634","2021-09-01T02:00:00","28.73","-71.68",,,"1","4","2","5",,,"11",,,,,,,,,"10144",,,"8",,,,,"9","293",,,,,,,,,,,,,"242","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"4100010","2021-09-01T02:00:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","152",,"33",,,,,"10132",,,"8","282",,,"232","9","298",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T02:00:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","103",,"23",,,,,"10135",,,"8","283",,,"228","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4101570","2021-09-01T02:00:00","29.17","-79.29",,,"1","4","2","5",,,"11",,,,,,,,,"10123",,,"8",,,,,"9","298",,,,,,,,,,,,,"242","99","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"4101669","2021-09-01T02:00:00","21.45","-71.13",,,"1","3","2","5",,,"11",,,,,,,,,"10135",,,,,,,,,,,,,,,,,,,,,,"242","11","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"4401556","2021-09-01T02:00:00","21.20","-73.02",,,"1","3","2","5",,,"11",,,,,,,,,"10132",,,,,,,,,,,,,,,,,,,,,,"242","13","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"4401562","2021-09-01T02:00:00","28.55","-71.35",,,"1","4","2","5",,,"11",,,,,,,,,"10141",,,"8",,,,,"9","292",,,,,,,,,,,,,"242","81","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"6202646","2021-09-01T02:00:00","21.17","-73.03",,,"1","3","2","5",,,"11",,,,,,,,,"10133",,,,,,,,,,,,,,,,,,,,,,"242","13","798","172","7","0",,"1","FFFF1F","1AAAA1AAAAAAAA","4",,,,,,,,,,,,,,
"6203636","2021-09-01T02:00:00","23.18","-75.08",,,"1","4","2","5",,,"11",,,,,,,,,"10131",,,"8",,,,,"9","263",,,,,,,,,,,,,"242","35","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9HA4455","2021-09-01T02:00:00","25.80","-77.80",,,"1","6","2","5","6","3","1",,"60","4","36","1","97","2",,"10160",,,"8","280",,"250","239","1","250",,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","411111","1111A111118AAA",,"5",,,,,,,,,,,,,
"C6FM8","2021-09-01T02:00:00","26.20","-79.00",,,"1","5","2","5","3","1","1",,,,,,,,,"10136","2","17",,,,,,,,,,"A",,"A","A",,,,,,,"242","69","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AA1",,"5",,,,,,,,,,,,,
"C6FN5","2021-09-01T02:00:00","25.90","-77.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10142","3","17","8","285",,"253","241",,,,,"A",,"A","A",,,,,,,"242","57","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"H3GR","2021-09-01T02:00:00","25.80","-78.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10146","3","19","8","281",,"249","237",,,,,"A",,"A","A",,,,,,,"242","58","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"KPDL","2021-09-01T02:00:00","22.80","-71.20",,,"1","5","2","5","7","5","1",,,,,,,,,"10112","3","9","8","285",,"247","232",,,,,"A",,"A","A",,,,,,,"242","21","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"SPGF1","2021-09-01T02:00:00","26.70","-78.99",,,"1","4","2","5",,,"5","0","140","4","15",,,,,"10140","2","16",,"284",,,,,,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F1111F","11AAA11AAAAAA1","31",,"6",,,,,,,,,,,,"4"
"WTDH","2021-09-01T02:00:00","29.40","-78.10",,,"1","4","0","0",,,"1","0","180","4","51",,"98","2",,"10139",,,"0","281",,,,,,,,,"A",,,,,,,,,"242","98","992","114","5","0",,"1","F1111F","1111A11AAA8AAA",,,"3",,,,,,,,,,,,"4"
"WTEO","2021-09-01T02:00:00","27.60","-79.90",,,"1","6","2","5","9",,"1",,"180","4","62",,,,,"10134",,,"8","298",,,"228","3","309",,,"A",,"A","A",,,,,,,"242","79","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,,,,
"4100010","2021-09-01T02:10:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","159",,"33",,,,,"10133",,,"8","282",,,"233","9","298",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T02:10:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","115",,"22",,,,,"10134",,,"8","283",,,"227","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100010","2021-09-01T02:20:00","28.88","-78.48",,,"1","5","2","5",,,"11","5","162",,"33",,,,,"10134",,,"8","282",,,"233","9","297",,,,,,,,,,,,,"242","88","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
"4100047","2021-09-01T02:20:00","27.46","-71.47",,,"1","5","2","5",,,"11","5","118",,"19",,,,,"10134",,,"8","283",,,"227","9","295",,,,,,,,,,,,,"242","71","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,,,,,,,,,,
