"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"EUMDE46","2021-09-02T04:00:00","28.41","33.12",,,"1","5","2","5","3","4","1",,"320",,"125",,,,,"10068","7","9","8","261",,,"217",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T04:00:00","21.40","37.70",,,"1","6","2","5","3","3","1",,,"4",,,,,,"10040","1","22","8","260",,"260","260","1","310",,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","12FF13","17AAA111118AA1","5",,,,,,,,
"EUMDE46","2021-09-02T05:00:00","28.18","33.31",,,"1","5","2","5","3","4","1","5","315",,"124",,,,,"10068","7","3","8","269",,,"224",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WLZ9WHS","2021-09-02T05:00:00","21.40","39.10",,,"1","6","2","5","9","0","1",,"170","3","46",,,,,"10067","1","27","8","310",,"285","276","7","322",,,"A",,"A","A",,,,,,,"217","19","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,,,,,
"WSEP","2021-09-02T05:00:00","21.20","37.80",,,"1","6","2","5","3","3","1",,"240","4","62","1","97",,,"10047","1","21","8","280",,"270","266","1","310","9","9","6","A","A","A",,"3","1","35","3","1","217","17","798","172","5","1","2","2","111111","111AA111111111","5",,,,,,,,
"9HA3538","2021-09-02T06:00:00","21.00","38.10",,,"1","4","0","0",,,"1","0","180","4","21",,"97","1",,"10020",,,"0","320",,,,"1","310","8",,,"A",,,,,"2","34",,"1","217","18","992","114","5","1","2","2","11111F","1111A11AA1133A",,"3",,,,,,,"4"
"9V7989","2021-09-02T06:00:00","21.40","38.00",,,"1","6","2","5","7","4","1",,"210","4","31","1","97","2","2","10082","3","20","8","290",,"280","277","7","308","5","3","6","2","A","A",,"4","1","33","5","1","217","18","798","172","5","0",,"2","111111","11111111111111","5",,"2",,,,,,
"EUMDE46","2021-09-02T06:00:00","27.98","33.54",,,"1","5","2","5","3","4","1",,"310",,"128",,,,,"10071","7","1","8","277",,,"229",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T06:00:00","20.90","37.90",,,"1","4","0","0","3","3","1","0","180","4","41",,"97",,,"10054","3","16","0","310","0","270","254","1","310",,,,"A",,,,,"1","35",,"1","217","7","992","114","5","1","2","2","111111","111AA111118331",,"1",,,,,,,"4"
"EUMDE46","2021-09-02T07:00:00","27.76","33.78",,,"1","5","2","5","3","4","1","5","325",,"148",,,,,"10061","7","7","8","273",,,"227",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T07:00:00","20.70","38.00",,,"1","6","2","5","3","3","1",,"180","4","41","1","97",,,"10055","1","14","8","320",,"270","250","1","310",,,"A",,"A","A",,,"1","35","6","1","217","8","798","172","5","1","2","2","111111","111AA111118311","5",,,,,,,,
"EUMDE22","2021-09-02T08:00:00","20.25","38.94",,,"1","5","2","5","7","4","1",,"200",,"46",,,,,"10062","2","2","8","325",,,"301",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T08:00:00","27.53","34.02",,,"1","5","2","5","3","4","1","5","315",,"102",,,,,"10071","2","3","8","310",,,"239",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T08:00:00","20.50","38.10",,,"1","6","2","5","3","3","1",,"210","4","46","1","97",,,"10053","0","6","8",,,"335","319","1","321",,,"A",,"A","A",,,"1","35","6","2","217","8","798","172","5","1","2","2","171111","111AA166618311","5",,,,,,,,
"9V7989","2021-09-02T09:00:00","22.20","37.60",,,"1","6","2","5","7","4","1",,"270","4","46","1","97","1","1","10072","8","8","8","300",,"280","274","7","306","3","3","6","2","0","0",,"4","1","32","6","2","217","27","798","172","5","0",,"2","111111","11111111111111","5",,"1",,,,,,
"EUMDE22","2021-09-02T09:00:00","20.53","38.77",,,"1","5","2","5","7","4","1","5","205",,"51",,,,,"10056","7","11","8","324",,,"297",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T09:00:00","27.28","34.24",,,"1","5","2","5","3","4","1",,"320",,"93",,,,,"10064","7","6","8","328",,,"238",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T09:00:00","20.40","38.20",,,"1","5","2","5","3","3","1",,,,,,,,,"10051","8","3",,,,,,,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE22","2021-09-02T10:00:00","20.81","38.61",,,"1","5","2","5","7","4","1","5","215",,"54",,,,,"10046","7","20","8","324",,,"296",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T10:00:00","27.00","34.44",,,"1","5","2","5","3","5","1","5","325",,"109",,,,,"10051","7","9","8","339",,,"243",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F51111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T10:00:00","20.20","38.30",,,"1","5","2","5","3","3","1",,,,,,,,,"10045","8","10",,,,,,,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1","5",,,,,,,,
"EUMDE22","2021-09-02T11:00:00","21.08","38.45",,,"1","5","2","5","7","4","1",,"220",,"5",,,,,"10046","7","16","8","317",,,"294",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T11:00:00","26.72","34.65",,,"1","5","2","5","3","5","1",,"330",,"106",,,,,"10046","7","25","8","318",,,"237",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"WSEP","2021-09-02T11:00:00","20.00","38.40",,,"1","6","2","5","3","3","1",,"210","4","31","1","97",,,"10035","8","18","8","350",,"350","350","1","320",,,"A",,"A","A",,"3","2","35","3","2","217","8","798","172","5","1","2","2","131113","111AA116618111","5",,,,,,,,
"9HA3538","2021-09-02T12:00:00","23.10","37.20",,,"1","4","0","0",,,"1","0","20","4","51",,"98","1",,"10030",,,"0","340",,,,"1","303","3",,,"A",,,,,"1","34",,"1","217","37","992","114","5","1","2","2","11111F","1111A11AA1133A",,"3",,,,,,,"4"
"9V7989","2021-09-02T12:00:00","22.90","37.20",,,"1","6","2","5","7","4","1",,"20","4","51","1","97","2","0","10060","7","13","8","310",,"290","284","7","320","2","1","1","3","0","1",,"3","1","33","8","2","217","27","798","172","5","0",,"2","111111","11111111111111","5",,"0",,,,,,
"EUMDE22","2021-09-02T12:00:00","21.36","38.29",,,"1","5","2","5","7","4","1",,"210",,"13",,,,,"10041","7","15","8","320",,,"286",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T12:00:00","26.43","34.85",,,"1","5","2","5","3","4","1","5","335",,"83",,,,,"10042","7","22","8","303",,,"245",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T13:00:00","21.64","38.11",,,"1","5","2","5","7","4","1","5","195",,"14",,,,,"10032","7","14","8","317",,,"283",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T13:00:00","26.16","35.05",,,"1","5","2","5","3","5","1",,"320",,"60",,,,,"10042","7","9","8","302",,,"253",,,,,,,,,,,,,,,"217","65","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE40","2021-09-02T14:00:00","29.93","32.56",,,"1","5","2","5","5","2","1",,,,,,,,,"10069","7","16",,,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","FFFF1F","1AAAA1AAAAAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T14:00:00","21.92","37.95",,,"1","5","2","5","7","4","1",,"230",,"11",,,,,"10025","7","20","8","311",,,"283",,,,,,,,,,,,,,,"217","17","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T14:00:00","25.88","35.26",,,"1","5","2","5","3","5","1","5","355",,"44",,,,,"10040","7","6","8","291",,,"259",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUCDE40","2021-09-02T15:00:00","29.75","32.53",,,"1","5","2","5","4","4","1",,,,,,,,,"10071","7","4",,,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","FFFF1F","1AAAA1AAAAAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T15:00:00","22.19","37.79",,,"1","5","2","5","7","4","1",,"310",,"30",,,,,"10026","7","15","8","308",,,"285",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T15:00:00","25.60","35.45",,,"1","5","2","5","3","4","1","5","345",,"49",,,,,"10038","7","5","8","293",,,"259",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,
"9V7989","2021-09-02T16:00:00","23.90","36.60",,,"1","6","2","5","7","4","1",,"350","4","77","1","97","2","2","10030",,,"8","280",,"260","253","7","300","6","6","6","2","7","7","0","2","0","32","6","2","217","36","798","172","5","0",,"1","111111","1111111111131A","5",,"2",,,,,,
"EUCDE40","2021-09-02T16:00:00","29.45","32.59",,,"1","5","2","5","3","4","1",,,,,,,,,"10069","7","3",,,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T16:00:00","22.46","37.62",,,"1","5","2","5","7","4","1","5","325",,"17",,,,,"10029","7","3","8","305",,,"283",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T16:00:00","25.32","35.65",,,"1","5","2","5","3","5","1","5","285",,"45",,,,,"10036","7","6","8","288",,,"266",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"OYGC2","2021-09-02T16:00:00","29.50","32.50",,,"1","5","2","5","9",,"1",,,,,,,,,"10064","5","2","8","330",,"254","225",,,,,"A",,"A","A",,,,,,,"217","92","798","172","5","1","2","1","F5FF11","1AAAA1111A8AA1","5",,,,,,,,
"EUCDE40","2021-09-02T17:00:00","29.16","32.74",,,"1","5","2","5","4","4","1",,,,,,,,,"10058","7","11",,,,,,,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T17:00:00","22.74","37.47",,,"1","5","2","5","7","4","1",,"30",,"48",,,,,"10032","2","7","8","305",,,"281",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"EUMDE46","2021-09-02T17:00:00","25.03","35.85",,,"1","5","2","5","3","5","1",,"10",,"33",,,,,"10038","7","2","8","287",,,"268",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,
"9HA3538","2021-09-02T18:00:00","24.60","36.30",,,"1","6","2","5","9",,"1",,"50","4","41","1","98",,,"10030",,,"8",,,,,"1","310","3",,"A","A","A","A",,,"1","34",,,"217","46","798","172","5","1","2","1","1F111F","111AA1AAA1137A","5",,,,,,,,
"9V7989","2021-09-02T18:00:00","24.40","36.30",,,"1","6","2","5","7","4","1",,"10","4","57","1","97","2","1","10037","2","14","8","280",,"260","253","7","298","3","3","6","2","0","0",,"5","1","31","6","2","217","46","798","172","5","0",,"1","111111","11111111111111","5",,"0",,,,,,
"EUCDE40","2021-09-02T18:00:00","28.86","32.84",,,"1","5","2","5","4","4","1",,,,,,,,,"10059","7","12",,,,,,,,,,,,,,,,,,,,"217","82","798","172","5","0",,"1","FFFF1F","1AAAA1AAAAAAA1","5",,,,,,,,
"EUMDE22","2021-09-02T18:00:00","23.01","37.31",,,"1","5","2","5","7","4","1","5","85",,"46",,,,,"10045","2","19","8","302",,,"288",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"1","F12111","11AAA11A1AAAA1","5",,,,,,,,
