"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","IND_FOR_PRECIP"
"5100207","2021-09-01T00:00:00","21.50","-157.80",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,,"1","274",,,,"A",,,,"9","1",,,,"234","17","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,,,"4"
"5100208","2021-09-01T00:00:00","22.30","-159.60",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,,"1","269",,,,"A",,,,"9","2",,,,"234","29","993","114","6","0",,"2","1FFFFF","1AAAAAAAA187AA",,,"6",,,,,,,,"4"
"5100211","2021-09-01T00:00:00","21.30","-158.00",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,,"1","267",,,,,,,,"8","1","16","12","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,"4"
"5100212","2021-09-01T00:00:00","21.30","-158.10",,,"1","4","2","0","0","0","11",,,,,,,,,,,,"0",,,,,,"1","277",,,,"A",,,,"10","1","19","11","1","234","18","993","114","6","0",,"2","1FFFFF","1AAAAAAAA1871A",,,"6",,,,,,,,"4"
"5102747","2021-09-01T00:00:00","29.49","-158.47",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,,"9","261",,,,,,,,,,,,,"234","98","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"5102748","2021-09-01T00:00:00","21.47","-151.30",,,"1","4","2","5",,,"11",,,,,,,,,"10140",,,"8",,,,,,"9","262",,,,,,,,,,,,,"234","11","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"5102752","2021-09-01T00:00:00","28.99","-152.13",,,"1","4","2","5",,,"11",,,,,,,,,"10178",,,"8",,,,,,"9","249",,,,,,,,,,,,,"234","82","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"5102760","2021-09-01T00:00:00","27.02","-153.86",,,"1","4","2","5",,,"11",,,,,,,,,"10167",,,"8",,,,,,"9","252",,,,,,,,,,,,,"234","73","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"5201694","2021-09-01T00:00:00","26.37","-155.59",,,"1","4","2","5",,,"11",,,,,,,,,"10163",,,"8",,,,,,"9","257",,,,,,,,,,,,,"234","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"KCDK","2021-09-01T00:00:00","21.30","-157.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10121","8","24",,,,,,,,,,,"A",,"A","A",,,,,,,"234","17","798","172","5","1","2","2","FFFF1F","1AAAA1AAAA8AA1",,"5",,,,,,,,,
"KLIH1","2021-09-01T00:00:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","62",,,,,"10130","7","19","0","257",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,"4"
"KRGB","2021-09-01T00:00:00","21.60","-156.80",,,"1","4","0","0","1","3","1","0","120","4","31",,"98","2","0","10132","7","16","0","278","0","244",,"228","1","250","1","1","3","5","6","2",,"2","0","8","10","4","234","16","992","114","5","1","2","2","111111","11111111111111",,,"1","0",,,,,,,"4"
"KWHH1","2021-09-01T00:00:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","190","4","21",,,,,"10121","6","24","0","281",,,,,"1","277",,,,"A",,,,,,,,,"234","5","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,"4"
"LAQN7","2021-09-01T00:00:00","23.90","-154.30",,,"1","6","2","5","2","3","1",,"100","4","51","1","98","3","1","10140","4","0","8","270",,"230",,"210","7","260","4","4","4","5","4","A",,"6","2","9","10","2","234","34","798","172","5","1","2","2","111111","11111111111111",,"5",,"1",,,,,,,
"MOKH1","2021-09-01T00:00:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","31",,,,,"10131","8","19",,"268",,,,,"1","280",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAA1","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:00:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","70","4","51",,,,,"10136","8","21",,"260",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAA1","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:00:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","40","4","21",,,,,"10129","6","22","0","278",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,"4"
"4601829","2021-09-01T00:01:00","26.31","-152.95",,,"1","4","2","5",,,"11",,,,,,,,,"10161",,,"8",,,,,,"9","259",,,,,,,,,,,,,"234","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
"KLIH1","2021-09-01T00:06:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","62",,,,,"10130",,,"0","258",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:06:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","200","4","15",,,,,"10121",,,"0","281",,,,,"1","277",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:06:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","30","4","36",,,,,"10130",,,,"264",,,,,"1","280",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:06:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","50","4","46",,,,,"10136",,,,"262",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:06:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","230","4","21",,,,,"10128",,,"0","278",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100000","2021-09-01T00:10:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","83",,"62",,,,,"10137",,,"8","249",,,,"209","9","259",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,,,
"KLIH1","2021-09-01T00:12:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","67",,,,,"10129",,,"0","258",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:12:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","210","4","15",,,,,"10120",,,"0","282",,,,,"1","278",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:12:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","20","4","41",,,,,"10130",,,,"263",,,,,"1","280",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:12:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","40","4","41",,,,,"10136",,,,"264",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:12:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","180","4","21",,,,,"10128",,,"0","276",,,,,"1","267",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KLIH1","2021-09-01T00:18:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","67",,,,,"10129",,,"0","257",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:18:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","220","4","15",,,,,"10120",,,"0","282",,,,,"1","278",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:18:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","30","4","41",,,,,"10130",,,,"261",,,,,"1","280",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:18:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","70","4","41",,,,,"10136",,,,"260",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:18:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","290","4","26",,,,,"10128",,,"0","273",,,,,"1","265",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100000","2021-09-01T00:20:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","83",,"79",,,,,"10136",,,"8","241",,,,"210","9","259",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,,,
"KLIH1","2021-09-01T00:24:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","62",,,,,"10129",,,"0","257",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:24:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","230","4","26",,,,,"10119",,,"0","278",,,,,"1","278",,,,"A",,,,,,,,,"234","5","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:24:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","36",,,,,"10130",,,,"266",,,,,"1","280",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:24:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","40","4","36",,,,,"10136",,,,"262",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:24:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","260","4","15",,,,,"10128",,,"0","277",,,,,"1","265",,,,"A",,,,,,,,,"234","17","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100205","2021-09-01T00:26:00","21.02","-156.42",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","265",,,,,,,,,,,,,"234","16","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100207","2021-09-01T00:26:00","21.48","-157.75",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100208","2021-09-01T00:26:00","22.28","-159.57",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","269",,,,,,,,,,,,,"234","29","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100212","2021-09-01T00:26:00","21.30","-158.10",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,,"1","277",,,,,,,,"10","1","19","11","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,"4"
"5100201","2021-09-01T00:27:00","21.67","-158.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","264",,,,,,,,,,,,,"234","18","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100000","2021-09-01T00:30:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","79",,"76",,,,,"10137",,,"8","238",,,,"209","9","259",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,,,
"5100211","2021-09-01T00:30:00","21.30","-158.00",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,,"1","268",,,,,,,,"7","2","16","12","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,"4"
"KLIH1","2021-09-01T00:30:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","67",,,,,"10128",,,"0","258",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:30:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","230","4","46",,,,,"10119",,,"0","275",,,,,"1","278",,,,"A",,,,,,,,,"234","5","995","114","16","1","2","2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:30:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","31",,,,,"10130",,,,"274",,,,,"1","281",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:30:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","50","4","26",,,,,"10136",,,,"268",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:30:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","270","4","15",,,,,"10128",,,"0","277",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KLIH1","2021-09-01T00:36:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","50","4","67",,,,,"10128",,,"0","257",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:36:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","230","4","51",,,,,"10119",,,"0","272",,,,,"1","279",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:36:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","31",,,,,"10130",,,,"278",,,,,"1","281",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:36:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","70","4","36",,,,,"10136",,,,"262",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:36:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","260","4","31",,,,,"10127",,,"0","275",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100000","2021-09-01T00:40:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","73",,"74",,,,,"10136",,,"8","236",,,,"206","9","259",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,,,
"KLIH1","2021-09-01T00:42:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","67",,,,,"10128",,,"0","257",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:42:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","220","4","46",,,,,"10119",,,"0","271",,,,,"1","278",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:42:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","26",,,,,"10129",,,,"273",,,,,"1","281",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:42:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","70","4","31",,,,,"10135",,,,"262",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:42:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","310","4","41",,,,,"10127",,,"0","276",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"KLIH1","2021-09-01T00:48:00","20.90","-156.47",,,"1","4","2","5",,,"5",,,,,,,,,"10128",,,"0","258",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:48:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","220","4","41",,,,,"10118",,,"0","273",,,,,"1","280",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11311F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:48:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","70","4","31",,,,,"10129",,,,"266",,,,,"1","281",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:48:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","40","4","31",,,,,"10135",,,,"265",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1111F","11AAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:48:00","21.30","-157.87",,,"1","4","2","5",,,"5","0","10","4","10",,,,,"10127",,,"0","282",,,,,"1","266",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100000","2021-09-01T00:50:00","23.50","-153.80",,,"1","4",,"0",,,"11","0","70","1","60",,,,,"10136",,,,"235",,,,"202","1","258",,,,,,,,"5","1","12","8","2","234","33","793","103","6","1","2","2","111111","11AAA11A11A11A",,,"6",,,,,,,,"4"
"KLIH1","2021-09-01T00:54:00","20.90","-156.47",,,"1","4","2","5",,,"5",,,,,,,,,"10127",,,"0","259",,,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,"4"
"KWHH1","2021-09-01T00:54:00","20.04","-155.83",,,"1","4","2","5",,,"5",,,,,,,,,"10118",,,"0","274",,,,,"1","279",,,,"A",,,,,,,,,"234","5","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,"4"
"MOKH1","2021-09-01T00:54:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","70","4","36",,,,,"10129",,,,"266",,,,,"1","281",,,,,,,,,,,,,"234","17","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,"4"
"NWWH1","2021-09-01T00:54:00","21.95","-159.36",,,"1","4","2","5",,,"5",,,,,,,,,"10134",,,,"266",,,,,,,,,,,,,,,,,,,"234","19","795","103","16","1","2","2","F1FF1F","1AAAA11AAAAAAA","31",,"6",,,,,,,,"4"
"OOUH1","2021-09-01T00:54:00","21.30","-157.87",,,"1","4","2","5",,,"5",,,,,,,,,"10126",,,"0","284",,,,,"1","265",,,,"A",,,,,,,,,"234","17","995","114","16","1","2","2","11FF1F","1AAAA11AA18AAA","31",,"6",,,,,,,,"4"
"5100205","2021-09-01T00:56:00","21.02","-156.42",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","265",,,,,,,,,,,,,"234","16","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100207","2021-09-01T00:56:00","21.48","-157.75",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","274",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100208","2021-09-01T00:56:00","22.28","-159.57",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","269",,,,,,,,,,,,,"234","29","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"5100212","2021-09-01T00:56:00","21.30","-158.10",,,"1","4",,"0",,,"11",,,,,,,,,,,,,,,,,,"1","275",,,,,,,,"10","1","19","12","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,"4"
"5100201","2021-09-01T00:57:00","21.67","-158.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","264",,,,,,,,,,,,,"234","18","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,
"2101599","2021-09-01T01:00:00","22.43","-157.22",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","279",,,,,,,,,,,,,"234","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"3201761","2021-09-01T01:00:00","22.19","-154.30",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,,"9","266",,,,,,,,,,,,,"234","24","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,
"4601767","2021-09-01T01:00:00","27.35","-155.17",,,"1","4","2","5",,,"11",,,,,,,,,"10162",,,"8",,,,,,"9","259",,,,,,,,,,,,,"234","75","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,
