"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"WDDI","2019-09-03T06:00:00","25.70","-114.40",,,"1","6","2","5","7","3","1",,"300","3","72","1","98","1","0","10148","4","0","8","240",,"220","210","1","250","0","0","0","9","0","0",,"3","2",,,,"238","54","798","172","5","1","2","1","111111","111111111111A1",,"5",,"0",,,,,,,,,,
"WDDI","2019-09-03T12:00:00","27.00","-115.60",,,"1","6","2","5","7","4","1",,"310","3","36","1","98","2","0","10133","7","9","8","219",,"213","210","1","241",,,"A",,"A","A",,"3","1",,,,"238","75","798","172","5","1","2","1","111111","111111111181A1",,"5",,"0",,,,,,,,,,
"WDDI","2019-09-03T18:00:00","28.20","-116.60",,,"1","4","0","0","7","3","1","0","320","3","46",,"98","3","1","10154","4","0","0","220","0","210","205","1","210","7","7","4","5","A","A",,"1","0","34","4","1","238","86","992","114","5","1","2","2","111111","11111111111111",,,"1","1",,,,,,,,,,"4"
"A8MW6","2019-09-03T20:00:00","24.90","-113.30",,,"1","6","2","5","7","4","1",,"290",,"77","1","98","1","0","10110","8","10","8","260","0","230","218","3","300","2","1","5","5","4","1","29","11","3","19","13","4","238","43","798","172","5","0",,"2","111111","11111111111111",,"5",,"0","20","14","4",,,,,,,
"VRSG3","2019-09-03T20:00:00","23.90","-112.80",,,"1","6","2","5","9",,"1",,"320","3","77",,,"2",,"10210",,,"8","260",,,,"3","250","0","0","A","9","A","A",,,"1",,,,"238","32","798","172","5","1","2","2","11115F","11A1A11AA113AA",,"5",,,,,,,,,,,,
"A8MW6","2019-09-04T10:00:00","28.10","-115.80",,,"1","6","2","5","8","4","1",,"310",,"77","1","98","2","1","10110","8","5","8","210","0","185","172","3","250","3","2","5","5","4","5","31","11","3","19","14","4","238","85","798","172","5","0",,"1","111111","11111111111111",,"5",,"1","20","15","4",,,,,,,
"WDI3177","2019-09-04T19:00:00","29.50","-116.50",,,"1","6","2","5","7","4","1",,"330","4","62","1","98","2","0","10151",,,"8","220",,"210","205","1","210","2","2","1","2","7","A",,"4","3","33","10","5","238","96","798","172","5","1","2","2","111111","1111111111111A",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-04T21:00:00","21.10","-110.20",,,"1","6","2","5","7","3","1",,"250","4","31","1","98","2","0","10136","4","0","8","320",,"310","307","7","320","4","4","4","5","4","4",,"10","3","27","10","3","238","10","798","172","5","1","2","2","311111","11111111111111",,"5",,"0",,,,,,,,,,
"VRBH6","2019-09-05T06:00:00","25.50","-113.70",,,"1","4","0","0","7","4","1","0","220","4","93",,"98",,"1","10196","7",,"0","260","0","240","231",,,"5","3","A","A","A","A",,,,"38",,"2","238","53","992","114","5","1","2","1","F11331","111A11111A1A37",,,"1","1",,,,,,,,,,"4"
"VRSH3","2019-09-05T06:00:00","21.80","-111.80",,,"1","4","0","0","7","3","1","0","220","4","57",,"98","2","0","10136","4","0","0","260","0","250","246",,"270","3","3","1","5","9","A",,"8","3","23","8","3","238","11","992","114","5","1","2","1","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
"VRSH3","2019-09-05T09:00:00","22.10","-112.30",,,"1","4","0","0","7","3","1","0","220","4","57",,"98","2","0","10136","4","0","0","260","0","250","246",,"270","3","3","1","5","9","A",,"8","3","23","8","3","238","22","992","114","5","1","2","1","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
"VRSH3","2019-09-05T18:00:00","22.80","-113.80",,,"1","6","2","5","7","2","1",,"220","4","57","1","98","2","0","10146","4","0","8","310",,"300","297","7","300","3","3","1","5","4","4",,"8","5","24","8","5","238","23","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-05T21:00:00","22.00","-114.40",,,"1","6","2","5","7","2","1",,"180","4","51","1","98","2","0","10156","4","0","8","320",,"310","307","7","310","3","3","1","5","4","4",,"8","5","23","8","5","238","24","798","172","5","1","2","2","551311","11111111111111",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-06T00:00:00","23.20","-114.90",,,"1","6","2","5","7","3","1",,"180","4","51","1","98","2","0","10156","4","0","8","320",,"310","307","7","320","4","4","1","5","4","4",,"8","4","23","8","4","238","34","798","172","5","1","2","2","551311","11111111111111",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-06T03:00:00","23.40","-115.30",,,"1","6","2","5","7","2","1",,"180","4","51","1","98","2","2","10156","4","0","8","280",,"270","266","7","280","4","4","1","5","4","4",,"8","4","23","8","4","238","35","798","172","5","1","2","1","111311","11111111111111",,"5",,"2",,,,,,,,,,
"3EUS","2019-09-06T06:00:00","25.30","-113.30",,,"1","6","2","5","7","4","1",,"310","4","77","1","98","2",,"10140","4","0","8","250",,"240","235","7","260","0","0","0","9","0","0",,"2","2","30","5","3","238","53","798","172","5","1","2","1","111111","1111A111111111",,"5",,,,,,,,,,,,
"VRSH3","2019-09-06T06:00:00","23.60","-115.80",,,"1","6","2","5","7","2","1",,"140","4","51","1","90","12","4","10166","1","10","8","260",,"250","246","7","280","7","7","7","5","A","A",,"8","4","23","8","4","238","35","798","172","5","1","2","1","111111","11111111111111",,"5",,"2",,,,,,,,,,
"VRSH3","2019-09-06T09:00:00","23.00","-116.30",,,"1","6","2","5","7","3","1",,"150","4","46","1","91","12","4","10166","4","0","8","250",,"240","235","7","280","7","7","7","2","A","A",,"8","4","23","8","4","238","36","798","172","5","1","2","1","111311","11111111111111",,"5",,"2",,,,,,,,,,
"VRSH3","2019-09-06T15:00:00","24.30","-117.30",,,"1","6","2","5","7","2","1",,"170","4","62","1","99","1","1","10176",,,"8","290",,"280","276","7",,"5","3","5","5","6","8",,"10","4","23","12","6","238","47","798","172","5","1","2","2","731511","1111111111111A",,"5",,"1",,,,,,,,,,
"VRSH3","2019-09-06T18:00:00","24.50","-117.90",,,"1","6","2","5","7","2","1",,"90","4","62","1","98","1","0","10186",,,"8","300",,"290","287","7",,"4","3","1","6","4","5",,"10","4","24","12","6","238","47","798","172","5","1","2","2","752111","1111111111111A",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-06T21:00:00","24.70","-118.40",,,"1","6","2","5","7","3","1",,"60","4","46","1","98","2","2","10186","4","0","8",,,"310","307","7",,"6","6","5","5","4","4",,"10","4","24","10","6","238","48","798","172","5","1","2","2","771111","11111116611111",,"5",,"2",,,,,,,,,,
"VRSH3","2019-09-07T03:00:00","25.10","-119.50",,,"1","6","2","5","7","2","1",,"50","4","62","1","98","1","0","10186",,,"8","260",,"250","246","7","280","4","3","1","6","4","5",,"10","4","23","12","6","238","59","798","172","5","1","2","1","511111","1111111111111A",,"5",,"0",,,,,,,,,,
"VRSH3","2019-09-07T06:00:00","25.30","-120.00",,,"1","6","2","5","7","2","1",,"40","4","62","1","97","47","4","10196",,,"8","240",,"230","225","7","260","4","3","5","6","4","5",,,,,,,"237","50","798","172","5","1","2","1","311111","11131111111AAA",,"5",,"0",,,,,,,,,,
"VRBU6","2019-09-07T11:00:00","24.00","-115.60",,,"1","6","2","5","3","3","1",,"340","4","93","1","97","3","1","10130","4","0","8","230",,"190","170","1","270","6","6","1","2","3","A",,"3","4","25","3","4","238","45","798","172","5","1","2","1","111111","11111111111111",,"5",,"1",,,,,,,,,,
"3FNW5","2019-09-07T12:00:00","25.60","-115.20",,,"1","4","0","0",,,"1","0",,"4",,,,"2",,,,,"0","220",,,,,,"4",,,"A",,,,,"2",,,,"238","55","992","114","5","1","2","1","F116FF","11A1AA1AAA13AA",,,"2",,,,,,,,,,,"4"
"C6DP9","2019-09-07T18:00:00","23.90","-112.70",,,"1","6","2","5","3","3","1",,"330","4","62","1","98","3","2","10178","2","10","8","250",,"240","235","1","250","6","5","7","2","7","A",,"10","3","30","10","2","238","32","798","172","5","1","2","2","111111","11111111111111",,"5",,"2",,,,,,,,,,
"9V2734","2019-09-07T20:00:00","24.70","-116.50",,,"1","6","2","5","3","3","1",,"50","4","67","1","97",,"0",,"4","0","8","300",,"260","250","1","280","3","3","1","5","3","1",,"2","1","5","2","1","238","46","798","172","5","1","2","2","351171","111A1611111111",,"5",,"0",,,,,"2","0",,"1","9",
"C6DP9","2019-09-08T05:00:00","22.20","-110.90",,,"1","6","2","5","3","3","1",,"330","4","51","1","98","3","2","10148","4","0","8","260",,"250","246","1","260","7","6","7","2","7","A",,,,,,,"238","20","798","172","5","1","2","1","111111","11111111111AA1",,"5",,"2",,,,,,,,,,
"3EUS","2019-09-08T14:00:00","28.90","-116.20",,,"1","6","2","5","4","5","1",,"320","4","108","1","98",,"2","10120","4","0","8","240",,"210","194","7","190","5",,"7","2","7","A",,,"3","38",,,"238","86","798","172","5","1","2","2","111111","111A1111111371",,"5",,"2",,,,,,,,,,
"3EUS","2019-09-08T16:00:00","28.30","-115.90",,,"1","6","2","5","4","4","1",,"330","4","103","1","98","2",,"10130","4","0","8","190",,"170","157","7","210","8","8","A","5","1","A",,"2","1","30","6","4","238","85","798","172","5","1","2","2","111111","1111A111111111",,"5",,,,,,,,,,,,
"9V2734","2019-09-08T20:00:00","21.20","-110.80",,,"1","6","2","5","3","4","1",,"240","4","67","1","97",,"0",,"4","0","8","300",,"270","260","1","300","4","3","1","5","3","1",,"1","1","24","1","1","238","10","798","172","5","1","2","2","111171","111A1911111111",,"5",,"0",,,,,"2","0",,,"3",
"VRSQ8","2019-09-08T20:00:00","26.50","-116.40",,,"1","6","2","5","3","3","1",,"340","4","103",,,,,"10142","7","10","8","250",,"240","235","1","240",,,"A",,"A","A",,,,,,,"238","66","798","172","5","1","2","2","111111","11AAA111118AA1",,"5",,,,,,,,,,,,
"BKIE","2019-09-09T00:00:00","28.60","-119.20",,,"1","5","2","5","3","5","1",,"340","3","98","1","97","1","0","10155","6","35","8","220",,"180","158",,,"3",,"1","5","0","0",,"8","5",,,,"238","89","798","172","5","1","2","2","F11111","111111111A11A1",,"5",,"0",,,,,,,,,,
"3EUS","2019-09-09T03:00:00","25.60","-113.50",,,"1","4","0","0","3","4","1","0","300","4","67",,"98",,,"10100","4","0","0","230","0","210","199",,"250","4",,"7","2","1","3",,"3","3","38","1","3","238","53","992","114","5","1","2","1","111111","111AA111111111",,,"1",,,,,,,,,,,"4"
"3EUS","2019-09-09T06:00:00","24.60","-112.60",,,"1","6","2","5","3","4","1",,"330","4","51","1","98","2",,"10120","4","0","8","240",,"200","177","7","240",,,"A",,"A","A",,"4","1","33","6","3","238","42","798","172","5","1","2","1","111111","1111A111118111",,"5",,,,,,,,,,,,
"BKIE","2019-09-09T06:00:00","27.30","-117.30",,,"1","6","2","5","3","4","1",,"320","3","129","1","97","2","1","10150","4","0","8","190",,"180","175","3","150","4","4","7","1","7","4",,,"2",,,,"238","77","798","172","5","1","2","1","411111","111111111113A1",,"5",,"1",,,,,,,,,,
"9HA4132","2019-09-09T08:00:00","26.50","-116.80",,,"1","4","0","0",,,"1","0","340","3","129",,"97","2",,"10030",,,"0","190",,,,"3","230","2",,,"A",,,,,"3","32",,"5","238","66","992","114","5","1","2","1","11114F","1111A11AA1133A",,,"1",,,,,,,,,,,"4"
"A8MW6","2019-09-09T09:00:00","29.30","-116.90",,,"1","6","2","5","3","4","1",,"300",,"103","1","97","3","2","10135","3","10","8","190","0","165","150","3","230","6","5","8","5","6","8","30","8","5","28","10","3","238","96","798","172","5","1","2","1","111111","11111111111111",,"5",,"2","29","11","3",,,,,,,
"9HA4132","2019-09-09T10:00:00","27.30","-118.00",,,"1","4","0","0",,,"1","0","340","3","72",,"97","2",,"10051",,,"0","190",,,,"3","210","4",,,"A",,,,,"2","32",,"2","238","78","992","114","5","1","2","1","11114F","1111A11AA1133A",,,"1",,,,,,,,,,,"4"
"3EUS","2019-09-09T13:00:00","23.40","-110.80",,,"1","6","2","5","3","4","1",,"250","4","26","1","98",,,"10100",,,"8","260",,"220","199","7","280","7","7","7","2","7","8",,"1","2",,,,"238","30","798","172","5","1","2","1","111111","111AA1111111AA",,"5",,,,,,,,,,,,
"9HA4132","2019-09-09T18:00:00","25.60","-115.60",,,"1","4","0","0",,,"1","0","340","3","98",,,"2",,"10100",,,"0","230",,,,"3","230","8",,,"A",,,,,"2","32",,"5","238","55","992","114","5","1","2","2","11111F","11A1A11AA1133A",,,"1",,,,,,,,,,,"4"
"BKIE","2019-09-09T18:00:00","24.80","-113.90",,,"1","5","2","5","3","4","1",,"330","3","62","1","98","2","0","10152","4","0","8","240",,,,,,"5","5","9","0","6","2",,,"3",,,,"238","43","798","172","5","1","2","2","F1111F","1111111AAA13A1",,"5",,"0",,,,,,,,,,
"VRGW3","2019-09-09T18:00:00","22.80","-111.90",,,"1","4","0","0","7","4","1","0","350","3","57",,"98","2","1","10112","0","0","0","260","0","240","231","1","270","8","8","A","5","1","A",,"5","1","34","5","3","238","21","992","114","5","1","2","2","111111","11111111111111",,,"1","1",,,,,,,,,,"4"
"VRSQ8","2019-09-09T19:00:00","23.50","-112.20",,,"1","6","2","5","3","3","1",,"290","4","57",,,,,"10122","4","0","8","270",,"260","256","1","270",,,"A",,"A","A",,,,,,,"238","32","798","172","5","1","2","2","111111","11AAA111118AA1",,"5",,,,,,,,,,,,
"A8MW6","2019-09-09T20:00:00","26.50","-114.60",,,"1","6","2","5","3","4","1",,"310",,"82","1","98","2","1","10130","8","10","8","240","0","210","196","3","260","4","2","1","4","4","3","31","10","3","29","13","4","238","64","798","172","5","0",,"2","111111","11111111111111",,"5",,"1","27","12","4",,,,,,,
"VRGW3","2019-09-10T00:00:00","23.90","-113.50",,,"1","4","0","0","7","4","1","0","350","3","57",,"98","2","0","10068","5","11","0","235","0","210","197","1","270","5","5","A","5","7","A",,"5","4","27","5","4","238","33","992","114","5","1","2","2","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
"BKIE","2019-09-10T06:00:00","22.40","-110.30",,,"1","5","2","5","3","4","1",,"230","3","57","1","98","2","0","10122","4","0","8","270",,,,,,"1","1","9","0","6","1",,,"2",,,,"238","20","798","172","5","1","2","1","F1111F","1111111AAA13A1",,"5",,"0",,,,,,,,,,
"A8MW6","2019-09-10T08:00:00","23.60","-112.20",,,"1","6","2","5","3","4","1",,"280",,"51","1","97","3","2","10120","8","10","8","230","0","205","193","3","280","7","5","7","2","7","8","28","10","2","30","15","4","238","32","798","172","5","0",,"1","111111","11111111111111",,"5",,"2","28","14","3",,,,,,,
"9HA4132","2019-09-10T09:00:00","22.70","-110.90",,,"1","4","0","0",,,"1","0","340","3","36",,,"2",,"10112",,,"0","250",,,,"3","290",,,,"A",,,,,"2","18",,"4","238","20","992","114","5","1","2","1","11111F","11A1A11AA1833A",,,"1",,,,,,,,,,,"4"
"VRGV9","2019-09-10T18:00:00","28.50","-116.00",,,"1","6","2","5","4","3","1",,"330","3","62",,,,,"10147","2","6","8","250",,"190","151","1","210",,,"A",,"A","A",,,,,,,"238","86","798","172","5","1","2","2","111112","11AAA111118AA1",,"5",,,,,,,"0",,,,,
"VRGW3","2019-09-10T21:00:00","27.50","-119.00",,,"1","4","0","0","7","4","1","0","360","3","93",,"98","2","0","10111","8","30","0","210","0","180","161","1","230","3","3","1","6","A","A",,"4","4","34","5","3","238","79","992","114","5","1","2","2","111111","11111111111111",,,"1","0",,,,,,,,,,"4"
"VRGV9","2019-09-11T06:00:00","26.60","-114.60",,,"1","6","2","5","3","3","1",,"330","3","62",,,,,"10140","2","13","8","220",,"170","134","1","240",,,"A",,"A","A",,,,,,,"238","64","798","172","5","1","2","1","111111","11AAA111118AA1",,"5",,,,,,,"0",,,,,
"VRNF8","2019-09-11T06:00:00","27.40","-117.80",,,"1","6","2","5","3","4","1",,"340","4","72","1","97","2","2","10140",,,"8","190",,"180","174","1",,"7","7","7","A","A","A",,,"2","33","9","3","238","77","798","172","5","1","2","1","611111","1111111111131A",,"5",,"2",,,,,,,,,,
"VRGV9","2019-09-11T10:00:00","25.90","-114.10",,,"1","6","2","5","3","3","1",,"330","3","62","1","98","3","2","10140","7","6","8","210",,"180","161","1","250","7","4","5","5","2","A",,"4","2","32","9","3","238","54","798","172","5","1","2","1","111111","11111111111111",,"5",,"2",,,,,,,,,,
"3FYF2","2019-09-11T18:00:00","25.90","-118.10",,,"1","6","2","5","3","3","1",,"340","4","62","1","98","3","2","10176","2","3","8","215","0","195","185","1","270","8","7","7","4","7","A",,"6","2","34","10","2","238","58","798","172","5","1","2","2","311111","11111111111111",,"5",,"2",,,,,,,,,,
"VRNF8","2019-09-11T18:00:00","25.30","-114.90",,,"1","6","2","5","3","4","1",,"360","4","36","1","97","2","2","10150","4","0","8","240",,"220","210","1",,"7","7","2","4","A","A",,,,"33","10","2","238","54","798","172","5","1","2","2","611111","11111111111A11",,"5",,"2",,,,,,,,,,
"3FWH8","2019-09-11T21:00:00","28.70","-119.50",,,"1","6","2","5","3","4","1",,"20","4","72","1","98",,"2","10228",,,"8","220",,"220","220","3","210","6","4","5","3","7","A",,"5","2",,,,"238","89","798","172","5","1","2","2","111153","111A11111111AA",,"5",,"1",,,,,,,,,,
"VRGV9","2019-09-11T21:00:00","24.10","-112.60",,,"1","6","2","5","3","3","1",,"330","3","41","1","98","1","0","10131","7","22","8","270",,"220","193","1","260","3","1","1","5","2","2",,"3","1","33","8","2","238","42","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,,,,,,,
"3FWH8","2019-09-12T00:00:00","28.10","-118.60",,,"1","6","2","5","3","4","1",,"20","4","72","1","98",,,"10222","4","0","8","220",,"220","220","3","210","3",,"4","5","6","5",,,"4",,,,"238","88","798","172","5","1","2","2","111133","111AA1111113A1",,"5",,,,,,,,,,,,
"VRGV9","2019-09-12T02:00:00","23.40","-111.90",,,"1","6","2","5","3","3","1",,"330","3","51","1","98","1",,"10120","7","2","8","210",,"180","161","1","270","2",,"A","A","A","A",,,,,,,"238","31","798","172","5","1","2","1","121111","1111A111111AA1",,"5",,,,,,,"0",,,,,
"A8LL9","2019-09-12T05:00:00","27.90","-118.70",,,"1","6","2","5","3","4","1",,"350","4","72","1","98","3","1","10155","6","7","8","190",,"170","156","3","206",,,"A",,"A","A",,"5","2",,,,"238","78","798","172","5","1","2","1","111111","111111111181A1",,"5",,"1",,,,,,,,,,
"SLKQ","2019-09-12T06:00:00","28.70","-119.90",,,"1","6","2","5","3","4","1",,"360",,"110","1","98",,,"10158",,,"8","194",,,,"1","214","8","0","0","9","0","6",,,,,"10","3","238","89","798","172","5","1","2","1","11111F","111AA11AA11A7A",,"5",,,,,,,,,,,,
"VRGV9","2019-09-12T06:00:00","22.80","-111.30",,,"1","6","2","5","3","3","1",,"340","3","51",,,,,"10137","2","16","8","250",,"220","205","1","280",,,"A",,"A","A",,,,,,,"238","21","798","172","5","1","2","1","111111","11AAA111118AA1",,"5",,,,,,,"0",,,,,
"VRNF8","2019-09-12T06:00:00","23.20","-112.00",,,"1","4","0","0","3","4","1","0","330","4","41",,"97","2","0","10120","0","0","0","210","0","200","194","1",,"3","3","1","A","A","A",,,,"0",,,"238","32","992","114","5","1","2","1","611111","11111111161A31",,,"1","0","0",,,,,,,,,"4"
"VRGV9","2019-09-12T10:00:00","22.40","-110.60",,,"1","6","2","5","3","3","1",,"320","3","41","1","98","1","0","10115","7","16","8","250",,"210","188","1","290","2",,"A","A","A","A",,"3","2","32","8","2","238","20","798","172","5","1","2","1","111111","11111111111111",,"5",,"0",,,,,,,,,,
"A8LL9","2019-09-12T12:00:00","26.70","-117.00",,,"1","6","2","5","3","4","1",,"340","4","51","1","98","2","2","10140",,,"8","195",,"170","153","3","222","8","7","7","5","2","A",,"3","1","27","14","5","238","67","798","172","5","1","2","1","111111","1111111111111A",,"5",,"2",,,,,,,,,,
"3FWH8","2019-09-12T18:00:00","24.30","-113.40",,,"1","6","2","5","3","4","1",,"360","4","36","1","98",,"1","10208","3","10","8","260",,"250","246","3","250","6","6","5","5","7","8",,"4","1",,,,"238","43","798","172","5","1","2","2","111151","111A11111111A1",,"5",,"1",,,,,,,,,,
"3FYF2","2019-09-12T18:00:00","23.10","-113.50",,,"1","6","2","5","3","3","1",,"360","4","67","1","98","1","1","10140","2","7","8","260","0","230","218","1","290","4","3","1","4","1","0",,"5","2","35","1","2","238","33","798","172","5","1","2","2","111111","11111111111111",,"5",,"1",,,,,,,,,,
"A8LL9","2019-09-12T18:00:00","25.60","-115.40",,,"1","6","2","5","3","4","1",,"350","4","62","1","98","2","0","10141","4","0","8","232",,"191","165","3","225","6","6","2","5","6","0",,"4","2","19","16","3","238","55","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,,,,,,,
"SLKQ","2019-09-12T18:00:00","26.90","-117.00",,,"1","6","2","5","3","4","1",,"360",,"110","1","98",,,"10153",,,"8","214",,,,"1","230","8","0","0","9","0","5",,,,,"10","2","238","67","798","172","5","1","2","2","11111F","111AA11AA11A7A",,"5",,,,,,,,,,,,
"9V2728","2019-09-12T20:00:00","27.50","-118.90",,,"1","5","2","5","3","4","1",,"10","4","41","1","97","1","2","10180","4","0","8","250",,"210","188",,,"7","6","7","6","7","0",,"1","2","35","1","2","238","78","798","172","5","1","2","2","F11111","111111111A1111",,"5",,"2",,,,,,,,,,
"A8LL9","2019-09-12T23:00:00","24.80","-114.20",,,"1","6","2","5","3","4","1",,"330","4","77","1","98","2","2","10120",,,"8","230",,"210","199","3","256","6","5","1","5","6","5",,"4","2","19","16","3","238","44","798","172","5","1","2","2","111111","1111111111111A",,"5",,"2",,,,,,,,,,
