"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"4602636","2024-09-01T00:00:00","27.08","-121.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","223",,,,,,,,,,,,,"237","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4804048","2024-09-01T00:00:00","24.88","-129.80",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","49","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"4804056","2024-09-01T00:00:00","27.26","-127.06",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","77","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802024","2024-09-01T00:00:00","27.45","-125.83",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","75","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802032","2024-09-01T00:00:00","24.29","-127.44",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","47","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802047","2024-09-01T00:00:00","21.37","-123.30",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","13","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"6801820","2024-09-01T00:00:00","22.53","-127.91",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","241",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"6801825","2024-09-01T00:00:00","29.59","-123.48",,,"1","4","2","5",,,"11",,,,,,,,,"10180",,,"8",,,,,"9","212",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"6801945","2024-09-01T00:00:00","26.16","-122.78",,,"1","4","2","5",,,"11",,,,,,,,,"10166",,,"8",,,,,"9","220",,,,,,,,,,,,,"237","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801640","2024-09-01T00:00:00","23.59","-121.90",,,"1","4","2","5",,,"11",,,,,,,,,"10157",,,"8",,,,,"9","248",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801666","2024-09-01T00:00:00","27.90","-124.34",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","222",,,,,,,,,,,,,"237","74","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801679","2024-09-01T00:00:00","20.07","-120.89",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,,"237","0","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801746","2024-09-01T00:00:00","24.43","-120.71",,,"1","4","2","5",,,"11",,,,,,,,,"10150",,,"8",,,,,"9","247",,,,,,,,,,,,,"237","40","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801766","2024-09-01T00:00:00","25.95","-120.65",,,"1","4","2","5",,,"11",,,,,,,,,"10155",,,"8",,,,,"9","228",,,,,,,,,,,,,"237","50","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5802129","2024-09-01T00:01:00","28.16","-125.02",,,"1","3","2","5",,,"11",,,,,,,,,"10180",,,,,,,,,,,,,,,,,,,,,,"237","85","798","172","6","0",,"2","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,,,
"4804089","2024-09-01T00:04:00","27.77","-125.13",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","75","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"7801680","2024-09-01T00:04:00","21.37","-126.59",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","242",,,,,,,,,,,,,"237","16","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801750","2024-09-01T00:04:00","22.50","-127.17",,,"1","4","2","5",,,"11",,,,,,,,,"10142",,,"8",,,,,"9","238",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801767","2024-09-01T00:04:00","28.16","-125.01",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,"9","222",,,,,,,,,,,,,"237","85","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"1801705","2024-09-01T01:00:00","28.38","-125.61",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","217",,,,,,,,,,,,,"237","85","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"1801817","2024-09-01T01:00:00","26.53","-124.26",,,"1","4","2","5",,,"11",,,,,,,,,"10174",,,"8",,,,,"9","224",,,,,,,,,,,,,"237","64","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"1801826","2024-09-01T01:00:00","25.09","-123.41",,,"1","4","2","5",,,"11",,,,,,,,,"10166",,,"8",,,,,"9","236",,,,,,,,,,,,,"237","53","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2802018","2024-09-01T01:00:00","20.07","-126.23",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","6","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802028","2024-09-01T01:00:00","21.11","-123.18",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","13","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802040","2024-09-01T01:00:00","22.06","-124.12",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","24","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802121","2024-09-01T01:00:00","25.35","-122.11",,,"1","3","2","5",,,"11",,,,,,,,,"10153",,,,,,,,,,,,,,,,,,,,,,"237","52","798","172","6","0",,"2","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,,,
"3801602","2024-09-01T01:00:00","29.02","-121.46",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","210",,,,,,,,,,,,,"237","91","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801614","2024-09-01T01:00:00","26.29","-128.20",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"237","68","798","172","7","0",,"2","7FFFFF","1AAAAAAAA9AAAA","4",,,,,,,,,
"3801630","2024-09-01T01:00:00","24.34","-125.63",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","232",,,,,,,,,,,,,"237","45","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801633","2024-09-01T01:00:00","26.35","-124.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","64","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801664","2024-09-01T01:00:00","24.43","-129.76",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","236",,,,,,,,,,,,,"237","49","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801715","2024-09-01T01:00:00","25.77","-120.41",,,"1","4","2","5",,,"11",,,,,,,,,"10150",,,"8",,,,,"9","231",,,,,,,,,,,,,"237","50","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601776","2024-09-01T01:00:00","26.55","-129.20",,,"1","4","2","5",,,"11",,,,,,,,,"10201",,,"8",,,,,"9","228",,,,,,,,,,,,,"237","69","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4602629","2024-09-01T01:00:00","22.37","-129.45",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","237",,,,,,,,,,,,,"237","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602633","2024-09-01T01:00:00","23.90","-126.31",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","231",,,,,,,,,,,,,"237","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602635","2024-09-01T01:00:00","27.93","-121.91",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","215",,,,,,,,,,,,,"237","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602636","2024-09-01T01:00:00","27.08","-121.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","223",,,,,,,,,,,,,"237","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4804048","2024-09-01T01:00:00","24.88","-129.80",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","49","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"4804056","2024-09-01T01:00:00","27.26","-127.06",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","77","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802024","2024-09-01T01:00:00","27.44","-125.83",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","75","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802032","2024-09-01T01:00:00","24.29","-127.44",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","47","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802047","2024-09-01T01:00:00","21.37","-123.29",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","13","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"6801820","2024-09-01T01:00:00","22.54","-127.91",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","241",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"6801825","2024-09-01T01:00:00","29.59","-123.48",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","212",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"6801945","2024-09-01T01:00:00","26.15","-122.77",,,"1","4","2","5",,,"11",,,,,,,,,"10164",,,"8",,,,,"9","220",,,,,,,,,,,,,"237","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801640","2024-09-01T01:00:00","23.59","-121.90",,,"1","4","2","5",,,"11",,,,,,,,,"10157",,,"8",,,,,"9","247",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801666","2024-09-01T01:00:00","27.90","-124.34",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","222",,,,,,,,,,,,,"237","74","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801679","2024-09-01T01:00:00","20.08","-120.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,,"237","0","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801746","2024-09-01T01:00:00","24.43","-120.70",,,"1","4","2","5",,,"11",,,,,,,,,"10148",,,"8",,,,,"9","247",,,,,,,,,,,,,"237","40","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801766","2024-09-01T01:00:00","25.94","-120.64",,,"1","4","2","5",,,"11",,,,,,,,,"10156",,,"8",,,,,"9","228",,,,,,,,,,,,,"237","50","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801767","2024-09-01T01:00:00","28.16","-125.02",,,"1","4","2","5",,,"11",,,,,,,,,"10182",,,"8",,,,,"9","222",,,,,,,,,,,,,"237","85","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"5802129","2024-09-01T01:01:00","28.16","-125.02",,,"1","3","2","5",,,"11",,,,,,,,,"10181",,,,,,,,,,,,,,,,,,,,,,"237","85","798","172","6","0",,"2","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,,,
"4804089","2024-09-01T01:04:00","27.75","-125.11",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","75","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"7801680","2024-09-01T01:04:00","21.36","-126.62",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","242",,,,,,,,,,,,,"237","16","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801750","2024-09-01T01:04:00","22.50","-127.17",,,"1","4","2","5",,,"11",,,,,,,,,"10138",,,"8",,,,,"9","238",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"1801705","2024-09-01T02:00:00","28.38","-125.62",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","217",,,,,,,,,,,,,"237","85","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"1801817","2024-09-01T02:00:00","26.53","-124.26",,,"1","4","2","5",,,"11",,,,,,,,,"10174",,,"8",,,,,"9","224",,,,,,,,,,,,,"237","64","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"1801826","2024-09-01T02:00:00","25.09","-123.41",,,"1","4","2","5",,,"11",,,,,,,,,"10167",,,"8",,,,,"9","236",,,,,,,,,,,,,"237","53","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"2802018","2024-09-01T02:00:00","20.08","-126.23",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","6","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802028","2024-09-01T02:00:00","21.11","-123.18",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","13","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802040","2024-09-01T02:00:00","22.06","-124.12",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","24","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"2802121","2024-09-01T02:00:00","25.34","-122.11",,,"1","3","2","5",,,"11",,,,,,,,,"10152",,,,,,,,,,,,,,,,,,,,,,"237","52","798","172","6","0",,"2","FFFF1F","1AAAA1AAAAAAAA",,,,,,,,,,
"3801602","2024-09-01T02:00:00","29.02","-121.46",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","210",,,,,,,,,,,,,"237","91","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801614","2024-09-01T02:00:00","26.28","-128.20",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9",,,,,,,,,,,,,,"237","68","798","172","7","0",,"2","7FFFFF","1AAAAAAAA9AAAA","4",,,,,,,,,
"3801630","2024-09-01T02:00:00","24.34","-125.63",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","231",,,,,,,,,,,,,"237","45","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801633","2024-09-01T02:00:00","26.35","-124.78",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","229",,,,,,,,,,,,,"237","64","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801664","2024-09-01T02:00:00","24.43","-129.76",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","236",,,,,,,,,,,,,"237","49","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"3801715","2024-09-01T02:00:00","25.76","-120.41",,,"1","4","2","5",,,"11",,,,,,,,,"10154",,,"8",,,,,"9","231",,,,,,,,,,,,,"237","50","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4601776","2024-09-01T02:00:00","26.55","-129.21",,,"1","4","2","5",,,"11",,,,,,,,,"10187",,,"8",,,,,"9","228",,,,,,,,,,,,,"237","69","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"4602629","2024-09-01T02:00:00","22.37","-129.46",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","237",,,,,,,,,,,,,"237","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602635","2024-09-01T02:00:00","27.93","-121.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","215",,,,,,,,,,,,,"237","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602636","2024-09-01T02:00:00","27.08","-121.80",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","222",,,,,,,,,,,,,"237","71","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4602637","2024-09-01T02:00:00","27.86","-123.37",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","220",,,,,,,,,,,,,"237","73","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"4804048","2024-09-01T02:00:00","24.88","-129.80",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","49","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"4804056","2024-09-01T02:00:00","27.26","-127.06",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","77","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802024","2024-09-01T02:00:00","27.44","-125.84",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","75","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802032","2024-09-01T02:00:00","24.29","-127.44",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","47","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"5802047","2024-09-01T02:00:00","21.37","-123.29",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"237","13","798","172","6","0",,"2","FFFFFF","1AAAAAAAAAAAAA",,,,,,,,,,
"6801820","2024-09-01T02:00:00","22.54","-127.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","241",,,,,,,,,,,,,"237","27","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"6801825","2024-09-01T02:00:00","29.59","-123.48",,,"1","4","2","5",,,"11",,,,,,,,,"10178",,,"8",,,,,"9","212",,,,,,,,,,,,,"237","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"6801945","2024-09-01T02:00:00","26.15","-122.77",,,"1","4","2","5",,,"11",,,,,,,,,"10166",,,"8",,,,,"9","219",,,,,,,,,,,,,"237","62","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801640","2024-09-01T02:00:00","23.59","-121.90",,,"1","4","2","5",,,"11",,,,,,,,,"10158",,,"8",,,,,"9","247",,,,,,,,,,,,,"237","31","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,
"7801666","2024-09-01T02:00:00","27.90","-124.34",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","222",,,,,,,,,,,,,"237","74","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
"7801679","2024-09-01T02:00:00","20.08","-120.90",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","275",,,,,,,,,,,,,"237","0","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,
