"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","IND_FOR_PRECIP"
"5201694","2024-09-01T00:00:00","23.63","-153.56",,,"1","4","2","5",,,"11",,,,,,,,,"10194",,,"8",,,,,"9","263",,,,,,,,,,,,,"234","33","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"5201726","2024-09-01T00:00:00","25.68","-156.43",,,"1","4","2","5",,,"11",,,,,,,,,"10190",,,"8",,,,,"9","266",,,,,,,,,,,,,"234","56","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,
"HRRH1","2024-09-01T00:00:00","21.43","-157.82",,,"1","4","2","5",,,"5","0","70","4","26",,,,,"10160","8","10","0","288",,,"241",,,,,,"A",,,,,,,,,"234","17","995","114","14","0",,"2","F11111","11AAA11A1A8AA1","31",,"6",,,,"4"
"KDBG","2024-09-01T00:00:00","25.50","-150.90",,,"1","5","2","5","1","5","1",,,,,,,,,"10218","8","6","8","276",,"252","243",,,,,"A",,"A","A",,,,,,,"234","50","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,
"KLIH1","2024-09-01T00:00:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","30","4","51",,,,,"10165",,,"0",,,,,"1","273",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:00:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","240","4","21",,,,,"10157",,,"0",,,,,"1","286",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:00:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","110","4","57",,,,,,,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:00:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","46",,,,,"10169",,,"0",,,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:00:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","41",,,,,"10169",,,"0",,,,,"1","275",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:00:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","130","4","36",,,,,"10166",,,,,,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","FF111F","11AAA1AAAA8AAA","31",,"6",,,,"4"
"WRJP","2024-09-01T00:00:00","21.30","-157.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10167","8","23","8","303",,"270","258",,,,,"A",,"A","A",,,,,,,"234","17","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1",,"5",,,,,
"WTDH","2024-09-01T00:00:00","20.70","-158.50",,,"1","6","2","5","9",,"1",,"120","4","57",,,,,"10168",,,"8","269",,,"235","3","281",,,"A",,"A","A",,,,,,,"234","8","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,
"KLIH1","2024-09-01T00:06:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","50","4","57",,,,,"10165",,,"0","277",,,,"1","273",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:06:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","250","4","21",,,,,"10157",,,"0","277",,,,"1","288",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:06:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","120","4","72",,,,,,,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:06:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","51",,,,,"10168",,,"0","279",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:06:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","51",,,,,"10168",,,"0","283",,,,"1","275",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:06:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","120","4","36",,,,,"10165",,,"0","293",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"5100000","2024-09-01T00:10:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"110",,"68",,,,,"10179",,,"8","260",,,"234","9","262",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,
"KLIH1","2024-09-01T00:12:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","67",,,,,"10164",,,"0","279",,,,"1","273",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:12:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","250","4","21",,,,,"10156",,,"0","276",,,,"1","289",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:12:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","110","4","62",,,,,,,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:12:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","51",,,,,"10168",,,"0","277",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:12:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","46",,,,,"10166",,,"0","283",,,,"1","275",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:12:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","140","4","41",,,,,"10164",,,"0","289",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"HRRH1","2024-09-01T00:15:00","21.43","-157.82",,,"1","4","2","5",,,"5","0","70","4","26",,,,,"10160",,,"0","287",,,"235",,,,,,"A",,,,,,,,,"234","17","995","114","14","0",,"2","F11111","11AAA11A1A8AAA","31",,"6",,,,"4"
"KLIH1","2024-09-01T00:18:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","62",,,,,"10163",,,"0","281",,,,"1","274",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:18:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","21",,,,,"10155",,,"0","276",,,,"1","286",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:18:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","120","4","62",,,,,,,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:18:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","51",,,,,"10167",,,"0","278",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:18:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","190","4","57",,,,,"10165",,,"0","286",,,,"1","275",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:18:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","140","4","51",,,,,"10164",,,"0","287",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"5100000","2024-09-01T00:20:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"110",,"62",,,,,"10178",,,"8","260",,,"235","9","263",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,
"KLIH1","2024-09-01T00:24:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","57",,,,,"10162",,,"0",,,,,"1","274",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:24:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","21",,,,,"10155",,,"0",,,,,"1","283",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:24:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","110","4","62",,,,,,,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:24:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","57",,,,,"10166",,,"0",,,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:24:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","41",,,,,"10165",,,"0",,,,,"1","275",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:24:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","130","4","46",,,,,"10163",,,,,,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","FF111F","11AAA1AAAA8AAA","31",,"6",,,,"4"
"5100202","2024-09-01T00:26:00","21.40","-157.70",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","10","11","1","234","17","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,
"5100205","2024-09-01T00:26:00","21.00","-156.40",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","6","11","1","234","16","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,
"5100207","2024-09-01T00:26:00","21.48","-157.75",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,
"5100208","2024-09-01T00:26:00","22.28","-159.57",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"234","29","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,
"5100210","2024-09-01T00:26:00","21.48","-157.76",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,
"5100213","2024-09-01T00:26:00","20.70","-157.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"2","16","11","1","234","7","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,
"5100000","2024-09-01T00:30:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","108",,"71",,,,,"10177",,,"8","260",,,"236","9","263",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,
"5100211","2024-09-01T00:30:00","21.30","-157.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,,"234","17","798","172","6","0",,"2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,
"5100212","2024-09-01T00:30:00","21.30","-158.10",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8","275",,,,,,,,,,,,,,"2","21","11","2","234","18","798","172","6","1","2","2","F1FFFF","1AAAAA1AAAA71A",,,,,,,
"HRRH1","2024-09-01T00:30:00","21.43","-157.82",,,"1","4","2","5",,,"5","0","70","4","26",,,,,"10160",,,"0","289",,,"237",,,,,,"A",,,,,,,,,"234","17","995","114","14","0",,"2","F11111","11AAA11A1A8AAA","31",,"6",,,,"4"
"KLIH1","2024-09-01T00:30:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","77",,,,,"10161",,,"0",,,,,"1","274",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:30:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","21",,,,,"10154",,,"0",,,,,"1","280",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:30:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","110","4","72",,,,,,,,"0",,,,,"1","281",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:30:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","57",,,,,"10165",,,"0",,,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:30:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","150","4","31",,,,,"10165",,,"0",,,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:30:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","130","4","36",,,,,"10162",,,,,,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","FF111F","11AAA1AAAA8AAA","31",,"6",,,,"4"
"KLIH1","2024-09-01T00:36:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","50","4","62",,,,,"10161",,,"0","278",,,,"1","274",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:36:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","15",,,,,"10153",,,"0","278",,,,"1","279",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:36:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","130","4","82",,,,,,,,"0",,,,,"1","281",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","1F11FF","11AAAAAAA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:36:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","160","4","46",,,,,"10164",,,"0","277",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:36:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","46",,,,,"10163",,,"0","291",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:36:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","140","4","46",,,,,"10162",,,"0","289",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"5100000","2024-09-01T00:40:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","108",,"72",,,,,"10174",,,"8","259",,,"234","9","263",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,
"KLIH1","2024-09-01T00:42:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","67",,,,,"10160",,,"0","279",,,,"1","274",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:42:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","15",,,,,"10153",,,"0","279",,,,"1","280",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:42:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","120","4","72",,,,,"10162",,,"0","281",,,,"1","281",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:42:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","67",,,,,"10164",,,"0","275",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:42:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","46",,,,,"10162",,,"0","289",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:42:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","120","4","46",,,,,"10161",,,"0","292",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"HRRH1","2024-09-01T00:45:00","21.43","-157.82",,,"1","4","2","5",,,"5","0","80","4","21",,,,,"10150",,,"0","288",,,"238",,,,,,"A",,,,,,,,,"234","17","995","114","14","0",,"2","F11111","11AAA11A1A8AAA","31",,"6",,,,"4"
"KLIH1","2024-09-01T00:48:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","40","4","67",,,,,"10159",,,"0","276",,,,"1","275",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:48:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","21",,,,,"10152",,,"0","280",,,,"1","281",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:48:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","120","4","77",,,,,"10161",,,"0","281",,,,"1","281",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:48:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","62",,,,,"10164",,,"0","277",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:48:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","36",,,,,"10161",,,"0","292",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:48:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","150","4","46",,,,,"10160",,,"0","293",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
"5100000","2024-09-01T00:50:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","109",,"71",,,,,"10175",,,"8","259",,,"234","9","263",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,
"KLIH1","2024-09-01T00:54:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","72",,,,,"10157",,,"0","278",,,,"1","275",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"KWHH1","2024-09-01T00:54:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","21",,,,,"10152",,,"0","279",,,,"1","280",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"MOKH1","2024-09-01T00:54:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","120","4","77",,,,,"10160",,,"0","280",,,,"1","281",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"NWWH1","2024-09-01T00:54:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","140","4","62",,,,,"10162",,,"0","276",,,,"1","271",,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"OOUH1","2024-09-01T00:54:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","180","4","36",,,,,"10161",,,"0","293",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,"4"
"PRHH1","2024-09-01T00:54:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","140","4","41",,,,,"10160",,,"0","290",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,"4"
