"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","THICKNESS_OF_I","IND_FOR_PRECIP"
"5103556","2024-09-01T00:00:00","29.81","-166.03",,,"1","4","2","5",,,"11",,,,,,,,,"10192",,,"8",,,,,"9","271",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5103558","2024-09-01T00:00:00","29.80","-163.27",,,"1","4","2","5",,,"11",,,,,,,,,"10200",,,"8",,,,,"9","269",,,,,,,,,,,,"233","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WDE4433","2024-09-01T00:00:00","24.20","-165.64",,,"1","5","2","5","3","3","1",,,,,,,,,"10127","3","3",,,,,,,,,,"A",,"A","A",,,,,,"233","45","798","172","5","0",,"2","FFFF1F","1AAAA1AAAA8AA1",,"5",,,,
"WTEE","2024-09-01T00:00:00","23.00","-161.80",,,"1","6","2","5","9",,"1",,"350","4","15",,,,,"10154",,,"8","268",,,"252","3","278",,,"A",,"A","A",,,,,,"233","31","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"5100001","2024-09-01T00:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","34",,"60",,,,,"10155",,,"8","267",,,"245","9","273",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T00:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","24",,"49",,,,,"10161",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T00:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"40","1","60",,,,,"10154",,,"8","266",,,"243",,,,,,,,,,"4","11","8","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T00:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"20","1","40",,,,,"10159",,,"8","268",,,,,,,,,,,,,"4","9","9","4","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2024-09-01T00:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","36",,"50",,,,,"10153",,,"8","266",,,"243","9","274",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T00:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","14",,"36",,,,,"10159",,,"8","269",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T00:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","33",,"45",,,,,"10153",,,"8","267",,,"245","9","273",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T00:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","22",,"48",,,,,"10158",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T00:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"40","1","50",,,,,"10152",,,"8","266",,,"243",,,,,,,,,,"5","12","8","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T00:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"30","1","40",,,,,"10157",,,"8","261",,,,,,,,,,,,,"4","10","9","4","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"2101823","2024-09-01T01:00:00","28.88","-163.13",,,"1","4","2","5",,,"11",,,,,,,,,"10191",,,"8",,,,,"9","269",,,,,,,,,,,,"233","83","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601763","2024-09-01T01:00:00","27.23","-162.31",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","266",,,,,,,,,,,,"233","72","798","172","7","0",,"2","1FFF7F","1AAAA9AAA1AAAA","4",,,,,
"4602596","2024-09-01T01:00:00","26.32","-165.84",,,"1","4","2","5",,,"11",,,,,,,,,"10179",,,"8",,,,,"9","276",,,,,,,,,,,,"233","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602626","2024-09-01T01:00:00","23.75","-161.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","281",,,,,,,,,,,,"233","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602722","2024-09-01T01:00:00","25.15","-164.39",,,"1","4","2","5",,,"11",,,,,,,,,"10164",,,"8",,,,,"9","274",,,,,,,,,,,,"233","54","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602740","2024-09-01T01:00:00","25.52","-163.08",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"233","53","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2024-09-01T01:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","35",,"46",,,,,"10151",,,"8","267",,,"244","9","274",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T01:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","24",,"45",,,,,"10156",,,"8","264",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2024-09-01T01:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","294",,,,,,,,,,,,"233","61","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5103556","2024-09-01T01:00:00","29.82","-166.03",,,"1","4","2","5",,,"11",,,,,,,,,"10185",,,"8",,,,,"9","273",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5103558","2024-09-01T01:00:00","29.80","-163.28",,,"1","4","2","5",,,"11",,,,,,,,,"10194",,,"8",,,,,"9","269",,,,,,,,,,,,"233","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2024-09-01T01:00:00","22.90","-161.70",,,"1","6","2","5","9",,"1",,"250","4","21",,,,,"10152",,,"8","269",,,"253","3","278",,,"A",,"A","A",,,,,,"233","21","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"4601711","2024-09-01T01:03:00","29.39","-165.79",,,"1","4","2","5",,,"11",,,,,,,,,"10192",,,"8",,,,,"9","272",,,,,,,,,,,,"233","95","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5100001","2024-09-01T01:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","29",,"47",,,,,"10151",,,"8","268",,,"245","9","274",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T01:10:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"20",,"43",,,,,"10155",,,"8","267",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T01:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"30","1","50",,,,,"10151",,,"8","267",,,"244",,,,,,,,,,"4","11","9","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T01:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"20","1","40",,,,,"10155",,,"8","267",,,,,,,,,,,,,"4","10","9","4","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2024-09-01T01:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","19",,"46",,,,,"10150",,,"8","267",,,"244","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T01:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","14",,"45",,,,,"10155",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T01:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","19",,"47",,,,,"10149",,,"8","268",,,"245","9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T01:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","14",,"44",,,,,"10154",,,"8","269",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T01:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"10","1","50",,,,,"10148",,,"8","269",,,"248",,,,,,,,,,"4","12","9","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T01:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"20","1","50",,,,,"10153",,,"8","269",,,,,,,,,,,,,"5","10","9","4","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"2101823","2024-09-01T02:00:00","28.88","-163.14",,,"1","4","2","5",,,"11",,,,,,,,,"10190",,,"8",,,,,"9","269",,,,,,,,,,,,"233","83","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601711","2024-09-01T02:00:00","29.41","-165.79",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","272",,,,,,,,,,,,"233","95","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602596","2024-09-01T02:00:00","26.34","-165.85",,,"1","4","2","5",,,"11",,,,,,,,,"10175",,,"8",,,,,"9","275",,,,,,,,,,,,"233","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602626","2024-09-01T02:00:00","23.75","-161.88",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","282",,,,,,,,,,,,"233","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602722","2024-09-01T02:00:00","25.16","-164.41",,,"1","4","2","5",,,"11",,,,,,,,,"10160",,,"8",,,,,"9","274",,,,,,,,,,,,"233","54","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602740","2024-09-01T02:00:00","25.52","-163.08",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"233","53","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2024-09-01T02:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","10","1","50",,,,,"10148","6","17","0","264",,,"242","1","275",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","111111","11AAA11A118AA1",,,"6",,,"4"
"5100101","2024-09-01T02:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","15",,"44",,,,,"10152",,,"8","269",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2024-09-01T02:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"233","61","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5103556","2024-09-01T02:00:00","29.83","-166.03",,,"1","4","2","5",,,"11",,,,,,,,,"10181",,,"8",,,,,"9","275",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5103558","2024-09-01T02:00:00","29.80","-163.28",,,"1","4","2","5",,,"11",,,,,,,,,"10193",,,"8",,,,,"9","270",,,,,,,,,,,,"233","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2024-09-01T02:00:00","22.80","-161.50",,,"1","6","2","5","9",,"1",,"230","4","26",,,,,"10148",,,"8","273",,,"256","3","279",,,"A",,"A","A",,,,,,"233","21","798","172","5","1","2","2","11FF1F","17AAA11AA18AAA",,"5",,,,
"5100001","2024-09-01T02:10:00","24.45","-162.01",,,"1","5","2","5",,,"11",,"360",,"29",,,,,"10147",,,"8","264",,,"244","9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T02:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","11",,"45",,,,,"10152",,,"8","269",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T02:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"360","1","40",,,,,"10148",,,"8","266",,,"247",,,,,,,,,,"4","10","10","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T02:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"360","1","50",,,,,"10152",,,"8","270",,,,,,,,,,,,,"5","9","9","4","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2024-09-01T02:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","349",,"36",,,,,"10148",,,"8","265",,,"249","9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T02:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","359",,"52",,,,,"10152",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T02:40:00","24.45","-162.01",,,"1","5","2","5",,,"11",,"350",,"41",,,,,"10147",,,"8","264",,,"251","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T02:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","3",,"45",,,,,"10152",,,"8","266",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T02:50:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","9",,"49",,,,,"10147",,,"8","265",,,"248","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T02:50:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","3",,"46",,,,,"10153",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"2101823","2024-09-01T03:00:00","28.88","-163.15",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","269",,,,,,,,,,,,"233","83","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601711","2024-09-01T03:00:00","29.42","-165.79",,,"1","4","2","5",,,"11",,,,,,,,,"10185",,,"8",,,,,"9","272",,,,,,,,,,,,"233","95","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602596","2024-09-01T03:00:00","26.35","-165.86",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,"9","276",,,,,,,,,,,,"233","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602626","2024-09-01T03:00:00","23.75","-161.88",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","281",,,,,,,,,,,,"233","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602722","2024-09-01T03:00:00","25.16","-164.42",,,"1","4","2","5",,,"11",,,,,,,,,"10156",,,"8",,,,,"9","273",,,,,,,,,,,,"233","54","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602740","2024-09-01T03:00:00","25.53","-163.07",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"233","53","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2024-09-01T03:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","10","1","50",,,,,"10147",,,"0","265",,,"248","1","274",,,,"A",,,"4","1","12","9","4","233","42","993","114","6","1","2","2","111111","11AAA11A11811A",,,"6",,,"4"
"5100101","2024-09-01T03:00:00","24.40","-162.10",,,"1","4","2","0","0","0","11","0","10","1","60",,,,,"10153","6","8","0","267",,,,"1","275",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","11111F","11AAA11AA18AA1",,,"6",,,"4"
"5102629","2024-09-01T03:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,"233","61","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5103556","2024-09-01T03:00:00","29.84","-166.03",,,"1","4","2","5",,,"11",,,,,,,,,"10178",,,"8",,,,,"9","274",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5103558","2024-09-01T03:00:00","29.80","-163.29",,,"1","4","2","5",,,"11",,,,,,,,,"10191",,,"8",,,,,"9","269",,,,,,,,,,,,"233","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"WTEE","2024-09-01T03:00:00","22.80","-161.40",,,"1","6","2","5","9",,"1",,"230","4","31",,,,,"10149",,,"8","273",,,"258","3","280",,,"A",,"A","A",,,,,,"233","21","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,
"5100001","2024-09-01T03:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","2",,"48",,,,,"10147",,,"8","269",,,"247","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T03:10:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"360",,"51",,,,,"10152",,,"8","265",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T03:20:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","358",,"49",,,,,"10147",,,"8","269",,,"247","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T03:20:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","354",,"45",,,,,"10152",,,"8","265",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T03:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","357",,"52",,,,,"10146",,,"8","269",,,"248","9","274",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T03:30:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"350",,"44",,,,,"10152",,,"8","266",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T03:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","354",,"54",,,,,"10147",,,"8","268",,,"247","9","274",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2024-09-01T03:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","347",,"34",,,,,"10153",,,"8","268",,,,"9","275",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2024-09-01T03:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"10","1","60",,,,,"10147",,,"8","267",,,"249",,,,,,,,,,"4","11","9","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2024-09-01T03:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"330","1","30",,,,,"10152",,,"8","269",,,,,,,,,,,,,"5","9","9","5","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"2101823","2024-09-01T04:00:00","28.87","-163.15",,,"1","4","2","5",,,"11",,,,,,,,,"10189",,,"8",,,,,"9","268",,,,,,,,,,,,"233","83","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4601711","2024-09-01T04:00:00","29.43","-165.80",,,"1","4","2","5",,,"11",,,,,,,,,"10186",,,"8",,,,,"9","272",,,,,,,,,,,,"233","95","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602596","2024-09-01T04:00:00","26.37","-165.87",,,"1","4","2","5",,,"11",,,,,,,,,"10173",,,"8",,,,,"9","275",,,,,,,,,,,,"233","65","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602626","2024-09-01T04:00:00","23.75","-161.87",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","279",,,,,,,,,,,,"233","31","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602722","2024-09-01T04:00:00","25.16","-164.43",,,"1","4","2","5",,,"11",,,,,,,,,"10157",,,"8",,,,,"9","273",,,,,,,,,,,,"233","54","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"4602740","2024-09-01T04:00:00","25.53","-163.07",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"233","53","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2024-09-01T04:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","10","1","50",,,,,"10148","6","3","0","264",,,"248","1","274",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","111111","11AAA11A118AA1",,,"6",,,"4"
"5100101","2024-09-01T04:00:00","24.40","-162.10",,,"1","4","2","0","0","0","11","0","330","1","30",,,,,"10152",,,"0","269",,,,"1","275",,,,"A",,,"4","1","9","9","5","233","42","993","114","6","1","2","2","11111F","11AAA11AA1811A",,,"6",,,"4"
"5102629","2024-09-01T04:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,"233","61","798","172","7","0",,"2","3FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5103556","2024-09-01T04:00:00","29.84","-166.04",,,"1","4","2","5",,,"11",,,,,,,,,"10179",,,"8",,,,,"9","273",,,,,,,,,,,,"233","96","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
"5103558","2024-09-01T04:00:00","29.79","-163.30",,,"1","4","2","5",,,"11",,,,,,,,,"10191",,,"8",,,,,"9","268",,,,,,,,,,,,"233","93","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,
