"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","ICE_OF_LAND_ORIGIN","IND_FOR_PRECIP"
"WWAA","2024-09-05T09:00:00","20.20","-107.60",,,"1","4","0","0","3","4","1",,,,,,,,,"10092","8","19","0","287","0","268","261",,,,,,"A",,,,,,,,,"239","7","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"5LKJ9","2024-09-05T10:00:00","21.50","-109.10",,,"1","5","2","5","7","4","1",,"290","3","26","1","97","2",,"10123","4","0","8","290",,"250","232",,,"1","1","1","5","0","0",,,,"25","12","3","239","19","798","172","5","1","2","1","F11111","1111A1111A1A11","5",,,,,,,
"WWAA","2024-09-05T10:00:00","20.00","-107.50",,,"1","4","0","0","3","4","1",,,,,,,,,"10087","6","19","0","289","0","270","263",,,,,,"A",,,,,,,,,"239","7","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,"4"
"D5QE3","2024-09-05T18:00:00","20.00","-106.80",,,"1","4","0","0",,,"1","0","180","4","31",,"97",,,"10120",,,"0","320",,,,"1","340","4",,,"A",,,,,"1","21",,"3","239","6","992","114","5","1","2","2","51111F","111AA11AA1133A",,"3",,,,,,"4"
"DCQP2","2024-09-05T18:00:00","20.40","-107.30",,,"1","6","2","5","7","4","1",,"100","4","51","1","98","2","0","10111","0","5","8","302",,,"246","1","303","3","1","1","5","6","3","0","5","0","20","12","4","239","7","798","172","5","0",,"2","111111","1111111A111311","5",,"0",,,,,
"9HA2066","2024-09-05T22:00:00","21.10","-109.90",,,"1","5","2","5","3","4","1",,,,,,,,,"10107","8","18","8","325",,"293","284",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"9HA2066","2024-09-05T23:00:00","20.90","-109.70",,,"1","6","2","5","3","4","1",,"50","4","62","1","98","1","2","10103","6","18","8","331",,"294","283","7","280","6","5","2","5","4","2",,"8","2","20","12","3","239","9","798","172","5","1","2","2","131111","11111111111111","5",,"1",,,,,
"9HA2066","2024-09-06T00:00:00","20.80","-109.40",,,"1","6","2","5","3","4","1",,"50","4","41","1","98","2","1","10097","6","16","8","331",,"291","278","7","310","6","5","1","5","4","5",,"6","2","20","12","3","239","9","798","172","5","1","2","2","131111","11111111111111","5",,"1",,,,,
"DCQP2","2024-09-06T00:00:00","21.40","-108.90",,,"1","6","2","5","7","4","1",,"60","4","31","1","98","3","0","10092","6","8","8","302",,,"246","1","291","5","1","1","A","0","2",,,,,,,"239","18","798","172","5","0",,"2","111111","1111111A111AA1","5",,"0",,,,,
"9HA2066","2024-09-06T01:00:00","20.60","-109.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10098","5","8","8","314",,"283","273",,,,,"A",,"A","A",,,,,,,"239","9","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"9HA2066","2024-09-06T03:00:00","20.40","-108.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10104","3","6","8","299",,"276","269",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"DCQP2","2024-09-06T03:00:00","21.90","-109.60",,,"1","6","2","5","7","4","1",,"190","4","5","1","98","2","2","10108","3","16","8","289",,,"245","1","294","5","0","0","9","0","2",,,,,,,"239","19","798","172","5","0",,"1","111111","1111111A111AA1","5",,"2",,,,,
"9HA2066","2024-09-06T04:00:00","20.20","-108.40",,,"1","5","2","5","3","4","1",,,,,,,,,"10111","3","13","8","297",,"276","269",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"9HA2066","2024-09-06T05:00:00","20.10","-108.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10119","3","19","8","295",,"276","269",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"KCOJ","2024-09-06T12:00:00","21.10","-108.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10092",,,,,,,,,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","1","FFFF1F","1AAAA1AAAA8AAA","5",,,,,,,
"WDD4207","2024-09-06T19:00:00","21.80","-105.64",,,"1","5","2","5","6","4","1",,,,,,,,,"10107","8","19","8","310",,"273","260",,,,,"A",,"A","A",,,,,,,"239","15","798","172","5","0",,"2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"DJAZ2","2024-09-07T06:00:00","21.50","-108.90",,,"1","6","2","5","3","4","1",,"290",,"62","1","98","1","0","10093","8","1","8","283",,,"249","7","302","2","2","5","5","0","0","29",,"2",,,,"239","18","798","172","5","0",,"1","111111","1111111A1113A1","5",,"0",,,,,
"9V6627","2024-09-07T13:00:00","20.60","-108.60",,,"1","6","2","5","3","3","1",,"10","3","77","1","98","2","0","10137","7","20","8","290",,"270","262","1","300",,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","111111","11111111118AA1","5",,"0",,,,,
"VRJT8","2024-09-08T12:00:00","22.00","-109.90",,,"1","5","2","5","3","4","1",,,,,,,,,"10058","5","4","8","272",,"263","260",,,,,"A",,"A","A",,,,,,,"239","29","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T13:00:00","21.80","-109.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10062","5","0","8","278",,"267","264",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T14:00:00","21.70","-109.40",,,"1","5","2","5","3","4","1",,,,,,,,,"10065","3","7","8","285",,"273","269",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T15:00:00","21.50","-109.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10071","3","13","8","296",,"278","272",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"BKKH","2024-09-08T16:00:00","22.00","-110.00",,,"1","6","2","5","3","4","1",,"340","4","36",,,,,"10090","4","0","8","300",,"290","287","3","260",,,"A",,"A","A",,,,,,,"238","20","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,,,,
"VRJT8","2024-09-08T16:00:00","21.30","-109.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10074","1","12","8","296",,"281","276",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T17:00:00","21.20","-108.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10076","1","11","8","276",,"265","262",,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T18:00:00","21.00","-108.50",,,"1","5","2","5","3","4","1",,,,,,,,,"10074","0","3","8","275",,"260","255",,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T19:00:00","20.80","-108.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10071","8","2","8","275",,"259","253",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"BKKH","2024-09-08T20:00:00","21.50","-109.10",,,"1","5","2","5","3","4","1",,"140","4","21",,,,"1","10080",,,"8","290",,"270","262",,,,,"A",,"A","A","0","25","0",,,,"239","19","798","172","5","1","2","2","F11111","11AA11111A88AA","5",,"1",,,,,
"VRJT8","2024-09-08T20:00:00","20.70","-108.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10065","8","11","8","294",,"273","267",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-08T21:00:00","20.50","-107.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10060","8","14","8","289",,"271","265",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"BKKH","2024-09-08T22:00:00","21.10","-108.50",,,"1","5","2","5","3","4","1",,"80","4","57","1","98",,,"10070","4","0","8","300",,"290","287",,,"3","2","1","2","6","A",,,"1",,,,"239","18","798","172","5","1","2","2","F11111","111AA1111A13A1","5",,,,,,,
"VRJT8","2024-09-08T22:00:00","20.40","-107.50",,,"1","5","2","5","3","4","1",,,,,,,,,"10054","8","18","8","287",,"269","263",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"BKKH","2024-09-08T23:00:00","21.00","-108.20",,,"1","4","0","0","3","4","1","0","70","4","36",,"98",,,"10070","4","0","0","300","0","290","287",,,"3","2","1","2","4","A",,,"1",,,,"239","18","992","114","5","0",,"2","F11111","111AA1111A13A1",,"1",,,,,,"4"
"VRJT8","2024-09-08T23:00:00","20.20","-107.30",,,"1","5","2","5","3","4","1",,,,,,,,,"10052","6","13","8","290",,"270","264",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRJT8","2024-09-09T00:00:00","20.00","-107.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10052","6","8","8","292",,"271","264",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"BKKH","2024-09-09T05:00:00","20.10","-106.60",,,"1","6","2","5","3","4","1",,"150","4","57",,,,,"10080","7","10","8","300",,"290","287","3","310",,,"A",,"A","A",,,,,,,"239","6","798","172","5","1","2","1","111111","11AAA111118AA1","5",,,,,,,
"YBBHE7D","2024-09-09T16:00:00","21.90","-109.60",,,"1","6","2","5","3","3","1",,"110","3","31","1","98","2","1","10110",,,"8","300","0","270","260","1","320","3","3","1","4","4","3","0","3","0","23","12","4","239","19","798","172","5","0",,"2","111111","1111111111131A","5",,"1",,,,,
"D5NC3","2024-09-09T19:00:00","20.40","-105.90",,,"1","6","2","5","7","3","1",,"270","4","62",,,,,"10103",,,"8","310",,"300","297","1","310",,,"A",,"A","A",,,,,,,"239","5","798","172","5","1","2","2","111111","11AAA111118AAA","5",,,,,,,
"YBBHE7D","2024-09-09T20:00:00","21.40","-108.80",,,"1","6","2","5","3","3","1",,"90","3","36","1","98","2","0","10100","6","10","8","310","0","280","271","1","330","2","2","1","4","A","A",,"3","1","36",,,"239","18","798","172","5","0",,"2","311111","11111111111171","5",,"0","36",,,,
"7KMB","2024-09-09T21:00:00","20.40","-109.30",,,"1","6","2","5","7","3","1",,"90","4","51","1","98","19","0","10085","6","7","8","330","0","310","304","3","336","3","3","1","4","6","6",,"2","1",,,,"239","9","798","172","5","1","2","2","531111","111111111111A1","5",,"0",,,,,
"YBBHE7D","2024-09-10T05:00:00","20.40","-107.30",,,"1","6","2","5","3","3","1",,"270","3","31","1","98","1","1","10110",,,"8","290","0","260","250","1","330","3","3","4","6","4","A","0","3","0",,,,"239","7","798","172","5","0",,"1","311111","111111111113AA","5",,"1",,,,,
"D5ZH9","2024-09-10T06:00:00","21.40","-109.40",,,"1","6","2","5","7","4","1",,"360","4","36","1","98","3",,"10160","0","0","8","300",,"270","258","1","300",,,"1",,"6","A",,,,,,,"239","19","798","172","5","1","2","1","111111","1111A111118AA1","5",,,,,,,
"VRKE9","2024-09-10T19:00:00","21.80","-109.80",,,"1","5","2","5","3","4","1",,,,,,,,,"10085","8","13","8","316",,"282","271",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-10T20:00:00","23.20","-106.40",,,"1","5","2","5","9",,"1",,,,,,,,,"10064","8","16","8","331",,"304","296",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-10T20:00:00","21.60","-109.50",,,"1","5","2","5","3","4","1",,,,,,,,,"10078","8","18","8","314",,"283","273",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-10T21:00:00","21.40","-109.20",,,"1","5","2","5","3","4","1",,,,,,,,,"10072","8","19","8","320",,"287","277",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-10T22:00:00","21.20","-109.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10066","6","18","8","319",,"285","274",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-10T23:00:00","23.20","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10043","6","20","8",,,"311","299",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-10T23:00:00","21.00","-108.70",,,"1","5","2","5","3","4","1",,,,,,,,,"10059","8","18","8",,,"304","289",,,,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T00:00:00","23.20","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10043","6","12","8",,,"311","299",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F7FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-11T00:00:00","20.90","-108.40",,,"1","5","2","5","3","4","1",,,,,,,,,"10057","6","14","8","348",,"302","288",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T01:00:00","23.10","-106.40",,,"1","5","2","5","9","0","1",,,,,,,,,"10043","6","3","8","332",,"298","289",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-11T01:00:00","20.70","-108.10",,,"1","5","2","5","3","4","1",,,,,,,,,"10060","5","7","8","320",,"285","275",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T02:00:00","23.10","-106.60",,,"1","5","2","5","6","1","1",,,,,,,,,"10041","8","2","8","302",,"282","276",,,,,"A",,"A","A",,,,,,,"239","36","798","172","5","1","2","1","F1FF21","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-11T02:00:00","20.50","-107.90",,,"1","5","2","5","3","4","1",,,,,,,,,"10064","3","5","8","299",,"278","271",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-11T03:00:00","20.30","-107.60",,,"1","5","2","5","3","4","1",,,,,,,,,"10068","3","11","8","295",,"276","269",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"5LKJ9","2024-09-11T04:00:00","21.60","-109.20",,,"1","6","2","5","3","4","1",,"290","3","51","1","98","1","0","10093",,,"8","300",,"290","287","7","310","1",,"A","A","A","A",,,,,,,"239","19","798","172","5","1","2","1","111111","11111111111AAA","5",,"0",,,,,
"VRKE9","2024-09-11T04:00:00","20.10","-107.30",,,"1","5","2","5","3","4","1",,,,,,,,,"10076","3","16","8","294",,"272","264",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRKE9","2024-09-11T05:00:00","20.00","-107.00",,,"1","5","2","5","3","4","1",,,,,,,,,"10078","1","14","8","296",,"278","272",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T06:00:00","22.90","-107.80",,,"1","5","2","5","6","4","1",,,,,,,,,"10055","0","11","8","295",,"285","282",,,,,"A",,"A","A",,,,,,,"239","27","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T07:00:00","22.80","-108.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10052","8","2","8","296",,"288","285",,,,,"A",,"A","A",,,,,,,"239","28","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T08:00:00","22.80","-108.50",,,"1","5","2","5","9",,"1",,,,,,,,,"10047","8","8","8","295",,"278","273",,,,,"A",,"A","A",,,,,,,"239","28","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRVC4","2024-09-11T08:00:00","20.00","-107.40",,,"1","5","2","5","7","4","1",,,,,,,,,"10070","8","8","8","275",,"262","258",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"5LKJ9","2024-09-11T09:00:00","20.70","-107.80",,,"1","5","2","5","3","4","1",,"320","3","26","1","97","13",,"10088","6","5","8","290",,"260","248",,,"5","4","8","5","7","0",,"3","1","18","13","2","239","7","798","172","5","1","2","1","F11111","1111A1111A1131","5",,,,,,,
"VRVC4","2024-09-11T09:00:00","20.20","-107.70",,,"1","5","2","5","7","4","1",,,,,,,,,"10063","6","15","8","278",,"262","257",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"C6FU4","2024-09-11T10:00:00","22.70","-109.10",,,"1","5","2","5","6","4","1",,,,,,,,,"10041","5","11","8","291",,"276","271",,,,,"A",,"A","A",,,,,,,"239","29","798","172","5","1","2","1","F1FF21","1AAAA1111A8AA1","5",,,,,,,
"VRVC4","2024-09-11T10:00:00","20.40","-108.00",,,"1","5","2","5","7","4","1",,,,,,,,,"10060","6","15","8","282",,"263","257",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"VRVC4","2024-09-11T11:00:00","20.60","-108.20",,,"1","5","2","5","7","4","1",,,,,,,,,"10060","6","10","8","278",,"260","254",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,
"5LKJ9","2024-09-11T12:00:00","20.10","-106.90",,,"1","4","0","0","3","4","1","0","40","3","26",,"98","3","0","10105","8","3","0","290","0","270","262","1","310","4","2","2","4","A","A",,"2","0","20","11","3","239","6","992","114","5","1","2","1","111111","11111111111111",,"1","0",,,,,"4"
