"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"5100201","2015-09-01T00:04:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","283",,,,,,,"8","3","30","13","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:06:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","62",,,,"10109",,,"0","278",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:06:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","190","4","21",,,,"10087",,,"0","317",,,,"1","302",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","55114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:06:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","46",,,,"10117",,,,"282",,,,"1","299",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:06:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","30","4","46",,,,"10122",,,,"281",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:06:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","350","4","31",,,,"10112",,,"0","297",,,,"1","283",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-01T00:07:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","280",,,,,,,"10","4","10","13","4","234","16","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-01T00:11:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","3","3","11","2","234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:12:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","67",,,,"10109",,,"0","277",,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:12:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","190","4","21",,,,"10087",,,"0","319",,,,"1","303",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","55114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:12:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","51",,,,"10116",,,,"283",,,,"1","299",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:12:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","30","4","51",,,,"10121",,,,"280",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:12:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","70","4","36",,,,"10111",,,"0","299",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:18:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","67",,,,"10108",,,"0","277",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:18:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","200","4","21",,,,"10086",,,"0",,,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","57114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:18:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","50","4","51",,,,"10115",,,,"285",,,,"1","299",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:18:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","30","4","51",,,,"10120",,,,"279",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:18:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","36",,,,"10110",,,"0","301",,,,"1","285",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:24:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","67",,,,"10107",,,"0","277",,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:24:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","220","4","21",,,,"10085",,,"0",,,,,"1","301",,,,"A",,,,,,,,"234","5","995","114","16","1","2","2","57114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:24:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","30","4","46",,,,"10116",,,,"286",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:24:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","30","4","46",,,,"10119",,,,"281",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:24:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","36",,,,"10110",,,"0","300",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:30:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","57",,,,"10107",,,"0","279",,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:30:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","260","4","36",,,,"10084",,,"0","320",,,,"1","299",,,,"A",,,,,,,,"234","5","995","114","16","1","2","2","35314F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:30:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","51",,,,"10116",,,,"284",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:30:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","40","4","51",,,,"10118",,,,"280",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:30:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","21",,,,"10110",,,"0","302",,,,"1","285",,,,"A",,,,,,,,"234","17","995","114","16","1","2","2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100208","2015-09-01T00:31:00","22.30","-159.60",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","281",,,,,,,"8","4","6","11","2","234","29","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100204","2015-09-01T00:33:00","21.30","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","1","22","12","2","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100207","2015-09-01T00:33:00","21.50","-157.80",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","276",,,,,,,"8","4","2","11","1","234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100201","2015-09-01T00:34:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","283",,,,,,,"8","3","29","13","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:36:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","62",,,,"10107",,,"0","278",,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:36:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","210","4","21",,,,"10084",,,"0",,,,,"1","299",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","37114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:36:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","50","4","46",,,,"10116",,,,"284",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:36:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","40","4","51",,,,"10117",,,,"281",,,,"1","296",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:36:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","340","4","26",,,,"10109",,,"0","296",,,,"1","285",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-01T00:37:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","280",,,,,,,"10","4","10","12","4","234","16","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-01T00:41:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","287",,,,,,,"8","3","10","13","2","234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:42:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","62",,,,"10107",,,"0","278",,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:42:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","270","4","21",,,,"10083",,,"0",,,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","57114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:42:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","60","4","46",,,,"10115",,,,"286",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:42:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","40","4","57",,,,"10117",,,,"281",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:42:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","10","4","31",,,,"10109",,,"0","302",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","13111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:48:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","57",,,,"10106",,,"0","279",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:48:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","280","4","15",,,,"10082",,,"0",,,,,"1","300",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","57114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:48:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","62",,,,"10114",,,,"283",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:48:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","20","4","51",,,,"10118",,,,"273",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:48:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","360","4","31",,,,"10109",,,"0","303",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","15111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"5100000","2015-09-01T00:50:00","23.50","-153.80",,,"1","4",,"0",,,,"11","0","50","1","140",,,,"10082","7","27",,"274",,,,"1","275",,,,,,,"9","6","12","13","7","234","33","793","103","6","1","2","2","11124F","11AAA11AA1A111",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T00:54:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","10","4","57",,,,"10106",,,"0","280",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T00:54:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","270","4","15",,,,"10081",,,"0",,,,,"1","298",,,,"A",,,,,,,,"234","5","995","114","16","1","2","2","37114F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T00:54:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","36",,,,"10114",,,,"278",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T00:54:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","20","4","41",,,,"10118",,,,"279",,,,"1","297",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T00:54:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","60","4","26",,,,"10108",,,"0","306",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","2","15111F","11AAA11AA18AAA","31",,"6",,,,,,,,,,,"4"
"4600561","2015-09-01T01:00:00","27.55","-156.21",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","265",,,,,,,,,,,,"234","76","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"KLIH1","2015-09-01T01:00:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","360","4","51",,,,"10105","6","17","0","280",,,,"1","289",,,,"A",,,,,,,,"234","6","995","114","16","1","2","2","11111F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T01:00:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","270","4","31",,,,"10080","6","28","0",,,,,"1","298",,,,"A",,,,,,,,"234","5","995","114","16","1","2","2","37314F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T01:00:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","70","4","36",,,,"10114","6","17",,"278",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAA1","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T01:00:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","40","4","57",,,,"10118","6","20",,"278",,,,"1","296",,,,,,,,,,,,"234","19","795","103","16","1","2","2","11111F","11AAA11AA1AAA1","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T01:00:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","30","4","26",,,,"10108","6","17","0","302",,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","1","2","2","13111F","11AAA11AA18AA1","31",,"6",,,,,,,,,,,"4"
"5100208","2015-09-01T01:01:00","22.30","-159.60",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","281",,,,,,,"10","4","9","13","2","234","29","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100204","2015-09-01T01:03:00","21.30","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","287",,,,,,,"10","1","18","13","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"5100207","2015-09-01T01:03:00","21.50","-157.80",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","275",,,,,,,"8","4","2","11","1","234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100201","2015-09-01T01:04:00","21.70","-158.10",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","283",,,,,,,"8","3","32","11","1","234","18","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T01:06:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","20","4","67",,,,"10104",,,"0",,,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T01:06:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","270","4","31",,,,"10080",,,"0",,,,,"1","298",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","3F314F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T01:06:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","40","4","57",,,,"10114",,,,"276",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T01:06:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","40","4","51",,,,"10117",,,,,,,,"1","296",,,,,,,,,,,,"234","19","795","103","16","1","2","2","1F111F","11AAA1AAA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T01:06:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","40","4","36",,,,"10107",,,"0",,,,,"1","284",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"5100205","2015-09-01T01:07:00","21.00","-156.40",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","281",,,,,,,"9","4","10","11","5","234","16","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A71A",,,"6",,,,,,,,,,,"4"
"5100202","2015-09-01T01:11:00","21.40","-157.70",,,"1","4",,"0",,,,"11",,,,,,,,,,,,,,,,"1","286",,,,,,,"10","3","10","15","2","234","17","793","103","6","1","2","2","1FFFFF","1AAAAAAAA1A73A",,,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T01:12:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","30","4","51",,,,"10105",,,"0",,,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T01:12:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","270","4","15",,,,"10080",,,"0",,,,,"1","297",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","3F114F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T01:12:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","50","4","62",,,,"10113",,,,"278",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
"NWWH1","2015-09-01T01:12:00","21.95","-159.36",,,"1","4","2","5",,,,"5","0","30","4","57",,,,"10117",,,,,,,,"1","296",,,,,,,,,,,,"234","19","795","103","16","1","2","2","1F111F","11AAA1AAA1AAAA","31",,"6",,,,,,,,,,,"4"
"OOUH1","2015-09-01T01:12:00","21.30","-157.87",,,"1","4","2","5",,,,"5","0","340","4","36",,,,"10107",,,"0",,,,,"1","282",,,,"A",,,,,,,,"234","17","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"KLIH1","2015-09-01T01:18:00","20.90","-156.47",,,"1","4","2","5",,,,"5","0","30","4","51",,,,"10104",,,"0",,,,,"1","290",,,,"A",,,,,,,,"234","6","995","114","16","0",,"2","1F111F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"KWHH1","2015-09-01T01:18:00","20.04","-155.83",,,"1","4","2","5",,,,"5","0","100","4","46",,,,"10081",,,"0",,,,,"1","298",,,,"A",,,,,,,,"234","5","995","114","16","0",,"2","3F114F","11AAA1AAA18AAA","31",,"6",,,,,,,,,,,"4"
"MOKH1","2015-09-01T01:18:00","21.43","-157.79",,,"1","4","2","5",,,,"5","0","80","4","36",,,,"10112",,,,"281",,,,"1","300",,,,,,,,,,,,"234","17","795","103","16","1","2","2","31111F","11AAA11AA1AAAA","31",,"6",,,,,,,,,,,"4"
