"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"2100908","2015-09-01T02:09:00","25.69","-149.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T02:09:00","20.10","-142.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","2","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T02:09:00","26.58","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,"235","61","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:09:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T02:09:00","20.46","-141.01",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T02:12:00","20.48","-140.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","0","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:13:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:16:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:26:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T02:27:00","20.48","-140.98",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","0","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:28:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T02:31:00","28.47","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T03:00:00","25.67","-149.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T03:00:00","20.10","-142.35",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","2","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T03:00:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T03:00:00","26.59","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T03:00:00","22.05","-149.47",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T03:04:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T03:06:00","26.59","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T03:06:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T03:06:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T03:09:00","20.46","-141.01",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T03:13:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T03:43:00","22.07","-149.44",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T03:44:00","25.67","-149.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T03:48:00","20.10","-142.36",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T03:50:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T03:51:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T03:54:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T04:00:00","25.67","-149.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T04:00:00","20.10","-142.36",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T04:00:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T04:00:00","26.59","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T04:00:00","22.07","-149.44",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"271",,,,,,,,,,,,"235","29","794","103","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T04:04:00","28.48","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T04:05:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T04:06:00","26.59","-141.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T04:06:00","28.48","-144.71",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"251",,,,,,,,,,,,"235","84","794","103","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T04:06:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T04:45:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T04:48:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T04:51:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T04:52:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T05:00:00","25.65","-149.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T05:00:00","20.09","-142.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T05:00:00","25.55","-145.04",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T05:00:00","22.07","-149.40",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T05:24:00","28.48","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T06:00:00","25.65","-149.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T06:00:00","20.09","-142.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T06:00:00","25.55","-145.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T06:00:00","26.62","-141.46",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T06:00:00","22.07","-149.40",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WFLH","2015-09-01T06:00:00","25.90","-141.50",,,"1","4","0","0","5","4",,"1","0","80","3","118","98","3","2","10200","4","0","3","250","0","233","230","1","250","8","3","7","3","7","A","5","4","19","11","5","235","51","992","114","5","1","2","1","111111","11111111111111",,"1","2",,,,,,,,,"4"
"2100908","2015-09-01T06:03:00","25.65","-149.73",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T06:03:00","20.09","-142.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T06:03:00","25.55","-145.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T06:04:00","28.49","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T06:04:00","22.07","-149.40",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,"235","29","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T06:05:00","26.62","-141.46",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,"235","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T06:05:00","28.49","-144.70",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","251",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T06:06:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T06:57:00","25.65","-149.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T06:59:00","28.49","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T07:00:00","25.65","-149.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T07:00:00","20.09","-142.37",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T07:00:00","25.55","-145.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100540","2015-09-01T07:00:00","22.07","-149.40",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","29","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T07:00:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T07:06:00","28.49","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T07:38:00","20.08","-142.38",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T07:38:00","28.49","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600620","2015-09-01T07:42:00","25.55","-145.05",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","261",,,,,,,,,,,,"235","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"2100908","2015-09-01T07:43:00","25.64","-149.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,"235","59","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600621","2015-09-01T07:43:00","26.64","-141.46",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","256",,,,,,,,,,,,"235","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100676","2015-09-01T07:45:00","20.46","-141.03",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","272",,,,,,,,,,,,"235","1","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T07:46:00","28.49","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5100527","2015-09-01T07:51:00","28.49","-144.71",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","252",,,,,,,,,,,,"235","84","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4600563","2015-09-01T08:00:00","20.08","-142.38",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,"235","2","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
