"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4100709","2015-09-01T02:00:00","28.65","-71.87",,,"1","3","2","5",,,,"11",,,,,,,,"10209","2","8","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T02:00:00","25.28","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T02:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","21",,,,"10196","1","16",,"288",,,"249",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T02:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","40",,,,"10193",,,,"293",,,"245","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T02:39:00","25.27","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-01T02:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","40",,,,"10191","2","9",,"292",,,"243","1","297",,,,,,,"4","1","10","8","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T02:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","50",,,,"10196","1","9",,"290",,,"251","1","297",,,,,,,"5","1","7","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T03:00:00","28.64","-71.84",,,"1","3","2","5",,,,"11",,,,,,,,"10207","2","5","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T03:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","140","4","26",,,,"10198","1","11",,"286",,,"247",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T03:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","40",,,,"10189",,,,"292",,,"243","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T03:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","50",,,,"10189","1","5",,"291",,,"246","1","297",,,,,,,"4","1","7","11","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T03:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","110","1","60",,,,"10199","2","6",,"281",,,"246","1","297",,,,,,,"4","1","6","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T04:00:00","28.64","-71.84",,,"1","3","2","5",,,,"11",,,,,,,,"10208","4","0","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T04:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","140","4","21",,,,"10197","1","7",,"284",,,"248",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T04:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","50",,,,"10190",,,,"291",,,"246","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T04:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","40",,,,"10189","4","0",,"291",,,"247","1","297",,,,,,,"4","1","9","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T04:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","130","1","50",,,,"10197","4","0",,"283",,,"243","1","297",,,,,,,"5","1","7","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T05:00:00","28.64","-71.84",,,"1","3","2","5",,,,"11",,,,,,,,"10205","7","3","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T05:00:00","25.21","-75.18",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"302",,,,,,,,,,,,"242","55","794","103","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T05:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","26",,,,"10193","8","3",,"283",,,"248",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T05:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","40",,,,"10188",,,,"291",,,"246","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T05:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","40",,,,"10187","7","4",,"290",,,"245","1","297",,,,,,,"4","1","7","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T05:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","40",,,,"10190","8","6",,"286",,,"239","1","296",,,,,,,"4","1","8","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T06:00:00","28.62","-71.80",,,"1","3","2","5",,,,"11",,,,,,,,"10199","7","8","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T06:00:00","25.21","-75.18",,,"1","3","2","5",,,,"11",,,,,,,,,,,"0",,,,,,"301",,,,,,,,,,,,"242","55","794","103","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"C6FZ8","2015-09-01T06:00:00","25.80","-77.70",,,"1","4","0","0","3","2",,"1","0","110","3","46","99","1","1","10180","4","0","0","280","0","260","253","1","300","2","2","8","5","0","0",,,,,,"242","57","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,,,,,,,,"4"
"C6PZ8","2015-09-01T06:00:00","26.20","-79.20",,,"1","4","0","0","1","2",,"1","0","120","4","62","98",,"0","10180","4","0","0","280","0","270","267","1","300","3","3","4","6","A","5",,,,,,"242","69","992","114","5","1","2","1","111111","111A1111111AA1",,"1","0",,,,,,,,,,,"4"
"DGAF","2015-09-01T06:00:00","23.40","-74.60",,,"1","4","0","0","2","4","1","1","0","90","4","87","99","2","0","10190","0","6","0","286",,,"256","3","300","4","3","2","4","0","8",,,,,,"242","34","992","114","5","1","2","1","111111","1111111A111AA1",,"1","0",,,,,,,,,,,"4"
"J8NX","2015-09-01T06:00:00","24.50","-74.40",,,"1","4","0","0","7","3",,"1","0","90","3","98",,,,"10170","6","5","0","280","0","250","239","1","280","5","5","2","6","9","6","4","5","9","4","5","242","44","992","114","5","1","2","1","111111","11AAA111111111",,"3",,"9","3","5",,,,,,,,"4"
"J8PD","2015-09-01T06:00:00","25.40","-79.90",,,"1","4","0","0","4","3",,"1","0","140","4","67",,,"2","10176",,,"0","290","0","270","263","1","300","7","7","2","7","8","6","3","2",,"3","2","242","59","992","114","5","1","2","1","111111","11AA111111117A",,"1","1",,"3","2",,,,,,,,"4"
"SPGF1","2015-09-01T06:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","21",,,,"10185","8","13",,"283",,,"245",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"WCY7054","2015-09-01T06:00:00","29.50","-78.60",,,"1","4","0","0","5","3",,"1","0","180","3","51","98",,"1","10175","1","5","0","270",,,,,,"5","5","1","5","3","3","2","1","16","3","2","242","98","992","114","5","1","2","1","F1111F","111A111AAA1111",,"1","1","10","2","1",,,,,,,,"4"
"4100010","2015-09-01T06:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","40",,,,"10186",,,,"291",,,"246","1","297",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T06:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","30",,,,"10181","8","8",,"290",,,"244","1","296",,,,,,,"4","1","8","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T06:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","130","1","40",,,,"10183","8","16",,"287",,,"247","1","296",,,,,,,"4","1","8","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T07:00:00","28.62","-71.80",,,"1","3","2","5",,,,"11",,,,,,,,"10196","7","13","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T07:00:00","25.27","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"C6FM8","2015-09-01T07:00:00","25.70","-77.50",,,"1","4","0","0","4","2",,"1","0","90","4","77","98",,"1","10180","0","10","0","280","0","260","252","1","290","5","5","7","2","9","A","3","2","0",,,"242","57","992","114","5","1","2","1","111111","111A1111111131",,"1","1","0",,,,,,,,,,"4"
"SPGF1","2015-09-01T07:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","150","4","26",,,,"10182","6","15",,"279",,,"247",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100928","2015-09-01T07:11:00","25.21","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","302",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-01T07:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","30",,,,"10179",,,,"290",,,"242","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T07:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","30",,,,"10178","8","11",,"290",,,"244","1","296",,,,,,,"4","1","6","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T07:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","130","1","40",,,,"10180","6","17",,"284",,,"253","1","296",,,,,,,"4","1","8","10","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T08:00:00","28.62","-71.80",,,"1","3","2","5",,,,"11",,,,,,,,"10191","7","15","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T08:00:00","25.21","-75.18",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"9VIJ3","2015-09-01T08:00:00","26.30","-79.30",,,"1","4","0","0","4","3",,"1","0","100","4","51","97","3","2","10160","0",,"0","280","0","260","252",,,"4","4","1","8","A","A",,,,,,"242","69","992","114","5","1","2","1","F11111","111111111A1AA7",,"1","2",,,,,,,,,,,"4"
"C6PZ8","2015-09-01T08:00:00","26.30","-79.00",,,"1","4","0","0","1","2",,"1","0","140","4","67","98","3","0","10160","6","20","0","280","0","270","267","1","300","4","4","1","6","8","3",,,,,,"242","69","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,,,,,,,,"4"
"C6VG8","2015-09-01T08:00:00","27.00","-79.50",,,"1","4","0","0","3","4",,"1","0","150","4","46","98","2","2","10170","4","0","0","290",,,,"1","310","9","9","A","A","A","A","8","1","0",,,"242","79","992","114","5","1","2","1","11111F","1111111AA14131",,"1","2","0",,,,,,,,,,"4"
"SPGF1","2015-09-01T08:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","31",,,,"10177","6","16",,"279",,,"242",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T08:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","30",,,,"10176",,,,"289",,,"241","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T08:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","30",,,,"10175","6","12",,"289",,,"240","1","296",,,,,,,"4","1","7","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T08:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","130","1","40",,,,"10177","6","13",,"284",,,"253","1","296",,,,,,,"4","1","12","7","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T08:55:00","25.20","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-01T09:00:00","28.60","-71.77",,,"1","3","2","5",,,,"11",,,,,,,,"10191","7","8","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T09:00:00","25.20","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"SPGF1","2015-09-01T09:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","31",,,,"10177","6","8",,"281",,,"246",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T09:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","140","1","20",,,,"10176",,,,"289",,,"242","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T09:42:00","25.19","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100010","2015-09-01T09:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","30",,,,"10179","5","0",,"289",,,"243","1","296",,,,,,,"4","1","10","9","1","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T09:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","40",,,,"10180","5","3",,"284",,,"250","1","296",,,,,,,"4","1","9","9","2","242","71","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100709","2015-09-01T10:00:00","28.60","-71.77",,,"1","3","2","5",,,,"11",,,,,,,,"10192","7","4","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","1","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T10:00:00","25.19","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"C6YR6","2015-09-01T10:00:00","25.80","-77.70",,,"1","4","0","0","3","5",,"1","0","120","4","67","98","2","2","10175","6","10","0","287",,,,"3","295","6","6","5","5","A","A","5","1",,,,"242","57","992","114","5","1","2","1","11111F","1111111AA111A1",,"1","2",,,,,,,,,,,"4"
"SPGF1","2015-09-01T10:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","31",,,,"10180","5","0",,"277",,,"244",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T10:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","170","1","20",,,,"10180",,,,"289",,,"240","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","1","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T10:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","140","1","20",,,,"10183","3","5",,"289",,,"245","1","296",,,,,,,"4","1","7","10","2","242","88","793","103","6","1","2","1","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T10:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","30",,,,"10184","3","4",,"287",,,"248","1","296",,,,,,,"4","1","8","9","2","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100928","2015-09-01T10:54:00","25.17","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"4100709","2015-09-01T11:00:00","28.60","-71.77",,,"1","3","2","5",,,,"11",,,,,,,,"10196","2","6","0",,,,,,"299",,,,,,,,,,,,"242","81","794","103","7","1","2","2","1FFF1F","1AAAA1AAA1AAA1","4",,,,,,,,,,,,,
"4100928","2015-09-01T11:00:00","25.17","-75.17",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,"9","301",,,,,,,,,,,,"242","55","798","172","7","1","2","2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,
"H3VU","2015-09-01T11:00:00","28.50","-74.10",,,"1","4","0","0","3","4",,"1","0","170","3","98","98",,"1","10200","4",,"3","270","0","250","240","1","290",,,"2","4","A","A",,,,,,"242","84","992","114","5","1","2","2","111111","111A1111118AA7",,"1","1",,,,,,,,,,,"4"
"SPGF1","2015-09-01T11:00:00","26.70","-78.99",,,"1","4","2","5",,,,"5","0","130","4","36",,,,"10187","3","10",,"279",,,"242",,,,,,,,,,,,,,"242","68","795","103","13","1","2","1","F11111","11AAA11A1AAAA1","31","6",,,,,,,,,,,,"4"
"4100010","2015-09-01T11:20:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","160","1","20",,,,"10186",,,,"289",,,"241","1","296",,,,,,,,,,,,"242","88","793","103","6","1","2","2","111111","11AAA11A11AAAA",,"6",,,,,,,,,,,,"4"
"4100010","2015-09-01T11:50:00","28.90","-78.50",,,"1","4",,"0",,,,"11","0","150","1","20",,,,"10190","3","15",,"291",,,"243","1","296",,,,,,,"4","1","8","9","1","242","88","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
"4100047","2015-09-01T11:50:00","27.50","-71.50",,,"1","4",,"0",,,,"11","0","120","1","30",,,,"10189","3","12",,"290",,,"247","1","296",,,,,,,"4","1","8","10","2","242","71","793","103","6","1","2","2","111111","11AAA11A11A111",,"6",,,,,,,,,,,,"4"
