"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"KLIH1","2023-09-01T00:00:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","118",,,,,"10151","6","23","0","267",,,,"1","268",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AA1","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:00:00","20.04","-155.83",,,"1","4","2","5",,,"5","0",,"4",,,,,,"10136","8","3","0","267",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11711F","11AAA11AA18AA1","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:00:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","90","4","51",,,,,"10164","7","18","0","270",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AA1","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:00:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","40","4","51",,,,,"10176","8","18","0","266",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AA1","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:00:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","110","4","36",,,,,"10160","8","19","0","273",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AA1","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:00:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","30","4","57",,,,,"10158","8","18","0","283",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AA1","31",,"6",,,,,,"4"
"WDA7827","2023-09-01T00:00:00","21.50","-155.20",,,"1","6","2","5","9",,"1",,"90","4","82",,,,,"10163",,,"8","257",,,"192","3","263",,,"A",,"A","A",,,,,,,"234","15","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,,,
"WTEE","2023-09-01T00:00:00","22.70","-158.00",,,"1","6","2","5","9",,"1",,"70","4","118",,,,,"10175",,,"8","260",,,"204","3","266",,,"A",,"A","A",,,,,,,"234","28","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,,,
"WUSD","2023-09-01T00:00:00","21.30","-157.90",,,"1","5","2","5","9","0","1",,,,,,,,,"10153","8","13","8","292",,"224","193",,,,,"A",,"A","A",,,,,,,"234","17","798","172","5","1","2","2","F1FF12","1AAAA1111A8AA1",,"5",,,,,,,
"1801605","2023-09-01T00:03:00","21.21","-157.85",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"KLIH1","2023-09-01T00:06:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","108",,,,,"10151",,,"0","265",,,,"1","267",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:06:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","62",,,,,"10139",,,"0","267",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:06:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","70","4","72",,,,,"10163",,,"0","271",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:06:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","60","4","67",,,,,"10175",,,"0","266",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:06:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","80","4","46",,,,,"10160",,,"0","270",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:06:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","72",,,,,"10158",,,"0","275",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"1801605","2023-09-01T00:08:00","21.20","-157.85",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"1801606","2023-09-01T00:10:00","21.31","-157.87",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"KLIH1","2023-09-01T00:12:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","103",,,,,"10150",,,"0","266",,,,"1","267",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:12:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","72",,,,,"10139",,,"0","265",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:12:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","70","4","77",,,,,"10163",,,"0","267",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:12:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","60","4","77",,,,,"10174",,,"0","265",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:12:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","80","4","26",,,,,"10159",,,"0","275",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:12:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","40","4","72",,,,,"10157",,,"0","277",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"5100201","2023-09-01T00:16:00","21.67","-158.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","266",,,,,,,,,,,,,"234","18","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"KLIH1","2023-09-01T00:18:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","60","4","93",,,,,"10149",,,"0","265",,,,"1","267",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:18:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","260","4","62",,,,,"10139",,,"0","264",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:18:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","72",,,,,"10162",,,"0","267",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:18:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","70","4","82",,,,,"10174",,,"0","263",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:18:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","80","4","26",,,,,"10159",,,"0","273",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:18:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","62",,,,,"10157",,,"0","273",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"5100000","2023-09-01T00:20:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"80",,"83",,,,,"10172",,,"8","255",,,"209","9","260",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,
"KLIH1","2023-09-01T00:24:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","118",,,,,"10149",,,"0","270",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:24:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","57",,,,,"10138",,,"0","266",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:24:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","82",,,,,"10161",,,"0","268",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:24:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","50","4","57",,,,,"10174",,,"0","267",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:24:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","70","4","41",,,,,"10157",,,"0","272",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:24:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","62",,,,,"10156",,,"0","274",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"1801605","2023-09-01T00:25:00","21.20","-157.85",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"1801606","2023-09-01T00:25:00","21.31","-157.87",,,"1","3","2","5",,,"11","5",,,,,,,,"10154",,,"8","278",,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","F1111F","11AAA11AAAAAAA","4",,,,,,,,
"5100202","2023-09-01T00:26:00","21.40","-157.70",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"4","8","11","1","234","17","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,,,
"5100207","2023-09-01T00:26:00","21.48","-157.75",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"5100210","2023-09-01T00:26:00","21.48","-157.76",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","260",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"5100213","2023-09-01T00:28:00","20.75","-157.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","271",,,,,,,,,,,,,"234","7","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"5100000","2023-09-01T00:30:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","78",,"79",,,,,"10171",,,"8","255",,,"209","9","260",,,,,,,,,,,,,"234","33","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,,,,
"5100211","2023-09-01T00:30:00","21.30","-157.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8","276",,,,"9","271",,,,,,,,,,,,,"234","17","798","172","6","1","2","2","11FFFF","1AAAAA1AA1AAAA",,,,,,,,,
"5100212","2023-09-01T00:30:00","21.30","-158.10",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"3","17","10","1","234","18","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,,,
"KLIH1","2023-09-01T00:30:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","108",,,,,"10148",,,"0","269",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:30:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","62",,,,,"10137",,,"0","266",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:30:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","70","4","82",,,,,"10160",,,"0","267",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:30:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","60","4","72",,,,,"10174",,,"0","264",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:30:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","80","4","41",,,,,"10156",,,"0","274",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:30:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","67",,,,,"10155",,,"0","276",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"KLIH1","2023-09-01T00:36:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","108",,,,,"10147",,,"0","268",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:36:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","57",,,,,"10137",,,"0","267",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:36:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","50","4","67",,,,,"10160",,,"0","267",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:36:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","60","4","67",,,,,"10173",,,"0","267",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:36:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","50","4","36",,,,,"10156",,,"0","275",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:36:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","67",,,,,"10154",,,"0","273",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"1801606","2023-09-01T00:37:00","21.31","-157.87",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"5100000","2023-09-01T00:40:00","23.53","-153.79",,,"1","5","2","5",,,"11","5","77",,"79",,,,,"10170",,,"8","255",,,"209","9","260",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,
"KLIH1","2023-09-01T00:42:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","108",,,,,"10147",,,"0","267",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:42:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","280","4","67",,,,,"10136",,,"0","267",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:42:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","77",,,,,"10159",,,"0","268",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:42:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","50","4","62",,,,,"10174",,,"0","251",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:42:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","120","4","26",,,,,"10155",,,"0","276",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:42:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","10","4","77",,,,,"10154",,,"0","274",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"5100208","2023-09-01T00:45:00","22.28","-159.57",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"234","29","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"5100201","2023-09-01T00:46:00","21.67","-158.12",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","266",,,,,,,,,,,,,"234","18","798","172","6","1","2","2","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,
"1801606","2023-09-01T00:47:00","21.31","-157.87",,,"1","3","2","5",,,"11","5",,,,,,,,"10151",,,"8","280",,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","F1111F","11AAA11AAAAAAA","4",,,,,,,,
"KLIH1","2023-09-01T00:48:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","118",,,,,"10146",,,"0","269",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:48:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","51",,,,,"10137",,,"0","266",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:48:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","72",,,,,"10158",,,"0","268",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:48:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","50","4","46",,,,,"10173",,,"0","258",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:48:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","60","4","36",,,,,"10156",,,"0","272",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:48:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","51",,,,,"10154",,,"0","276",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"5100000","2023-09-01T00:50:00","23.53","-153.79",,,"1","5","2","5",,,"11",,"80",,"78",,,,,"10170",,,"8","256",,,"210","9","260",,,,,,,,,,,,,"234","33","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,,,,
"1801605","2023-09-01T00:53:00","21.20","-157.85",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"234","17","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,
"KLIH1","2023-09-01T00:54:00","20.90","-156.47",,,"1","4","2","5",,,"5","0","70","4","129",,,,,"10145",,,"0","267",,,,"1","266",,,,"A",,,,,,,,,"234","6","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"KWHH1","2023-09-01T00:54:00","20.04","-155.83",,,"1","4","2","5",,,"5","0","270","4","46",,,,,"10136",,,"0","268",,,,"1","272",,,,"A",,,,,,,,,"234","5","995","114","16","0",,"2","11511F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"MOKH1","2023-09-01T00:54:00","21.43","-157.79",,,"1","4","2","5",,,"5","0","60","4","67",,,,,"10158",,,"0","269",,,,"1","276",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"NWWH1","2023-09-01T00:54:00","21.95","-159.36",,,"1","4","2","5",,,"5","0","40","4","41",,,,,"10172",,,"0","262",,,,,,,,,"A",,,,,,,,,"234","19","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"OOUH1","2023-09-01T00:54:00","21.31","-157.87",,,"1","4","2","5",,,"5","0","90","4","31",,,,,"10155",,,"0","274",,,,"1","270",,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","11111F","11AAA11AA18AAA","31",,"6",,,,,,"4"
"PRHH1","2023-09-01T00:54:00","21.37","-157.96",,,"1","4","2","5",,,"5","0","20","4","57",,,,,"10154",,,"0","274",,,,,,,,,"A",,,,,,,,,"234","17","995","114","16","0",,"2","F1111F","11AAA11AAA8AAA","31",,"6",,,,,,"4"
"5100202","2023-09-01T00:56:00","21.40","-157.70",,,"1","4","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,"4","6","11","1","234","17","798","172","6","1","2","2","FFFFFF","1AAAAAAAAAA71A",,,,,,,,,
