"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","IND_FOR_PRECIP"
"WMDQ","2023-09-01T20:00:00","20.00","70.50",,,"1","5","2","5","5","2","1",,,,"10084","8","7","8","279",,"246","233",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-02T00:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10091",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T01:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10096",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T02:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10101",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T03:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10109",,,"8",,,,,"9","285",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T04:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10111",,,"8",,,,,"9","285",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T05:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10112",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T08:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10099",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T09:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10092",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-02T12:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10080",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-07T09:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10056",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-07T10:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10051",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-07T12:00:00","20.10","70.00",,,"1","5","2","5","2","3","1",,,,"10046","6","15","8","312",,"274","262",,,"A",,"A","A","221","0","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-07T12:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10044",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-07T13:00:00","20.20","70.30",,,"1","5","2","5","2","3","1",,,,"10044","6","10","8","293",,"264","255",,,"A",,"A","A","221","0","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T14:00:00","20.20","70.50",,,"1","5","2","5","2","3","1",,,,"10046","5","0","8","279",,"257","250",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T15:00:00","20.30","70.70",,,"1","5","2","5","2","3","1",,,,"10052","3","6","8","278",,"258","251",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-07T15:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10063",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-07T16:00:00","20.40","70.90",,,"1","5","2","5","2","3","1",,,,"10053","1","9","8","276",,"257","251",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T17:00:00","20.50","71.20",,,"1","5","2","5","2","3","1",,,,"10058","1","12","8","272",,"259","254",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T18:00:00","20.60","71.30",,,"1","5","2","5","1","3","1",,,,"10053","0","1","8","269",,"256","251",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T19:00:00","20.80","71.50",,,"1","5","2","5","1","3","1",,,,"10050","8","3","8","276",,"253","244",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-07T19:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10064",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-07T20:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10065",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-07T21:00:00","20.90","71.50",,,"1","5","2","5","8","2","1",,,,"10042","8","11","8","273",,"246","236",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T22:00:00","20.90","71.50",,,"1","5","2","5","8","1","1",,,,"10036","8","14","8","265",,"244","236",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-07T23:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10035","6","14","8","263",,"243","236",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T00:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10039","5","3","8","262",,"244","237",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T00:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10056",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T01:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10039","3","3","8","264",,"244","237",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T01:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10059",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T02:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10045","3","10","8","269",,"246","238",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T02:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10064",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T03:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10051","3","12","8","276",,"250","240",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T04:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10053","1","15","8","298",,"259","245",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T04:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10077",,,"8",,,,,"9","285",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-08T05:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10080",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T06:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10061","3","10","8","276",,"256","249",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T06:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10076",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T07:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10057","0","4","8","286",,"257","246",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T07:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10071",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T08:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10050","8","5","8","278",,"258","250",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T09:00:00","20.80","71.50",,,"1","5","2","5","9","0","1",,,,"10042","8","19","8","277",,"260","254",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T10:00:00","20.70","71.40",,,"1","5","2","5","5","1","1",,,,"10031","8","26","8","276",,"260","255",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T11:00:00","20.50","71.20",,,"1","5","2","5","5","2","1",,,,"10033","5","17","8","275",,"256","250",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T11:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10056",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMHA","2023-09-08T12:00:00","20.40","71.00",,,"1","5","2","5","5","3","1",,,,"10038","5","4","8","276",,"260","254",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T13:00:00","20.30","70.90",,,"1","5","2","5","5","3","1",,,,"10040","3","9","8","277",,"262","257",,,"A",,"A","A","221","0","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"WMHA","2023-09-08T14:00:00","20.10","70.80",,,"1","5","2","5","5","3","1",,,,"10050","3","18","8","276",,"257","251",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-08T14:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10065",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-08T15:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10066",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-08T16:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10072",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-08T19:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10067",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-08T23:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10056",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T00:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10058",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T01:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10063",,,"8",,,,,"9","285",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T02:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10068",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T03:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10074",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T04:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10079",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T07:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10071",,,"8",,,,,"9","284",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T09:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10062",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T11:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10051",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-09T12:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10054",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"7XCL4WP","2023-09-10T22:00:00","20.01","70.15",,,"1","5","2","5","7","4","1",,,,"10047","7","15","8","284",,,"250",,,,,,,"221","0","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,
"2302625","2023-09-12T22:05:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10062",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T00:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10062",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T01:05:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10068",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T02:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10072",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T07:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10074",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T08:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10067",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T10:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10055",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T13:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10054",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T15:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10064",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T16:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10070",,,"8",,,,,"9","289",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T18:05:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10072",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T19:05:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10069",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T22:05:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10063",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-13T23:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10064",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T00:04:00","20.90","70.36",,,"1","4","2","5",,,"11",,,,"10066",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T01:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10070",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T03:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10082",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T05:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10085",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T06:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10083",,,"8",,,,,"9","286",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T11:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10052",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-14T12:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10054",,,"8",,,,,"9","290",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-14T13:00:00","20.50","70.10",,,"1","5","2","5","2","3","1",,,,"10040","3","1","8","325",,"283","270",,,"A",,"A","A","221","0","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-14T13:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10056",,,"8",,,,,"9","290",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-14T14:00:00","20.50","70.40",,,"1","5","2","5","2","3","1",,,,"10045","3","7","8","283",,"260","251",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-14T14:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10060",,,"8",,,,,"9","290",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-14T15:00:00","20.40","70.60",,,"1","5","2","5","2","3","1",,,,"10050","3","12","8","279",,"256","247",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMCU","2023-09-14T16:00:00","20.30","70.80",,,"1","5","2","5","2","3","1",,,,"10057","3","17","8","278",,"258","251",,,"A",,"A","A","221","0","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-14T16:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10072",,,"8",,,,,"9","290",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-14T17:00:00","20.40","71.00",,,"1","5","2","5","2","3","1",,,,"10058","0","14","8","279",,"264","259",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMCU","2023-09-14T18:00:00","20.50","71.20",,,"1","5","2","5","2","3","1",,,,"10058","0","8","8","277",,"267","263",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-14T18:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10074",,,"8",,,,,"9","290",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-14T19:00:00","20.60","71.40",,,"1","5","2","5","1","3","1",,,,"10055","8","2","8","277",,"269","267",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMCU","2023-09-14T20:00:00","20.60","71.40",,,"1","5","2","5","1","2","1",,,,"10054","5","5","8","277",,"270","267",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMCU","2023-09-14T21:00:00","20.70","71.40",,,"1","5","2","5","1","2","1",,,,"10046","8","12","8","276",,"270","268",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"WMCU","2023-09-14T22:00:00","20.90","71.50",,,"1","5","2","5","8","1","1",,,,"10043","8","12","8","276",,"267","264",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-15T00:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10061",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-15T01:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10051","3","7","8","278",,"266","262",,,"A",,"A","A","221","1","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-15T01:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10066",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,,
"WMCU","2023-09-15T02:00:00","20.90","71.50",,,"1","5","2","5","9","0","1",,,,"10055","3","15","8","280",,"266","261",,,"A",,"A","A","221","1","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,
"2302625","2023-09-15T03:04:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10079",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-15T04:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10085",,,"8",,,,,"9","287",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"2302625","2023-09-15T05:05:00","20.90","70.37",,,"1","4","2","5",,,"11",,,,"10090",,,"8",,,,,"9","288",,,,,"221","0","798","172","8","0",,"2","1FFF1F","1AAAA1AAA1AAAA",,,
"VTMV","2023-09-15T06:00:00","22.80","72.60",,,"1","6","2","5","0","0","1","250","4","62","10078","0",,"8","330","0","280","261","1","310",,,,,"221","22","798","172","5","1","2","2","551111","11AAA11111AAA7","5",,
