"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","ICE_SIT_TREND","IND_FOR_PRECIP"
"TBWUK70","2023-09-01T16:00:00","25.82","51.88",,,"1","5","2","5","0","0","1",,,,,"1","98",,,"10040","5","0","8","351",,"321","312","1",,"0","0",,"9",,,,,,,,,"219","51","798","172","5","0",,"1","61FF11","171AA111191AA1","5",,,,,,,,,,,,
"WMHA","2023-09-01T16:00:00","25.80","56.80",,,"1","5","2","5","9",,"1",,,,,,,,,"10050","3","5","8","302",,"280","274",,,,,"A",,"A","A",,,,,,,"219","56","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T17:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","117",,"48",,,,,"10042",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T17:00:00","23.75","58.87",,,"1","6","2","5","3","3","1",,,,,"1","98","0",,"10053","3","5","8","287",,"280","277","1","305",,,,,,,,,"5",,"6","2","219","38","798","172","5","0",,"1","11FF11","1711A11111A371","5",,,,,,,,,,,,
"WMHA","2023-09-01T17:00:00","26.00","56.80",,,"1","5","2","5","9",,"1",,,,,,,,,"10055","3","12","8","299",,"282","277",,,,,"A",,"A","A",,,,,,,"219","66","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T18:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","114",,"59",,,,,"10045",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T18:00:00","23.60","59.10",,,"1","4","0","0","3","3","1","0",,,,,"98","0",,"10055","1","9","0","288","0","280","277","1","300",,,,"A",,,,"3","4",,"5","2","219","39","992","114","5","1","2","1","11FF11","1711A111118171",,,,,,,,,,,,,"4"
"WMHA","2023-09-01T18:00:00","26.30","56.70",,,"1","5","2","5","8","3","1",,,,,,,,,"10053","0","7","8","302",,"287","282",,,,,"A",,"A","A",,,,,,,"219","66","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T19:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","104",,"60",,,,,"10046",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T19:00:00","23.45","59.23",,,"1","6","2","5","2","3","1",,,,,"1","97","0",,"10055","1","4","8","290",,"281","278","1","296",,,,,,,,,"4",,"6","2","219","39","798","172","5","0",,"1","11FF11","1711A11111A371","5",,,,,,,,,,,,
"WMHA","2023-09-01T19:00:00","26.50","56.60",,,"1","4","0","0","8","3","1",,,,,,,,,"10048","8","2","0","300","0","293","291",,,,,,"A",,,,,,,,,"219","66","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-01T20:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","103",,"46",,,,,"10041",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T20:00:00","23.37","58.48",,,"1","6","2","5","2","3","1","5",,,,"1","98","0",,"10055","8","2","8","280",,"264","258","1","293",,,,,,,,,"4",,"5","2","219","38","798","172","5","0",,"1","11FF11","1711A11111A371","5",,,,,,,,,,,,
"WMHA","2023-09-01T20:00:00","26.60","56.40",,,"1","5","2","5","7","3","1",,,,,,,,,"10039","8","16","8","295",,"291","290",,,,,"A",,"A","A",,,,,,,"219","66","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T21:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","101",,"55",,,,,"10042",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK71","2023-09-01T21:00:00","23.18","59.80",,,"1","6","2","5","3","3","1",,,,,"1","97","0","1","10048","6","7","8","271",,"256","250","1","305",,,,,,,,,"4",,,,"219","39","798","172","5","0",,"1","11FF11","1711111111A3A1","5",,"1",,,,,,,,,,
"WMHA","2023-09-01T21:00:00","26.50","56.20",,,"1","5","2","5","7","2","1",,,,,,,,,"10034","6","19","8","296",,"284","280",,,,,"A",,"A","A",,,,,,,"219","66","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-01T22:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","116",,"57",,,,,"10042",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-01T22:00:00","26.30","56.00",,,"1","4","0","0","6","3","1",,,,,,,,,"10029","6","19","0","312","0","310","309",,,,,,"A",,,,,,,,,"219","66","992","114","5","0",,"1","F1FF13","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-01T23:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","112",,"48",,,,,"10042",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-01T23:00:00","26.20","55.80",,,"1","5","2","5","5","3","1",,,,,,,,,"10032","5","7","8","310",,"296","292",,,,,"A",,"A","A",,,,,,,"219","65","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"7KDL","2023-09-02T00:00:00","24.50","59.50",,,"1","6","2","5","2","3","1",,"130","3","72","1","98","2","2","10055","3","1","8","280","0","270","266","1","290","6",,"A","A","A","A",,,,,,,"219","49","798","172","5","0",,"1","111111","11111111111AA1","5",,"2",,,,,,,,,,
"8JGV5XF","2023-09-02T00:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","94",,"59",,,,,"10046",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T00:00:00","26.00","55.70",,,"1","4","0","0","5","3","1",,,,,,,,,"10036","3","2","0","308","0","294","289",,,,,,"A",,,,,,,,,"219","65","992","114","5","0",,"1","F1FF11","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-02T01:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","94",,"76",,,,,"10052",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK70","2023-09-02T01:00:00","25.83","51.90",,,"1","5","2","5","0","0","1",,,,,"1","97",,,"10036","2","2","8","331",,"291","277","1",,"1",,,"6",,,,,,,,,"219","51","798","172","5","0",,"1","61FF11","171AA111191AA1","5",,,,,,,,,,,,
"V7DR9","2023-09-02T01:00:00","26.70","51.20",,,"1","6","2","5","9","0","1",,"310","3","31","1","96",,,"10050","4","0","8","330",,"280","264","3","350",,,"A",,"A","A",,,,,,,"219","61","798","172","5","1","2","1","111111","111AA111118AA1","5",,,,,,,,,,,,
"WMHA","2023-09-02T01:00:00","25.90","55.50",,,"1","5","2","5","5","3","1",,,,,,,,,"10039","3","10","8","320",,"291","282",,,,,"A",,"A","A",,,,,,,"219","55","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T02:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","77",,"69",,,,,"10056",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"1","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T02:00:00","25.70","55.30",,,"1","5","2","5","5","3","1",,,,,,,,,"10041","1","9","8","317",,"291","283",,,,,"A",,"A","A",,,,,,,"219","55","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T03:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","85",,"75",,,,,"10060",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK70","2023-09-02T03:00:00","25.82","51.88",,,"1","5","2","5","0","0","1","5",,,,"1","98",,,"10046","1","7","8","361",,"331","322","1",,"0","0",,"9",,,,,,,,,"219","51","798","172","5","0",,"2","61FF11","171AA111191AA1","5",,,,,,,,,,,,
"V7DR9","2023-09-02T03:00:00","26.70","51.10",,,"1","6","2","5","9","0","1",,"300","3","41",,,,,"10070",,,"8","320",,"280","267","3","346",,,"A",,"A","A",,,,,,,"219","61","798","172","5","1","2","2","111111","11AAA111118AAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T03:00:00","25.60","55.20",,,"1","5","2","5","5","3","1",,,,,,,,,"10043","1","8","8","323",,"293","284",,,,,"A",,"A","A",,,,,,,"219","55","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T04:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","81",,"74",,,,,"10068",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T04:00:00","25.50","55.00",,,"1","5","2","5","5","3","1",,,,,,,,,"10049","3","10","8","335",,"299","289",,,,,"A",,"A","A",,,,,,,"219","55","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T05:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","69",,"75",,,,,"10067",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T05:00:00","25.30","54.90",,,"1","5","2","5","5","3","1",,,,,,,,,"10051","0","10","8","355",,"309","297",,,,,"A",,"A","A",,,,,,,"219","54","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T06:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","72",,"77",,,,,"10068",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6111F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T06:00:00","25.20","54.90",,,"1","4","0","0","5","3","1",,,,,,,,,"10053","1","10","0","378","0","321","306",,,,,,"A",,,,,,,,,"219","54","992","114","5","0",,"2","F5FF11","1AAAA1111A8AA1",,"1",,,,,,,,,,,"4"
"8JGV5XF","2023-09-02T07:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","83",,"76",,,,,"10065",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"WMHA","2023-09-02T07:00:00","25.00","54.90",,,"1","5","2","5","4","2","1",,,,,,,,,"10050","0","1","8","381",,"322","306",,,,,"A",,"A","A",,,,,,,"219","54","798","172","5","1","2","2","F5FF11","1AAAA1111A8AA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T08:00:00","24.58","56.72",,,"1","5","2","5","9",,"1",,"90",,"79",,,,,"10063",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"OVXO2","2023-09-02T08:00:00","24.70","56.90",,,"1","6","2","5","4","1","1",,,"4",,"1","97","5","1","10068","0","3","8","320","0","265","242","3","316","3","3","7","2","A","0",,"1","1",,"1","1","219","46","798","172","5","0",,"2","11FF11","12111111111771","5",,"1",,,,,,,,,,
"TBWUK48","2023-09-02T08:00:00","25.82","51.88",,,"1","6","2","5","0","0","1",,"10",,"26","1","98","2","0","10044","0","3","8","351",,"286","262","1","345","0","0","0","9","0","0",,"5","1",,,,"219","51","798","172","5","0",,"2","111111","111111111111A1","5",,"0",,,,"0","0","0",,"0",,
"VTMV","2023-09-02T08:00:00","26.10","56.60",,,"1","6","2","5","4","3","1",,,"4",,,,,,"10068","0",,"8","330","0","280","261","1","350",,,,,,,,,,,,,"219","66","798","172","5","0",,"2","311711","11AAA11111AAA7","5",,,,,,,,,,,,
"7XCL4WP","2023-09-02T09:00:00","20.04","59.03",,,"1","5","2","5","1","4","1",,,,,,,,,"10061","7","11","8","262",,,"243",,,,,,,,,,,,,,,"219","9","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T09:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","91",,"86",,,,,"10057",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
"TBWUK63","2023-09-02T09:00:00","25.85","51.80",,,"1","6","2","5","0","0","1",,,,,"1","97",,,"10039","0","1","8",,,"301","258","1","350",,,,,,,,,"2",,,,"219","51","798","172","5","0",,"2","17FF14","171AA11111A3A1","5",,,,,,,,,,,,
"7XCL4WP","2023-09-02T10:00:00","20.33","59.19",,,"1","5","2","5","1","4","1",,,,,,,,,"10054","7","20","8","268",,,"240",,,,,,,,,,,,,,,"219","9","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,
"8JGV5XF","2023-09-02T10:00:00","24.58","56.72",,,"1","5","2","5","9",,"1","5","77",,"87",,,,,"10051",,,"8",,,,,,,,,,,,,,,,,,,"219","46","798","172","5","0",,"2","F6211F","11AAA19AAAAAAA","5",,,,,,,,,,,,
