"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"9HA5077","2023-09-01T16:00:00","24.30","36.50",,,"1","6","2","5","7","3","1",,"330","3","62",,,"2","2","10085",,,"8","300",,"290","287","1","320","7",,"6","2","7","A",,,,,,,"217","46","798","172","5","1","2","1","111111","11A11111111AAA","5",,"2",,,,,,,,,,,
"EUMDE60","2023-09-01T16:00:00","24.79","35.85",,,"1","5","2","5","3","3","1","5","355",,"68",,,,,"10059","7","12","8","304",,,"268",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T17:00:00","24.63","35.97",,,"1","5","2","5","3","3","1",,"290",,"44",,,,,"10067","4","0","8","303",,,"274",,,,,,,,,,,,,,,"217","45","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T18:00:00","24.47","36.11",,,"1","5","2","5","3","3","1","5","295",,"51",,,,,"10071","2","10","8","302",,,"271",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T19:00:00","24.31","36.24",,,"1","5","2","5","3","3","1","5","305",,"47",,,,,"10072","2","13","8","302",,,"275",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T20:00:00","24.14","36.37",,,"1","5","2","5","3","3","1",,"320",,"56",,,,,"10069","2","2","8","298",,,"273",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T21:00:00","23.97","36.50",,,"1","5","2","5","3","3","1","5","325",,"64",,,,,"10068","7","2","8","297",,,"279",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T22:00:00","23.80","36.63",,,"1","5","2","5","3","3","1",,"320",,"65",,,,,"10065","7","7","8","297",,,"279",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-01T23:00:00","23.64","36.75",,,"1","5","2","5","3","3","1",,"320",,"64",,,,,"10061","7","8","8","301",,,"275",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T00:00:00","23.48","36.88",,,"1","5","2","5","3","3","1","5","315",,"66",,,,,"10056","7","12","8","305",,,"277",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-02T01:00:00","26.10","35.30",,,"1","6","2","5","7","3","1",,"270","3","93","1","99","2","1","10085",,,"8","300",,"280","273","1","300","5","3","5","5","2","5",,"4","2","32","6","2","217","65","798","172","5","1","2","1","111111","1111111111111A","5",,"1",,,,,,,,,,,
"EUMDE60","2023-09-02T01:00:00","23.33","37.01",,,"1","5","2","5","3","3","1","5","315",,"59",,,,,"10055","7","10","8","307",,,"279",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T02:00:00","23.17","37.13",,,"1","5","2","5","3","3","1",,"320",,"56",,,,,"10057","7","4","8","308",,,"278",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-02T03:00:00","26.60","35.00",,,"1","6","2","5","7","3","1",,"320","3","165",,,"2","2","10075",,,"8","310",,"290","283","1","290","6",,"6","2","7","A",,,,,,,"217","65","798","172","5","1","2","1","113111","11A11111111AAA","5",,"2",,,,,,,,,,,
"EUMDE60","2023-09-02T03:00:00","23.01","37.25",,,"1","5","2","5","3","3","1","5","325",,"61",,,,,"10060","2","4","8","310",,,"278",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T04:00:00","22.86","37.39",,,"1","5","2","5","3","3","1",,"300",,"69",,,,,"10058","2","3","8","317",,,"269",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T05:00:00","22.72","37.53",,,"1","5","2","5","3","3","1","5","295",,"68",,,,,"10062","2","5","8","330",,,"282",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T06:00:00","20.16","38.92",,,"1","5","2","5","7","4","1",,,,,,,,,"10056","2","15","8","330",,,"273",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T06:00:00","22.57","37.68",,,"1","5","2","5","3","3","1","5","305",,"63",,,,,"10066","2","6","8","342",,,"277",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9V5392","2023-09-02T07:00:00","21.40","37.90",,,"1","6","2","5","7","4","1",,"340","4","98","1","98","2","2","10058",,,"8","330",,,,"7","320","7","7","6","A","4","7","0","5","0",,,,"217","17","798","172","5","1","2","2","11111F","1111111AA113AA","5",,"2",,,,,,,,,,,
"DZSWUHG","2023-09-02T07:00:00","20.45","38.76",,,"1","5","2","5","7","4","1",,,,,,,,,"10065","2","22","8","329",,,"290",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T07:00:00","22.42","37.82",,,"1","5","2","5","3","3","1","5","315",,"59",,,,,"10068","2","11","8","360",,,"281",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F51111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T08:00:00","20.73","38.60",,,"1","5","2","5","7","4","1",,,,,,,,,"10064","2","15","8","330",,,"289",,,,,,,,,,,,,,,"217","8","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T08:00:00","22.27","37.97",,,"1","5","2","5","3","3","1","5","315",,"63",,,,,"10069","2","8","8","349",,,"284",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"CQDD","2023-09-02T09:00:00","28.00","33.40",,,"1","6","2","5","7","4","1",,"320","3","180","1","97","3",,"10080","0","0","8","300","0","270","260","3","280","5",,"A","A","A","A",,,,,,,"217","83","798","172","5","0",,"2","113411","1111A111111AA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T09:00:00","21.02","38.45",,,"1","5","2","5","7","4","1",,,,,,,,,"10063","2","7","8","332",,,"281",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T09:00:00","22.11","38.11",,,"1","5","2","5","3","3","1","5","315",,"75",,,,,"10067","2","2","8","353",,,"276",,,,,,,,,,,,,,,"217","28","798","172","5","0",,"2","F31111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T10:00:00","21.29","38.29",,,"1","5","2","5","7","4","1",,,,,,,,,"10062","7","2","8","332",,,"272",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T10:00:00","21.96","38.26",,,"1","5","2","5","3","3","1","5","315",,"62",,,,,"10063","7","5","8","362",,,"279",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F51111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T11:00:00","21.57","38.12",,,"1","5","2","5","7","4","1",,,,,,,,,"10055","7","9","8","334",,,"266",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T11:00:00","21.82","38.40",,,"1","5","2","5","3","3","1",,"320",,"59",,,,,"10062","7","7","8","375",,,"280",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F51111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-02T12:00:00","28.10","33.30",,,"1","6","2","5","7","3","1",,"330","3","129","1","99","3","1","10095",,,"8","290",,"250","232","1","280","5","3","5","5","2","1",,"4","2",,,,"217","83","798","172","5","1","2","2","111111","111111111111AA","5",,"1",,,,,,,,,,,
"DZSWUHG","2023-09-02T12:00:00","21.85","37.96",,,"1","5","2","5","7","4","1",,,,,,,,,"10047","7","16","8","322",,,"289",,,,,,,,,,,,,,,"217","17","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T12:00:00","21.66","38.53",,,"1","5","2","5","3","3","1",,"310",,"52",,,,,"10056","7","11","8","362",,,"280",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F51111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T13:00:00","22.13","37.80",,,"1","5","2","5","7","4","1",,,,,,,,,"10041","7","21","8","321",,,"291",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T13:00:00","21.53","38.67",,,"1","5","2","5","2","3","1",,"310",,"60",,,,,"10053","7","10","8","344",,,"284",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T14:00:00","22.40","37.65",,,"1","5","2","5","7","4","1",,,,,,,,,"10038","7","17","8","319",,,"293",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T14:00:00","21.51","38.87",,,"1","5","2","5","2","2","1",,"290",,"53",,,,,"10049","7","13","8","334",,,"286",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"9HA5077","2023-09-02T15:00:00","28.80","32.90",,,"1","6","2","5","7","3","1",,"300","3","134",,,"2","2","10095",,,"8","310",,"250","223","1","280","6",,"6","2","A","A",,,,,,,"217","82","798","172","5","1","2","2","115111","11A11111111AAA","5",,"2",,,,,,,,,,,
"DZSWUHG","2023-09-02T15:00:00","22.66","37.47",,,"1","5","2","5","7","4","1",,,,,,,,,"10030","7","17","8","316",,,"292",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"2","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T15:00:00","21.52","38.99",,,"1","5","2","5","2","2","1","5","305",,"48",,,,,"10049","7","8","8","325",,,"288",,,,,,,,,,,,,,,"217","18","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T16:00:00","22.93","37.31",,,"1","5","2","5","7","4","1",,,,,,,,,"10040","7","1","8","318",,,"285",,,,,,,,,,,,,,,"217","27","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T16:00:00","21.51","39.02",,,"1","5","2","5","4","1","1",,,,,,,,,"10057","2","3","8","318",,,"294",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T17:00:00","23.21","37.15",,,"1","5","2","5","7","4","1",,,,,,,,,"10045","2","7","8","320",,,"274",,,,,,,,,,,,,,,"217","37","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T17:00:00","21.50","39.01",,,"1","5","2","5","4","1","1",,,,,,,,,"10052","2","3","8","319",,,"294",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T18:00:00","23.49","36.99",,,"1","5","2","5","7","4","1",,,,,,,,,"10049","2","20","8","316",,,"276",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T18:00:00","21.49","39.01",,,"1","5","2","5","3","1","1",,,,,,,,,"10062","2","13","8","318",,,"297",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T19:00:00","23.78","36.84",,,"1","5","2","5","7","4","1",,,,,,,,,"10051","2","11","8","311",,,"279",,,,,,,,,,,,,,,"217","36","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T19:00:00","21.50","39.02",,,"1","5","2","5","2","1","1",,,,,,,,,"10065","2","8","8","316",,,"299",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T20:00:00","24.05","36.67",,,"1","5","2","5","7","4","1",,,,,,,,,"10050","2","5","8","310",,,"278",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T20:00:00","21.49","39.05",,,"1","5","2","5","3","1","1",,,,,,,,,"10061","2","8","8","313",,,"294",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T21:00:00","24.32","36.50",,,"1","5","2","5","7","4","1",,,,,,,,,"10045","7","4","8","305",,,"278",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T21:00:00","21.48","39.14",,,"1","5","2","5","1","2","1",,"320",,"32",,,,,"10048","7","13","8","330",,,"282",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T22:00:00","24.58","36.33",,,"1","5","2","5","7","4","1",,,,,,,,,"10047","7","4","8","306",,,"269",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T22:00:00","21.49","39.15",,,"1","5","2","5","0","0","1",,,,,,,,,"10040","7","25","8","329",,,"283",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"9V5392","2023-09-02T23:00:00","25.50","35.50",,,"1","6","2","5","7","4","1",,"340","4","93","1","98","0",,"10058","8","2","8","300",,"260","243","7","290","0","0","0","9","0","0",,"5","2",,,,"217","55","798","172","5","1","2","1","111111","1111A1111111A1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-02T23:00:00","24.86","36.16",,,"1","5","2","5","7","4","1",,,,,,,,,"10043","7","7","8","307",,,"263",,,,,,,,,,,,,,,"217","46","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-02T23:00:00","21.49","39.15",,,"1","5","2","5","0","0","1",,,,,,,,,"10039","7","22","8","317",,,"298",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"DZSWUHG","2023-09-03T00:00:00","25.12","35.97",,,"1","5","2","5","7","4","1",,,,,,,,,"10044","7","1","8","304",,,"260",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"EUMDE60","2023-09-03T00:00:00","21.49","39.15",,,"1","5","2","5","0","0","1",,,,,,,,,"10038","7","11","8","314",,,"303",,,,,,,,,,,,,,,"217","19","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
"OWJG2","2023-09-03T00:00:00","26.80","34.40",,,"1","6","2","5","3","4","1",,"330","4","129","1","98","2","0","10060","5","10","8","270",,,,"7","290","1","1","1","A","4","1",,"4","2",,,,"217","64","798","172","5","1","2","1","11111F","1111111AA111A1","5",,"0",,,,,,,,,,,
"DZSWUHG","2023-09-03T01:00:00","25.41","35.83",,,"1","5","2","5","8","4","1",,,,,,,,,"10041","7","6","8","307",,,"251",,,,,,,,,,,,,,,"217","55","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1","5",,,,,,,,,,,,,
