"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","IND_FOR_PRECIP"
"KCHV","2023-09-03T00:00:00","20.20","-107.80",,,"1","4","0","0","3","4","1",,,,,,,,,"10096","6","20","0",,"0",,,,,,,,"A",,,,,,,,,"239","7","992","114","5","0",,"2","F7FF14","1AAAA1999A8AA1",,"1",,,"4"
"KCHV","2023-09-03T01:00:00","20.10","-107.60",,,"1","5","2","5","3","4","1",,,,,,,,,"10094","6","11","8",,,"310","291",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F7FF11","1AAAA1666A8AA1","5",,,,
"OXFG2","2023-09-03T06:00:00","21.10","-108.20",,,"1","6","2","5","3","4","1",,"320","3","46","1","98","3","0","10130","2","10","8","300","0","260","243","1","280","3","1","2","5","2","2",,"10","3","22","12","4","239","18","798","172","5","0",,"1","111111","11111111111111","5",,"0",,
"9HA3459","2023-09-03T07:00:00","20.10","-107.80",,,"1","6","2","5","7","3","1",,"340","4","93","1","98",,,"10123","0","0","8","282",,"260","251","3","311","4","4","1","4","0","0",,"3","3",,,,"239","7","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"D5ZH9","2023-09-03T11:00:00","21.00","-108.70",,,"1","6","2","5","3","4","1",,"320","4","87","1","97",,,"10107",,,"8","270",,"270","270","1","290",,,"A",,"A","A",,,,,,,"239","18","798","172","5","1","2","1","111113","111AA111118AAA","5",,,,
"D5ZH9","2023-09-03T14:00:00","20.40","-107.80",,,"1","6","2","5","3","4","1",,"320","4","87","1","97","3","1","10127",,,"8","290",,"280","276","1","300","5",,"7","7","9","2",,"4","2",,,,"239","7","798","172","5","1","2","2","111111","111111111111AA","5",,"1",,
"V7DP9","2023-09-04T19:00:00","22.60","-109.90",,,"1","5","2","5","6","3","1",,"300","4","82","1","97","1","0","10050",,,"8","320",,,,,,"2","1","1","A","A","A",,"6","3","30","6","4","239","29","798","172","5","1","2","2","F1111F","1111111AAA111A","5",,"0",,
"3FJB3","2023-09-05T11:00:00","20.70","-106.00",,,"1","6","2","5","3","4","1",,"240","4","36","1","98",,,"10071","1","10","8","290",,"250","232","1","300","5","5","7","2","1","8",,"2","4",,,,"239","6","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"V7SG5","2023-09-05T19:00:00","21.40","-109.00",,,"1","6","2","5","3","4","1",,"280","0","30","1","98",,"2","10088",,"11","8","290",,,"218",,"310",,,,,,,,,,,,,"239","19","798","172","5","1","2","2","111111","111A111A11AAA7","5",,"2",,
"3FJB3","2023-09-06T11:00:00","22.20","-106.20",,,"1","6","2","5","8","3","1",,"230","4","103","1","98","60","9","10081","1","20","8","290",,"250","232","1","300","6","5","7","3","1","8",,"2","6",,,,"239","26","798","172","5","1","2","1","111111","111111111111A1","5",,"9",,
"SVBY3","2023-09-06T19:00:00","21.10","-108.50",,,"1","4","0","0",,,"1","0","200","4","93",,"98",,,"10160",,,"0","310",,,,"1","270","8",,,"A",,,,,"1","22",,"3","239","18","992","114","5","1","2","2","11131F","111AA11AA1133A",,"3",,,"4"
"VRUZ9","2023-09-07T09:00:00","24.90","-109.60",,,"1","6","2","5","3","2","1",,"180","3","51","1","97",,"1","10156",,,"8","290",,"270","263","7","290",,,"1",,"6","2",,,,"18","1","1","239","49","798","172","5","1","2","1","111111","111A1111118A1A","5",,"1",,
"3FJB3","2023-09-07T11:00:00","22.90","-109.40",,,"1","6","2","5","6","4","1",,"200","4","93","1","98",,"8","10081","1","20","8","290",,"250","232","1","260","5","5","7","2","1","4",,"2","6",,,,"239","29","798","172","5","1","2","1","111311","111A11111111A1","5",,"8",,
"VRUZ9","2023-09-07T19:00:00","23.80","-109.00",,,"1","6","2","5","3","2","1",,"170","3","87","1","99","3","2","10186",,,"8","270",,"240","228","7","250","8","9","7","2","7","8",,"2","6",,,,"239","39","798","172","5","1","2","2","111331","111111111131AA","5",,"2",,
"VRUZ9","2023-09-07T21:00:00","23.60","-108.80",,,"1","6","2","5","3","2","1",,"130","3","108","1","97",,"0","10186",,,"8","270",,"250","243","7","270",,,"7",,"7","A",,"2","4","16","2","4","239","38","798","172","5","1","2","2","114131","111A111111811A","5",,"0",,
"VRUZ9","2023-09-07T23:00:00","23.40","-108.70",,,"1","6","2","5","3","2","1",,"130","3","108","1","97",,"1","10186",,,"8","270",,"250","243","7","270",,,"7",,"7","A",,,,"16","2","4","239","38","798","172","5","1","2","2","114131","111A1111118A1A","5",,"1",,
"KPSJ","2023-09-08T09:00:00","21.40","-109.30",,,"1","6","2","5","3","3","1",,"260","4","51","1","98","13","8","10116",,,"8","270",,"250","241","1","290","8","8","7","2","6","A",,,,,,,"239","19","798","172","5","1","2","1","111111","11111111111AAA","5",,"8",,
"VRUZ9","2023-09-08T09:00:00","23.60","-108.20",,,"1","6","2","5","3","2","1",,"180","3","62","1","97",,"1","10186",,,"8","280",,"260","253","7","280",,,"7",,"7","A",,,,"18","3","4","239","38","798","172","5","1","2","1","111131","111A1111118A1A","5",,"1",,
"KPSJ","2023-09-08T11:00:00","21.10","-108.90",,,"1","6","2","5","3","3","1",,"310","4","62","1","98","13","2","10116","4","0","8","270",,"250","241","1","290","8","8","7","2","3","9",,,,,,,"239","18","798","172","5","1","2","1","111111","11111111111AA1","5",,"2",,
"VRUZ9","2023-09-08T11:00:00","22.30","-108.00",,,"1","6","2","5","3","2","1",,"180","3","67","1","97",,"0","10186",,,"8","280",,"260","253","7","280",,,"7",,"7","A",,,,"18","3","4","239","28","798","172","5","1","2","1","111131","111A1111118A1A","5",,"0",,
"KPSJ","2023-09-08T17:00:00","20.40","-107.70",,,"1","6","2","5","3","3","1",,"90","4","46","1","98","3",,"10141",,,"8","310",,"280","269","1","310","5","5","4","3","6","A",,,,,,,"239","7","798","172","5","1","2","2","111111","1111A111111AAA","5",,,,
"VRUZ9","2023-09-08T23:00:00","20.60","-107.00",,,"1","6","2","5","3","3","1",,"320","3","82","1","97",,"1","10166",,,"8","330",,"300","291","7","320",,,"7",,"7","A",,,,"20","3","4","239","7","798","172","5","1","2","2","131111","111A1111118A1A","5",,"1",,
"DFDG2","2023-09-09T09:00:00","21.90","-109.70",,,"1","6","2","5","7","3","1",,"290","4","103","1","98","2",,"10127","8","17","8","280",,"240","224","3","305","3","0","0","9","0","4",,"3","5","20","10","4","239","19","798","172","5","1","2","1","111111","1111A111111111","5",,,,
"EUMDE56","2023-09-10T04:00:00","22.09","-109.90",,,"1","5","2","5","3","4","1","5","305",,"85",,,,,"10114","2","12","8","283",,,"267",,,,,,,,,,,,,,,"239","29","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T05:00:00","21.94","-109.65",,,"1","5","2","5","3","4","1","5","305",,"83",,,,,"10115","2","13","8","285",,,"268",,,,,,,,,,,,,,,"239","19","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"3EVZ8","2023-09-10T06:00:00","22.10","-110.00",,,"1","5","2","5","3","4","1",,"320","4","77","1","99","0","0","10100",,,"8","280",,"250","237",,,"3",,"A","A","A","A","0","0","0",,,,"238","20","798","172","5","1","2","1","F11111","111111111A11AA","5",,"0",,
"EUMDE56","2023-09-10T06:00:00","21.78","-109.40",,,"1","5","2","5","3","4","1",,"310",,"71",,,,,"10114","2","4","8","286",,,"273",,,,,,,,,,,,,,,"239","19","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T07:00:00","21.63","-109.15",,,"1","5","2","5","3","4","1",,"310",,"74",,,,,"10108","7","6","8","286",,,"274",,,,,,,,,,,,,,,"239","19","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T08:00:00","21.48","-108.90",,,"1","5","2","5","3","4","1","5","315",,"60",,,,,"10107","7","9","8","287",,,"276",,,,,,,,,,,,,,,"239","18","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T09:00:00","21.32","-108.65",,,"1","5","2","5","3","4","1",,"320",,"37",,,,,"10105","7","9","8","288",,,"273",,,,,,,,,,,,,,,"239","18","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"3EVZ8","2023-09-10T10:00:00","21.50","-108.90",,,"1","5","2","5","3","4","1",,"320","4","46","1","98","2","0","10100","4","0","8","270",,"210","176",,,"3","1","A","6","A","A",,"3","1",,,,"239","18","798","172","5","1","2","1","F11112","111111111A11A1","5",,"0",,
"EUMDE56","2023-09-10T10:00:00","21.16","-108.39",,,"1","5","2","5","3","4","1",,"310",,"48",,,,,"10105","7","3","8","288",,,"267",,,,,,,,,,,,,,,"239","18","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T11:00:00","21.00","-108.13",,,"1","5","2","5","3","4","1","5","335",,"32",,,,,"10106","7","1","8","289",,,"269",,,,,,,,,,,,,,,"239","18","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T12:00:00","20.84","-107.86",,,"1","5","2","5","3","4","1","5","335",,"32",,,,,"10105","2","1","8","287",,,"273",,,,,,,,,,,,,,,"239","7","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"3EVZ8","2023-09-10T13:00:00","20.90","-108.10",,,"1","6","2","5","3","4","1",,"320","4","41","1","98","2","0","10100","4","0","8","290",,"260","248","1","290","1","1","1","4","0","0",,"4","1",,,,"239","8","798","172","5","1","2","1","111111","111111111111A1","5",,"0",,
"EUMDE56","2023-09-10T13:00:00","20.67","-107.59",,,"1","5","2","5","3","4","1","5","335",,"35",,,,,"10109","2","5","8","289",,,"276",,,,,,,,,,,,,,,"239","7","798","172","5","0",,"1","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T14:00:00","20.50","-107.34",,,"1","5","2","5","3","4","1",,"40",,"54",,,,,"10114","2","9","8","296",,,"275",,,,,,,,,,,,,,,"239","7","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,
"EUMDE56","2023-09-10T15:00:00","20.35","-107.10",,,"1","5","2","5","3","4","1",,"90",,"22",,,,,"10119","2","14","8","301",,,"268",,,,,,,,,,,,,,,"239","7","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,
"9V9792","2023-09-10T16:00:00","21.30","-109.00",,,"1","4","0","0","7","3","1","0","10","4","31",,"97","13","2","10094","4","0","0","290","0","290","290","1","260","4","3","5","5","5","4",,"7","0","13","8","1","239","19","992","114","5","1","2","2","111113","11111111111111",,"1","2",,"4"
"EUMDE56","2023-09-10T16:00:00","20.21","-106.87",,,"1","5","2","5","3","4","1",,"110",,"27",,,,,"10118","2","9","8","300",,,"270",,,,,,,,,,,,,,,"239","6","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,
"3EVZ8","2023-09-10T17:00:00","20.10","-106.90",,,"1","5","2","5","3","4","1",,"110","4","26","1","99","0","2","10110",,,"8","310",,"270","254",,,"5",,"4","A","6","5","0","0","0",,,,"239","6","798","172","5","1","2","2","F11111","111111111A11AA","5",,"2",,
"EUMDE56","2023-09-10T17:00:00","20.07","-106.65",,,"1","5","2","5","3","4","1","5","155",,"30",,,,,"10120","2","6","8","299",,,"275",,,,,,,,,,,,,,,"239","6","798","172","5","0",,"2","F11111","11AAA11A1AAAA1","5",,,,
"D5BF7","2023-09-10T20:00:00","20.90","-108.30",,,"1","4","0","0",,,"1","0","90","4","62",,"98","2",,"10120",,,"0","310",,,"280",,,,,,"A",,,,,,,,,"239","8","992","114","5","0",,"2","F11111","1111A11A1A8AAA",,"3",,,"4"
"5BLX5","2023-09-11T09:00:00","20.30","-107.40",,,"1","6","2","5","3","4","1",,"180","4","36","1","98","0",,"10121","0","5","8","300",,"270","258","7","310",,,"A",,"A","A",,"3","1",,,,"239","7","798","172","5","1","2","1","111111","1111A1111181A1","5",,,,
"C6EI4","2023-09-11T18:00:00","21.50","-109.50",,,"1","6","2","5","3","3","1",,"180","4","72",,,,,"10100","8","10","8","310",,"280","269","7","300",,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,
"C6EI4","2023-09-11T19:00:00","21.40","-109.30",,,"1","6","2","5","3","3","1",,"180","4","31",,,,,"10100","6","10","8","320",,"290","279","7","300",,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","2","111111","11AAA111118AA1","5",,,,
"C6EI4","2023-09-12T00:00:00","20.80","-108.40",,,"1","4","0","0","3","3","1","0","230","4","26",,,,,"10080","6","10","0","310","0","280","269",,"300",,,,"A",,,,,,,,,"239","8","992","114","5","0",,"2","111111","11AAA111118AA1",,"1",,,"4"
"3FJB3","2023-09-12T11:00:00","20.70","-106.10",,,"1","6","2","5","3","4","1",,"340","4","51","1","97",,,"10091","1","10","8","290",,"260","248","1","290","5","5","7","3","6","2",,"3","6",,,,"239","6","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"9V6972","2023-09-12T12:00:00","20.80","-109.80",,,"1","6","2","5","3","3","1",,"360","3","51","1","98","2","2","10129","4","0","8","280",,"260","252","1","300","8","8","8","4","A","A",,"5","1","16","8","2","239","9","798","172","5","1","2","1","111111","11111111111111","5",,"2",,
"OZJF2","2023-09-13T04:00:00","20.90","-108.50",,,"1","6","2","5","3","4","1",,"300","3","62","1","98","2","0","10124","2","21","8","290",,"270","262","1","290","2",,"A","A","A","A",,,"1","20","10","3","239","8","798","172","5","1","2","1","111111","11111111111311","5",,"0",,
"OZJF2","2023-09-13T08:00:00","20.20","-107.40",,,"1","6","2","5","3","4","1",,"320","3","51","1","98","2","1","10123","8","3","8","290",,"270","262","1","300","3",,"A","A","A","A",,"6","1",,,,"239","7","798","172","5","1","2","1","111111","111111111111A1","5",,"0",,
"3FJB3","2023-09-13T12:00:00","21.70","-107.70",,,"1","6","2","5","7","5","1",,"260","4","77","1","96",,,"10091","1","20","8","290",,"250","232","1","300","6","5","7","3","7","8",,"3","8",,,,"239","17","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"7KMB","2023-09-13T12:00:00","20.70","-108.00",,,"1","6","2","5","3","4","1",,"270","4","46","1","98","2","1","10124","2","15","8","270","0","240","226","1","320","4",,"A","3","A","A",,,,,,,"239","8","798","172","5","1","2","1","111111","11111111111AA1","5",,"1",,
"3FJB3","2023-09-14T11:00:00","22.80","-109.60",,,"1","6","2","5","6","2","1",,"30","4","67","1","98",,,"10071","1","20","8","290",,"260","248","1","290","5","4","7","2","1","2",,"3","6",,,,"239","29","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"VRUX8","2023-09-14T18:00:00","20.80","-108.50",,,"1","6","2","5","7","4","1",,"20","4","67","1","98","2","0","10109",,,"8","300",,"270","258","1","290","4","1","7","7","A","2",,,,"16","4","2","239","8","798","172","5","1","2","2","111111","11111111111A1A","5",,"0",,
"VRUX8","2023-09-14T21:00:00","21.40","-109.50",,,"1","6","2","5","7","4","1",,"320","4","62","1","98","3",,"10099",,,"8","300",,"280","273","1","300","5","5","1","4","6","2",,,,,,,"239","19","798","172","5","1","2","2","111111","1111A111111AAA","5",,,,
"9V6212","2023-09-15T07:00:00","20.70","-108.40",,,"1","4","0","0","3","4","1","0","300","4","31",,"97","2",,"10209","5",,"0","290","0","260","247","1","300","3","3","4","4","0","0",,"12","0","0",,,"239","8","992","114","5","1","2","1","111151","1111A111111837",,"1",,"0","4"
"D5HE9","2023-09-17T10:00:00","20.60","-109.70",,,"1","5","2","5","7","4","1",,"360","4","51","1","97","13",,"10123","4","0","8","280",,"270","266",,,"5",,"4","6","A","A",,"3","2","18","3","3","239","9","798","172","5","1","2","1","F11111","1111A1111A1111","5",,,,
"V7YX6","2023-09-17T18:00:00","21.40","-109.30",,,"1","6","2","5","3","4","1",,"360","4","31",,,,,"10112","4","0","8","310","0","280","271",,"300",,,,,,,,,,,,,"239","19","798","172","5","1","2","2","111111","11AAA11111AAA1","5",,,,
"WPAJ","2023-09-17T19:00:00","20.00","-107.70",,,"1","5","2","5","9",,"1",,,,,,,,,"10102","8","6","8","323",,"323","323",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF13","1AAAA1166A8AA1","5",,,,
"WPAJ","2023-09-17T20:00:00","20.20","-107.90",,,"1","5","2","5","7","3","1",,,,,,,,,"10095","8","18","8","322",,"322","322",,,,,"A",,"A","A",,,,,,,"239","7","798","172","5","1","2","2","F1FF13","1AAAA1166A8AA1","5",,,,
"WPAJ","2023-09-17T21:00:00","20.30","-108.10",,,"1","5","2","5","9",,"1",,,,,,,,,"10089","6","21","8","322",,"322","322",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF13","1AAAA1166A8AA1","5",,,,
"WPAJ","2023-09-17T22:00:00","20.40","-108.30",,,"1","5","2","5","9",,"1",,,,,,,,,"10086","6","16","8","322",,"322","322",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF13","1AAAA1166A8AA1","5",,,,
"WPAJ","2023-09-17T23:00:00","20.60","-108.50",,,"1","5","2","5","9",,"1",,,,,,,,,"10083","6","12","8","315",,"315","315",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF13","1AAAA1111A8AA1","5",,,,
"V7YX6","2023-09-18T00:00:00","20.30","-107.80",,,"1","6","2","5","3","4","1",,"60","4","41","1","98","3","2","10141","5","10","8","330","0","300","291",,"300","7","6","2","2","6","2",,"3","2","11","5","2","239","7","798","172","5","1","2","2","131111","11111111111111","5",,"2",,
"WPAJ","2023-09-18T00:00:00","20.70","-108.70",,,"1","5","2","5","7","3","1",,,,,,,,,"10084","5","5","8","303",,"303","303",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T01:00:00","20.90","-108.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10086","5","0","8","297",,"297","297",,,,,"A",,"A","A",,,,,,,"239","8","798","172","5","1","2","2","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T02:00:00","21.00","-109.10",,,"1","5","2","5","7","3","1",,,,,,,,,"10090","3","7","8","290",,"290","290",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T03:00:00","21.10","-109.30",,,"1","5","2","5","9",,"1",,,,,,,,,"10097","3","13","8","289",,"289","289",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T04:00:00","21.30","-109.50",,,"1","5","2","5","7","3","1",,,,,,,,,"10102","3","17","8","288",,"288","288",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T05:00:00","21.40","-109.70",,,"1","5","2","5","7","3","1",,,,,,,,,"10105","1","15","8","286",,"286","286",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,
"WPAJ","2023-09-18T06:00:00","21.60","-109.90",,,"1","5","2","5","9",,"1",,,,,,,,,"10104","0","8","8","285",,"285","285",,,,,"A",,"A","A",,,,,,,"239","19","798","172","5","1","2","1","F1FF13","1AAAA1111A8AA1","5",,,,
"VRLK3","2023-09-18T19:00:00","21.70","-109.70",,,"1","6","2","5","3","3","1",,"220","4","21","1","98",,,"10130","0","0","8","310",,"280","271","7","300","2","2","1","3","4","1",,,,"25","11","3","239","19","798","172","5","1","2","2","111111","111AA111111A11","5",,,,
"9V9791","2023-09-18T20:00:00","21.30","-109.00",,,"1","6","2","5","3","4","1",,"210","4","31","1","98","1","1","10120","6","10","8","320",,"300","293","1","320","3","2","1","4","4","1",,"3","1","30","4","1","239","19","798","172","5","1","2","2","111111","11111111111111","5",,"1",,
"VRLK3","2023-09-18T21:00:00","21.60","-109.60",,,"1","6","2","5","3","3","1",,"220","4","26","1","98","0",,"10130","4","0","8","310",,"280","271","7","240","3","2","4","4","0","2",,"3","2","19","6","3","239","19","798","172","5","1","2","2","211111","1111A111111111","5",,,,
"A8SI7","2023-09-19T00:00:00","21.80","-109.70",,,"1","6","2","5","3","3","1",,"30","4","62","1","97","2","0","10110","6","10","8","300","0","280","273","1","280","3","3","5","5","4","4",,"6","2","35","9","3","239","19","798","172","5","1","2","2","111111","11111111111111","5",,"0",,
"TBWUK76","2023-09-19T05:00:00","21.90","-109.60",,,"1","4","0","0","3","3","1","0","320","3","36",,"97","3","2","10112","2","8","0","280","0","260","252","1","310","3","2","2","4","4","A",,"2","2","0",,,"239","19","992","114","5","1","2","1","111111","11111111111131",,"1","2","0","4"
"A8SI7","2023-09-19T06:00:00","20.80","-108.30",,,"1","4","0","0","3","4","1","0","250","4","31",,"98","3",,"10130","2",,"0","290","0","270","262","1","290","4",,"A","A","6","A",,"3","0",,,,"239","8","992","114","5","1","2","1","111111","1111A1111111A7",,"1",,,"4"
"TBWUK76","2023-09-19T09:00:00","21.50","-108.90",,,"1","6","2","5","3","3","1",,"300","3","51",,,,,"10111","8","7","8","290",,"270","262","1","340","2","2","2","4","0","7",,,,,,,"239","18","798","172","5","1","2","1","511111","11AAA111111AA1","5",,,,
"3FJB3","2023-09-19T11:00:00","20.70","-106.00",,,"1","6","2","5","3","4","1",,"350","4","51","1","97",,,"10081","1","10","8","290",,"250","232","1","290","6","5","5","6","1","2",,"3","6",,,,"239","6","798","172","5","1","2","1","111111","111AA1111111A1","5",,,,
"A8SI5","2023-09-19T18:00:00","20.20","-107.20",,,"1","4","0","0","7","4","1","0","20","4","41",,"98","1","0","10110","4","0","0","320","0","290","281","1",,"2",,"1","4","4","3",,,"2","16",,"2","239","7","992","114","5","1","2","2","711111","11111111111331",,"1","0",,"4"
