"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","CONCEN_OF_SEA_ICE","IND_FOR_PRECIP"
"5100101","2023-09-01T02:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","86",,"75",,,,,"10180",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T02:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"80","1","70",,,,,"10179",,,"8","268",,,"226",,,,,,,,,,"4","10","8","4","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T02:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"80","1","70",,,,,"10179",,,"8","268",,,,,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T02:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","82",,"75",,,,,"10180",,,"8","268",,,"228","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T02:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","85",,"74",,,,,"10179",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T02:40:00","24.45","-162.01",,,"1","5","2","5",,,"11",,"80",,"77",,,,,"10179",,,"8","267",,,"226","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T02:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","86",,"75",,,,,"10180",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T02:50:00","24.45","-162.01",,,"1","4","2","5",,,"11","5","81",,"77",,,,,"10181",,,"8","268",,,"224",,,,,,,,,,,,,,"233","42","798","172","6","0",,"2","F11111","11AAA11A1AAAAA",,,,,,
"5100101","2023-09-01T02:50:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","81",,"72",,,,,"10180",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"4602563","2023-09-01T03:00:00","28.88","-169.15",,,"1","3","2","5",,,"11",,,,,,,,,"10315",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"2","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T03:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","80","1","70",,,,,"10181","6","5","0","268",,,"226","1","272",,,,"A",,,,,,,,"233","42","993","114","6","1","2","2","111111","11AAA11A118AA1",,,"6",,,"4"
"5100101","2023-09-01T03:00:00","24.40","-162.10",,,"1","4","2","0","0","0","11","0","80","1","70",,,,,"10180",,,"0","268",,,,"1","272",,,,"A",,,"7","3","11","8","3","233","42","993","114","6","1","2","2","11111F","11AAA11AA1811A",,,"6",,,"4"
"5102629","2023-09-01T03:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2023-09-01T03:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","77",,"78",,,,,"10181",,,"8","268",,,"227","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T03:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"78",,,,,"10180",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T03:20:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","77",,"75",,,,,"10181",,,"8","268",,,"227","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T03:20:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","81",,"79",,,,,"10181",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T03:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","76",,"77",,,,,"10180",,,"8","268",,,"226","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T03:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","75",,"76",,,,,"10182",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T03:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","78",,"75",,,,,"10182",,,"8","268",,,"226","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T03:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","75",,"78",,,,,"10182",,,"8","268",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T03:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"70","1","80",,,,,"10181",,,"8","268",,,"227",,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T03:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"80","1","80",,,,,"10183",,,"8","269",,,,,,,,,,,,,"4","11","9","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T04:00:00","24.50","-162.00",,,"1","4","2","0","0","0","11","0","70","1","80",,,,,"10181",,,"0","268",,,"227","1","272",,,,"A",,,"6","3","10","8","3","233","42","993","114","6","1","2","2","111111","11AAA11A11811A",,,"6",,,"4"
"5100101","2023-09-01T04:00:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"80",,"81",,,,,"10183",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2023-09-01T04:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5201669","2023-09-01T04:00:00","26.42","-160.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,"233","60","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602563","2023-09-01T04:02:00","28.88","-169.15",,,"1","3","2","5",,,"11",,,,,,,,,"10317",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"2","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T04:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","72",,"79",,,,,"10182",,,"8","269",,,"228","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T04:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","78",,"82",,,,,"10183",,,"8","269",,,,"9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T04:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"80","1","80",,,,,"10184",,,"8","269",,,"227",,,,,,,,,,"5","11","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T04:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"80","1","80",,,,,"10184",,,"8","268",,,,,,,,,,,,,"4","16","11","2","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T04:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","74",,"79",,,,,"10184",,,"8","268",,,"227","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T04:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","81",,"79",,,,,"10184",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","0",,"2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T04:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","79",,"83",,,,,"10184",,,"8","267",,,"224","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","2","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T04:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"85",,,,,"10185",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","2","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T04:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"80","1","80",,,,,"10185",,,"8","268",,,"224",,,,,,,,,,"4","11","8","3","233","42","798","172","6","1","2","2","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T04:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"90","1","80",,,,,"10186",,,"8","268",,,,,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","2","F1111F","11AAA11AAAA31A",,,,,,
"4602563","2023-09-01T05:00:00","28.88","-169.14",,,"1","3","2","5",,,"11",,,,,,,,,"10315",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"2","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T05:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","83",,"87",,,,,"10186",,,"8","268",,,"218","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T05:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","87",,"83",,,,,"10187",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5102629","2023-09-01T05:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5201669","2023-09-01T05:00:00","26.42","-160.92",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,"233","60","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5100001","2023-09-01T05:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","83",,"83",,,,,"10188",,,"8","269",,,"220","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T05:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","84",,"87",,,,,"10187",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T05:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"90","1","80",,,,,"10188",,,"8","268",,,"219",,,,,,,,,,"5","11","9","3","233","42","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T05:20:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"90","1","90",,,,,"10188",,,"8","268",,,,,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","1","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T05:30:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","91",,"85",,,,,"10189",,,"8","268",,,"219","9","272",,,,,,,,,,,,"233","42","798","172","6","0",,"1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T05:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"86",,,,,"10189",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T05:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","93",,"76",,,,,"10189",,,"8","267",,,"215","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T05:40:00","24.36","-162.08",,,"1","4","2","5",,,"11",,"80",,"92",,,,,"10189",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T05:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"90","1","70",,,,,"10189",,,"8","268",,,"210",,,,,,,,,,"4","11","9","3","233","42","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T05:50:00","24.40","-162.10",,,"1","4","2","5",,,"11",,"80","1","90",,,,,"10191",,,"8","268",,,,,,,,,,,,,"4","11","9","3","233","42","798","172","6","1","2","1","F1111F","11AAA11AAAA31A",,,,,,
"5100001","2023-09-01T06:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","86",,"75",,,,,"10190",,,"8","269",,,"214","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T06:00:00","24.40","-162.10",,,"1","4","2","0","0","0","11","0","80","1","90",,,,,"10189",,,"0","268",,,,"1","271",,,,"A",,,,,,,,"233","42","993","114","6","1","2","1","11111F","11AAA11AA18AAA",,,"6",,,"4"
"5102629","2023-09-01T06:00:00","26.11","-161.71",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","276",,,,,,,,,,,,"233","61","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"5201669","2023-09-01T06:00:00","26.47","-162.09",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,
"4602563","2023-09-01T06:01:00","28.88","-169.14",,,"1","3","2","5",,,"11",,,,,,,,,"10308",,,,,,,,,,,,,,,,,,,,,"233","89","798","172","7","0",,"1","FFFF5F","1AAAA1AAAAAAAA","4",,,,,
"5100001","2023-09-01T06:10:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","81",,"76",,,,,"10192",,,"8","267",,,"211","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T06:10:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"74",,,,,"10191",,,"8","267",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T06:20:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"80","1","80",,,,,"10192",,,"8","269",,,"211",,,,,,,,,,"4","10","8","3","233","42","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T06:20:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"75",,,,,"10192",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T06:30:00","24.45","-162.01",,,"1","5","2","5",,,"11",,"80",,"83",,,,,"10193",,,"8","268",,,"209","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T06:30:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","78",,"80",,,,,"10194",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","0",,"1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T06:40:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","77",,"78",,,,,"10196",,,"8","269",,,"214","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T06:40:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","82",,"81",,,,,"10195",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T06:50:00","24.50","-162.00",,,"1","5","2","5",,,"11",,"80","1","80",,,,,"10197",,,"8","269",,,"215",,,,,,,,,,"4","10","9","3","233","42","798","172","6","1","2","1","F11111","11AAA11A1AA31A",,,,,,
"5100101","2023-09-01T06:50:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","78",,"85",,,,,"10197",,,"8","268",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
"5100001","2023-09-01T07:00:00","24.45","-162.01",,,"1","5","2","5",,,"11","5","81",,"78",,,,,"10198",,,"8","268",,,"214","9","272",,,,,,,,,,,,"233","42","798","172","6","1","2","1","111111","11AAA11A11AAAA",,,,,,
"5100101","2023-09-01T07:00:00","24.36","-162.08",,,"1","4","2","5",,,"11","5","78",,"86",,,,,"10197",,,"8","269",,,,"9","271",,,,,,,,,,,,"233","42","798","172","6","1","2","1","11111F","11AAA11AA1AAAA",,,,,,
