"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"TBWUK61","2022-09-01T04:00:00","20.90","38.40",,,"1","6","2","5","7","3","1",,"250","4","77","1","97","6","0","10035","4","0","8","340",,"290","272","1","320","0","0","0","9","0","0","0","1","0","38",,,"217","8","798","172","5","1","2","2","111111","11111111111371",,"5",,"0","38",,,,,,,
"WMKN","2022-09-01T04:00:00","22.50","36.90",,,"1","5","2","5","3","3","1",,,,,,,,,"10039","3","11","8","296",,"289","287",,,,,"A",,"A","A",,,,,,,"217","26","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"BHJG","2022-09-01T05:00:00","21.50","38.00",,,"1","5","2","5","3","3","1",,"270","4","98","1","97","2","2","10137","4","0","8","310",,"300","297",,,"8","8","6","2","A","7",,"1","1","15","1","2","217","18","798","172","5","1","2","2","F13131","111111111A1111",,"5",,"2",,,,,,,,
"EUMDE38","2022-09-01T05:00:00","26.71","34.73",,,"1","5","2","5","7","4","1",,"320",,"119",,,,,"10030","2","3","8","281",,,"247",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"V7DQ4","2022-09-01T05:00:00","23.00","38.40",,,"1","6","2","5","4","1","1",,"40","3","46","1","97","2","1","10030",,,"8","310",,,,"1","325","5","5","7","2","4","4",,"1","1",,,,"217","38","798","172","5","1","2","2","112117","111111111111AA",,"5",,"1",,,,,,,,
"WMKN","2022-09-01T05:00:00","22.30","37.00",,,"1","5","2","5","3","3","1",,,,,,,,,"10043","3","14","8","313",,"291","285",,,,,"A",,"A","A",,,,,,,"217","27","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"DGXS","2022-09-01T06:00:00","27.50","34.10",,,"1","6","2","5","3","2","1",,"300",,"149","1","97","10","0","10049","0","7","8","280",,,"246","1","290","3","3","6","2","0","0","30","4","8","34","3","4","217","74","798","172","5","0",,"2","115111","1111111A111111",,"5",,"0",,,,,,,,
"EUMDE38","2022-09-01T06:00:00","26.94","34.57",,,"1","5","2","5","7","4","1",,"320",,"131",,,,,"10033","2","6","8","282",,,"245",,,,,,,,,,,,,,,"217","64","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T07:00:00","27.17","34.41",,,"1","5","2","5","7","4","1",,"320",,"120",,,,,"10046","2","11","8","282",,,"250",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T07:00:00","21.80","37.30",,,"1","6","2","5","3","3","1",,"300","4","36","1","97","5","0","10040","0","3","8","360",,"310","294","1","310","0","0","0","9","0","0",,"4","1","34","7","2","217","17","798","172","5","1","2","2","151111","11111111111111",,"5",,"0",,,,,,,,
"EUMDE38","2022-09-01T08:00:00","27.39","34.25",,,"1","5","2","5","7","4","1",,"320",,"122",,,,,"10043","2","12","8","276",,,"246",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T08:00:00","21.60","37.50",,,"1","6","2","5","3","3","1",,"290","4","36","1","97","5","0","10042","3","2","8",,,"318","297","1","310","0","0","0","9","0","0",,"4","1","34","6","2","217","17","798","172","5","1","2","2","171111","11111166611111",,"5",,"0",,,,,,,,
"C6ZI6","2022-09-01T09:00:00","21.50","39.20",,,"1","4","0","0",,,"1","0","360","3","46",,,"2",,"10030",,,"0","330",,,,,,"3",,,"A",,,,,"0",,,"0","217","19","992","114","5","1","2","2","F1111F","11A1A11AAA133A",,,"1",,,,,,,,,"4"
"EUMDE38","2022-09-01T09:00:00","27.60","34.03",,,"1","5","2","5","7","4","1",,"310",,"69",,,,,"10048","2","14","8","276",,,"246",,,,,,,,,,,,,,,"217","74","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"V7DQ4","2022-09-01T09:00:00","22.90","38.40",,,"1","6","2","5","9","0","1",,"20","3","26","1","97","2","1","10050",,,"8","340",,"330","327","1","330","6","5","A","A","A","7",,"3","4",,,,"217","28","798","172","5","1","2","2","111115","111111111111AA",,"5",,"1",,,,,,,,
"WMKN","2022-09-01T09:00:00","21.50","37.50",,,"1","6","2","5","3","3","1",,"270","4","46","1","97","2","0","10045","8","0","8",,,"319","300","1","310","0","0","0","9","0","0",,,,,,,"217","17","798","172","5","1","2","2","171111","11111166611AA7",,"5",,"0",,,,,,,,
"EUMDE38","2022-09-01T10:00:00","27.80","33.78",,,"1","5","2","5","7","4","1",,"310",,"88",,,,,"10042","7","4","8","276",,,"244",,,,,,,,,,,,,,,"217","73","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"TBWUK61","2022-09-01T10:00:00","22.20","37.60",,,"1","6","2","5","7","4","1",,"320","4","51","1","98","5","0","10076","8","5","8","340",,"290","272","1","320","0","0","0","9","0","0",,"3","1","36","4","2","217","27","798","172","5","1","2","2","111111","11111111111111",,"5",,"0",,,,,,,,
"WMKN","2022-09-01T10:00:00","21.30","37.60",,,"1","5","2","5","3","3","1",,,,,,,,,"10041","8","3","8","351",,"306","293",,,,,"A",,"A","A",,,,,,,"217","17","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T11:00:00","28.02","33.55",,,"1","5","2","5","7","4","1","5","305",,"95",,,,,"10046","2","3","8","278",,,"240",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T11:00:00","21.10","37.70",,,"1","4","0","0","3","3","1",,,,,,,,,"10036","8","11","0","340","0","302","292",,,,,,"A",,,,,,,,,"217","17","992","114","5","0",,"2","F1FF11","1AAAA1111A8AA1",,,"1",,,,,,,,,"4"
"EUMDE38","2022-09-01T12:00:00","28.20","33.34",,,"1","5","2","5","7","4","1",,"340",,"70",,,,,"10045","7","2","8","284",,,"237",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T12:00:00","20.90","37.80",,,"1","5","2","5","3","3","1",,,,,,,,,"10031","8","14","8","337",,"301","291",,,,,"A",,"A","A",,,,,,,"217","7","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T13:00:00","28.43","33.19",,,"1","5","2","5","7","4","1",,"330",,"74",,,,,"10038","7","4","8","293",,,"230",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"TBWUK61","2022-09-01T13:00:00","23.00","37.10",,,"1","4","0","0","7","4","1","0","340","4","62",,"97","6","2","10033","8","5","0","318","0","294","286","1","320","1","1","0","9","3","0",,"4","2","0",,,"217","37","992","114","5","1","2","2","111111","11111111111131",,,"1","2","0",,,,,,,"4"
"WMKN","2022-09-01T13:00:00","20.60","38.00",,,"1","5","2","5","3","3","1",,,,,,,,,"10024","8","17","8","333",,"299","289",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"9V5456","2022-09-01T14:00:00","23.70","36.80",,,"1","6","2","5","7","3","1",,"10","3","62","1","98","3","2",,"4","0","8","300",,"280","273","1","330","5","5","7","6","7","A",,"6","1","35","8","1","217","36","798","172","5","1","2","2","111171","11111611111111",,"5",,"2",,,,,,,,
"EUMDE38","2022-09-01T14:00:00","28.65","33.04",,,"1","5","2","5","8","4","1","5","345",,"106",,,,,"10034","7","11","8","300",,,"225",,,,,,,,,,,,,,,"217","83","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T14:00:00","20.40","38.10",,,"1","5","2","5","3","3","1",,,,,,,,,"10021","6","15","8","328",,"290","278",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"DGXS","2022-09-01T15:00:00","27.70","34.40",,,"1","6","2","5","0","0","1",,"350",,"31","1","97","10","0","10026","7","16","8","325",,,"256","1","300","0","0","0","9","0","0","35","3","3",,,,"217","74","798","172","5","0",,"2","111111","1111111A1111A1",,"5",,"0",,,,,,,,
"EUMDE38","2022-09-01T15:00:00","28.88","32.94",,,"1","5","2","5","8","4","1","5","345",,"80",,,,,"10040","7","4","8","305",,,"224",,,,,,,,,,,,,,,"217","82","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T15:00:00","20.20","38.20",,,"1","5","2","5","3","3","1",,,,,,,,,"10024","5","7","8","320",,"296","290",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T16:00:00","29.11","32.82",,,"1","5","2","5","7","4","1",,"10",,"95",,,,,"10045","2","7","8","312",,,"210",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F31111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"WMKN","2022-09-01T16:00:00","20.00","38.30",,,"1","5","2","5","3","3","1",,,,,,,,,"10024","5","0","8","318",,"294","287",,,,,"A",,"A","A",,,,,,,"217","8","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T17:00:00","29.33","32.70",,,"1","5","2","5","8","4","1",,"20",,"131",,,,,"10058","2","24","8","302",,,"211",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F12211","11AAA11A1AAAA1",,"5",,,,,,,,,,
"V7DQ4","2022-09-01T17:00:00","23.00","38.20",,,"1","6","2","5","9","0","1",,"70","3","10","1","97","2","1","10040",,,"8","340",,,,"1","328","5","5","7","2","4","4",,"1","1",,,,"217","38","798","172","5","1","2","1","111117","111111166111AA",,"5",,"1",,,,,,,,
"D7HC","2022-09-01T18:00:00","27.11","34.49",,,"1","5","2","5","0","0","1","5","2",,"25",,,,,,,,"8","210",,,,,,"4",,,"A",,,,,,,,,"217","74","798","172","5","1","2","1","F411FF","11AAAA1AAA1AAA",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T18:00:00","29.56","32.59",,,"1","5","2","5","7","4","1","5",,,,,,,,"10077","2","35","8","288",,,"221",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F12611","11AAA11A1AAAA1",,"5",,,,,,,,,,
"TBWUK61","2022-09-01T18:00:00","23.80","36.60",,,"1","6","2","5","7","2","1",,"360","4","46","1","97","6","0","10036",,,"8","300",,"295","293","1","310","0","0","0","9","0","0",,,,,,,"217","36","798","172","5","1","2","1","111113","11111111111AAA",,"5",,"0",,,,,,,,
"EUMDE38","2022-09-01T19:00:00","29.76","32.55",,,"1","5","2","5","8","3","1","5","35",,"143",,,,,"10089","2","43","8","283",,,"213",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F14111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T20:00:00","29.82","32.56",,,"1","5","2","5","8","0","1",,,,,,,,,"10092","2","34","8","275",,,"221",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"V7DQ4","2022-09-01T20:00:00","23.00","38.20",,,"1","6","2","5","9","0","1",,"250","3","31","1","97","2","1","10040",,,"8","330",,"320","317","1","320","6","5","A","A","A","A",,"2","2",,,,"217","38","798","172","5","1","2","1","111115","111111111111AA",,"5",,"1",,,,,,,,
"EUMDE38","2022-09-01T21:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10095","2","19","8","271",,,"219",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T22:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10094","2","5","8","268",,,"220",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-01T23:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10091","7","2","8","267",,,"223",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-02T00:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10094","7","2","8","264",,,"220",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-02T01:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10095","2","1","8","263",,,"223",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"9V5456","2022-09-02T02:00:00","26.40","35.10",,,"1","6","2","5","7","3","1",,"340","3","98","1","97","2","1",,"1","1","8","270",,"250","241","1","300","5","5","5","7","4","3",,"9","3","4","10","2","217","65","798","172","5","1","2","1","111171","11111611111111",,"5",,"1",,,,,,,,
"EUMDE38","2022-09-02T02:00:00","29.82","32.56",,,"1","5","2","5","0","0","1",,,,,,,,,"10095","2","4","8","261",,,"219",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F1FF11","1AAAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-02T03:00:00","29.84","32.56",,,"1","5","2","5","8","1","1","5","355",,"73",,,,,"10096","2","2","8","258",,,"219",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"1","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"EUMDE38","2022-09-02T04:00:00","29.94","32.57",,,"1","5","2","5","1","2","1",,"330",,"81",,,,,"10101","2","6","8","254",,,"214",,,,,,,,,,,,,,,"217","92","798","172","5","0",,"2","F11111","11AAA11A1AAAA1",,"5",,,,,,,,,,
"1801564","2022-09-02T04:01:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,"10077",,,"8","282",,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:03:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:05:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:07:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:09:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:11:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,"10076",,,"8","280",,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:13:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:15:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:17:00","29.44","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:19:00","29.44","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:21:00","29.44","34.95",,,"1","3","2","5",,,"11",,,,,,,,,"10077",,,"8","282",,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:23:00","29.44","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:25:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:27:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:29:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:31:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,"10077",,,"8","281",,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:33:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:35:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:37:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:39:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:41:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,"10077",,,"8","282",,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","F1FF1F","1AAAA11AAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:43:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:45:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:47:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"1801564","2022-09-02T04:49:00","29.43","34.95",,,"1","3","2","5",,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"217","94","798","172","7","0",,"2","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
