"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER"
"WUSD","2022-09-01T02:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10047","3","4","8","307",,"277","267",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T02:08:00","25.40","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10033",,,"8",,,,,"9","281",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T02:09:00","25.40","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10033",,,"8",,,,,"9","281",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T02:10:00","25.40","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10033",,,"8",,,,,"9","281",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"AUFI","2022-09-01T03:00:00","24.50","59.70",,,"1","4","0","0","1","2","1","0","130","4","72",,"97","2","0","10114","1","20","0","301",,,"290",,,"3","3","0","7","0","8",,,,,,,"219","49","992","114","5","0",,"2","F11111","1111111A1A1AA1",,,"1","0",,,,,,,,,"4",,
"WDJ4009","2022-09-01T03:00:00","25.00","51.60",,,"1","5","2","5","9","0","1",,,,,,,,,"10049","3","9","8","320",,"274","259",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T03:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10051","3","6","8","305",,"274","264",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T03:09:00","25.41","59.58",,,"1","4","2","5",,,"11",,,,,,,,,"10037",,,"8",,,,,"9","281",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T03:10:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10037",,,"8",,,,,"9","281",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T04:00:00","26.30","54.00",,,"1","6","2","5","6","3","1",,"270","4","26","1","97","0","0","10010","0","0","8","340",,"290","272","7","320","2","2","1","5","4","8",,"1","2",,,,"219","64","798","172","5","1","2","2","111111","111111111111A1",,"5",,"0",,,,,,,,,,,
"WDJ4009","2022-09-01T04:00:00","25.00","51.60",,,"1","5","2","5","9","0","1",,,,,,,,,"10055","3","12","8","365",,"294","272",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F3FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T04:08:00","25.41","59.58",,,"1","4","2","5",,,"11",,,,,,,,,"10040",,,"8",,,,,"9","284",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T04:09:00","25.41","59.58",,,"1","4","2","5",,,"11",,,,,,,,,"10040",,,"8",,,,,"9","284",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T04:10:00","25.41","59.58",,,"1","4","2","5",,,"11",,,,,,,,,"10040",,,"8",,,,,"9","284",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T05:00:00","26.30","57.70",,,"1","6","2","5","6","3","1",,,,,"1","97","0","0","10010","0","0","8","340",,"290","272","7","320","2","2","1","5","4","5",,"1","2",,,,"219","67","798","172","5","1","2","2","11FF11","1A1111111117A1",,"5",,"0",,,,,,,,,,,
"V7DJ5","2022-09-01T05:00:00","25.50","54.90",,,"1","4","0","0","0","0","1","0","200","3","41",,"98","2","1","10050","0",,"0","350","0","300","283","1","330","4","4","4","5","4","4",,,,"0",,,"219","54","992","114","5","1","2","2","111111","11111111111A37",,,"1","1","0",,,,,,,,"4",,
"2300593","2022-09-01T05:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10040",,,"8",,,,,"9","287",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T06:00:00","26.30","53.50",,,"1","6","2","5","6","3","1",,"270","4","31","1","97","0","0","10010","0","0","8","340",,"290","272","7","320","2","2","1","5","4","5",,"1","2",,,,"219","63","798","172","5","1","2","2","111111","111111111111A1",,"5",,"0",,,,,,,,,,,
"TBWUK52","2022-09-01T06:00:00","26.00","51.73",,,"1","6","2","5","0","0","1",,"240",,"15","1","98","5",,"10055","2","9","8","371",,"301","277","1","340","3",,,"5",,,"0",,"0",,,,"219","61","798","172","5","1","2","2","111111","1111A1111113A1",,"5",,,,,,,,,,,,,
"V7DJ5","2022-09-01T06:00:00","25.50","54.90",,,"1","4","0","0","0","0","1","0","190","3","36",,"98","1","0","10050","0",,"0","330","0","290","276","1","330","3","3","4","5","4","5",,,,"0",,,"219","54","992","114","5","1","2","2","111111","11111111111A37",,,"1","0","0",,,,,,,,"4",,
"V7OJ5","2022-09-01T06:00:00","25.80","51.70",,,"1","6","2","5","0","0","1",,"50","4","26",,,,,"10181",,,"8","380","0","320","301","1","350",,,,,,,,,,,,,"219","51","798","172","5","0",,"2","151151","11AAA11111AAAA",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T06:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10039",,,"8",,,,,"9","292",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T07:00:00","26.30","53.30",,,"1","6","2","5","6","3","1",,"270","4","31","1","96","0","0","10010","0","0","8","350",,"300","283","7","320","2","2","1","5","4","5",,"1","2",,,,"219","63","798","172","5","1","2","2","111111","111411111111A1",,"5",,"0",,,,,,,,,,,
"V7DJ5","2022-09-01T07:00:00","25.50","54.90",,,"1","4","0","0","0","0","1","0","180","3","46",,"98","0","0","10050","0",,"0","350","0","300","283","1","330","1","1","1","5","4","1",,,,"0",,,"219","54","992","114","5","1","2","2","111111","11111111111A37",,,"1","0","0",,,,,,,,"4",,
"WDJ4009","2022-09-01T07:00:00","25.10","51.70",,,"1","5","2","5","1","1","1",,,,,,,,,"10057","0","2","8",,,,,,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F7FF14","1AAAA1999A8AA1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T07:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10061","0","1","8","343",,"289","273",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"9V6408","2022-09-01T08:00:00","26.20","53.00",,,"1","4","0","0","6","3","1","0","240","4","36",,"96","2","1","9970","0","0","0","340","0","300","287",,"320","8","8","6","6","1","7",,"1","0","0",,,"219","63","992","114","5","1","2","2","111111","11141111111131",,,"1","1","0",,,,,,,,"4",,
"V7DJ5","2022-09-01T08:00:00","25.50","54.90",,,"1","4","0","0","0","0","1","0","260","3","10",,"98","0","0","10040","5",,"0","320","0","300","293","1","330","1","1","1","4","4","5",,,,"0",,,"219","54","992","114","5","1","2","2","111111","11111111111A37",,,"1","0","0",,,,,,,,"4",,
"WDJ4009","2022-09-01T08:00:00","25.30","51.90",,,"1","5","2","5","1","2","1",,,,,,,,,"10052","8","6","8",,,,,,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F7FF16","1AAAA1999A8AA1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T08:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10055","8","6","8","347",,"290","272",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"9V6408","2022-09-01T09:00:00","26.20","52.80",,,"1","6","2","5","6","3","1",,"280","4","15","1","97","0","0","10010","0","0","8","360",,"320","308","7","340","3","3","1","5","4","5",,"1","2",,,,"219","62","798","172","5","1","2","2","111111","111111111111A1",,"5",,"0",,,,,,,,,,,
"TBWUK49","2022-09-01T09:00:00","26.48","56.58",,,"1","6","2","5","3","4","1",,"180",,"103","1","97",,,"10060","4","0","8","331",,"281","262","1","320",,,,,,,,,"2","18","10","4","219","66","798","172","5","0",,"2","111311","111AA11111A311",,"5",,,,,,,,,,,,,
"V7DJ5","2022-09-01T09:00:00","25.50","54.90",,,"1","6","2","5","9","0","1",,"300","3","26","1","97","2",,"10020",,,"8","360",,"300","280","1","330","7","7","A","4","A","A",,,,,,,"219","54","798","172","5","1","2","2","111111","1111A111111AAA",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T09:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10050","8","11","8","347",,"307","296",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"V7DJ5","2022-09-01T10:00:00","25.50","54.90",,,"1","6","2","5","9","0","1",,"300","3","26","1","97","2",,"10020",,,"8","360",,"300","280","1","330","7","7","A","4","A","A",,,,,,,"219","54","798","172","5","1","2","2","111111","1111A111111AAA",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T10:00:00","25.30","51.80",,,"1","5","2","5","9","0","1",,,,,,,,,"10045","6","15","8","346",,"309","299",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T10:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10017",,,"8",,,,,"9","309",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T11:00:00","26.10","52.40",,,"1","4","0","0","6","3","1","0","290","4","21",,"96","2","1","9970","0","0","0","340","0","300","287",,"320","8","8","6","6","1","7",,"1","0","0",,,"219","62","992","114","5","1","2","2","111111","11141111111131",,,"1","1","0",,,,,,,,"4",,
"AUYL","2022-09-01T11:00:00","24.60","58.20",,,"1","4","0","0","1","0","1","0","60","4","41",,"97","3","0","10009","7","1","0",,,,,,,"4","4","4","5","6","1",,,,,,,"219","48","992","114","5","0",,"2","F61113","1111119A9A1AA1",,,"1","1",,,,,,,,,"4",,
"V7DJ5","2022-09-01T11:00:00","25.50","54.90",,,"1","6","2","5","9","0","1",,"300","3","26","1","97","2",,,,,"8","360",,"300","279","1","330",,,"A",,"A","A",,,,,,,"219","54","798","172","5","1","2","2","1111F1","1111AA11118AAA",,"5",,,,,,,,,,,,,
"WDJ4009","2022-09-01T11:00:00","25.80","52.00",,,"1","4","0","0","8","2","1",,,,,,,,,"10036","8","16","0",,"0",,,,,,,,"A",,,,,,,,,"219","52","992","114","5","0",,"2","F7FF16","1AAAA1999A8AA1",,,"1",,,,,,,,,,"4",,
"WUSD","2022-09-01T11:00:00","25.30","51.70",,,"1","5","2","5","9","0","1",,,,,,,,,"10037","8","15","8","355",,"309","297",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T11:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T11:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T11:10:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T12:00:00","26.00","52.10",,,"1","6","2","5","6","3","1","0","320","4","31","1","97","5","4","9960","0","0","8","360",,"330","322","7","330","4","2","A","3","A","A",,"2","1",,,,"219","62","798","172","5","1","2","2","111121","111111111181A1",,"5",,"4",,,,,,,,,"1",,
"V7DJ5","2022-09-01T12:00:00","25.50","54.90",,,"1","6","2","5","9","0","1",,"300","3","26","1","97","2",,"10020",,,"8","360",,"300","280","1","330",,,"A",,"A","A",,,,,,,"219","54","798","172","5","1","2","2","111111","1111A111118AAA",,"5",,,,,,,,,,,,,
"VTMV","2022-09-01T12:00:00","25.20","56.40",,,"1","6","2","5","0","0","1",,,"4","0",,,,,"10048","0",,"8","370","0","310","291","1","360","1","1","1","1","0","0",,,,,,,"219","56","798","172","5","0",,"2","551111","12AAA111111AA7",,"5",,,,,,,,,,,,,
"WDJ4009","2022-09-01T12:00:00","25.80","51.90",,,"1","4","0","0","8","3","1",,,,,,,"10",,"10034","6","14","0",,"0",,,,,"4",,,"3",,,,,,,,,"219","51","992","114","5","1","2","2","F7FF16","1AA1A1999A1AA1",,,,,,,,,,,,,"1",,
"WUSD","2022-09-01T12:00:00","25.10","51.70",,,"1","5","2","5","5","1","1",,,,,,,,,"10032","8","15","8","356",,"301","285",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T12:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T12:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10012",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"WDJ4009","2022-09-01T13:00:00","26.10","51.80",,,"1","5","2","5","7","3","1",,,,,,,,,"10034","6","8","8",,,"297","258",,,,,"A",,"A","A",,,,,,,"219","61","798","172","5","1","2","2","F7FF11","1AAAA1666A8AA1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T13:00:00","25.00","51.70",,,"1","5","2","5","4","2","1",,,,,,,,,"10031","5","9","8","357",,"299","281",,,,,"A",,"A","A",,,,,,,"219","51","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T13:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10013",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T13:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10013",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T13:10:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10013",,,"8",,,,,"9","312",,,,,,,,,,,,,"219","59","798","172","7","1","2","2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T14:00:00","25.90","51.80",,,"1","6","2","5","5","2","1",,"320","4","31","1","97","5",,"9960","0","0","8","360",,"330","322","7","330",,,"A",,"A","A",,"3","1",,,,"219","51","798","172","5","1","2","2","111141","1111A1111181A1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T14:00:00","24.80","51.60",,,"1","5","2","5","4","2","1",,,,,,,,,"10033","5","1","8","350",,"291","272",,,,,"A",,"A","A",,,,,,,"219","41","798","172","5","1","2","2","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T14:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10014",,,"8",,,,,"9","311",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T14:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10014",,,"8",,,,,"9","311",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T15:00:00","25.90","51.90",,,"1","4","0","0","0","0","1","0","170","4","36","1","98","2","1","9980","0","0","0","300","0","280","273","7","320","4","4","4","9","4","5",,"0","1",,,,"219","51","992","114","5","1","2","1","111141","111111111111A1",,"5","1","1",,,,,,,,,"4",,
"WUSD","2022-09-01T15:00:00","24.90","51.50",,,"1","5","2","5","5","2","1",,,,,,,,,"10036","3","5","8","353",,"301","285",,,,,"A",,"A","A",,,,,,,"219","41","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T15:08:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10017",,,"8",,,,,"9","310",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T15:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10017",,,"8",,,,,"9","310",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T16:00:00","25.90","51.70",,,"1","4","0","0","0","0","1","0","180","4","36",,"98","2","1","9980","0","0","0","300","0","280","273",,"320","4","4","4","9","4","4",,"0","1",,,,"219","51","992","114","5","1","2","1","111141","111111111111A1",,,"1","1",,,,,,,,,"4",,
"WDJ4009","2022-09-01T16:00:00","26.60","51.40",,,"1","5","2","5","9",,"1",,,,,,,,,"10034","5","0","8","348",,"279","256",,,,,"A",,"A","A",,,,,,,"219","61","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"WMKA","2022-09-01T16:00:00","20.00","59.00",,,"1","5","2","5","1","4","1",,,,,,,,,"10071","3","4","8","237",,"228","224",,,,,"A",,"A","A",,,,,,,"219","9","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"WUSD","2022-09-01T16:00:00","24.90","51.50",,,"1","5","2","5","5","1","1",,,,,,,,,"10040","3","9","8","344",,"292","276",,,,,"A",,"A","A",,,,,,,"219","41","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T16:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10023",,,"8",,,,,"9","309",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V6408","2022-09-01T17:00:00","25.90","51.70",,,"1","4","0","0","0","0","1","0","190","4","36",,"98","2","1","9980","0","0","0","300","0","280","273",,"320","4","4","4","9","6","4",,"0","1",,,,"219","51","992","114","5","1","2","1","111141","111111111111A1",,,"1","1",,,,,,,,,"4",,
"TBWUK49","2022-09-01T17:00:00","24.72","57.93",,,"1","6","2","5","3","4","1",,"140",,"51","1","98","2",,"10060","1","10","8","301",,"261","244","1","310","2","2","1","6",,,,,"1",,,,"219","47","798","172","5","0",,"1","111111","1111A1111113A1",,"5",,,,,,,,,,,,,
"WMKA","2022-09-01T17:00:00","20.30","59.20",,,"1","5","2","5","1","4","1",,,,,,,,,"10075","1","10","8","236",,"228","225",,,,,"A",,"A","A",,,,,,,"219","9","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
"2300593","2022-09-01T17:09:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10027",,,"8",,,,,"9","308",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"2300593","2022-09-01T17:10:00","25.41","59.57",,,"1","4","2","5",,,"11",,,,,,,,,"10027",,,"8",,,,,"9","308",,,,,,,,,,,,,"219","59","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,,
"9V3581","2022-09-01T18:00:00","25.60","56.80",,,"1","6","2","5","4","3","1",,"210","3","51","1","97","2","1","10090","0","0","8","330",,,"261","1","310","3","3","1","5","4","5",,"2","1","17","6","1","219","56","798","172","5","0",,"1","111111","1111111A111111",,"5",,"1",,,,,,,,,,,
"9V6408","2022-09-01T18:00:00","25.90","51.70",,,"1","4","0","0","0","0","1","0","190","4","31",,"98","2","1","9980","0","0","0","300","0","280","273",,"320","4","4","4","9","6","4",,"0","1",,,,"219","51","992","114","5","1","2","1","111141","111111111111A1",,,"1","1",,,,,,,,,"4",,
"WMKA","2022-09-01T18:00:00","20.50","59.30",,,"1","5","2","5","1","4","1",,,,,,,,,"10072","0","4","8","235",,"227","223",,,,,"A",,"A","A",,,,,,,"219","9","798","172","5","1","2","1","F1FF11","1AAAA1111A8AA1",,"5",,,,,,,,,,,,,
