"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"5102623","2018-09-01T01:02:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T01:30:00","23.34","-166.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T01:30:00","26.51","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","259",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T01:31:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T02:00:00","23.35","-166.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T02:00:00","26.52","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","259",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T02:00:00","23.80","-166.30",,,"1","6","2","5","9",,"1",,"70","4","93",,,,,"10139",,,"8","262",,,"209","3","270",,,"A",,"A","A",,,,,,,"233","36","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T02:01:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T02:30:00","23.35","-166.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T02:30:00","26.52","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","259",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T02:31:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T03:00:00","23.35","-166.96",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","270",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T03:00:00","26.52","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T03:00:00","23.80","-166.40",,,"1","6","2","5","6","3","1",,"70","4","67","1","98","2","1","10140","7","11","8","265",,,"225","7","269","4","4","1","7","2","A",,"5","1","6","6","1","233","36","798","172","5","1","2","2","111111","1111111A111111",,"5",,"1",,,,,,,,
"5102623","2018-09-01T03:01:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","264",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T03:30:00","23.35","-166.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T03:30:00","26.53","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T03:31:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T04:00:00","23.36","-166.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T04:00:00","26.53","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T04:00:00","23.90","-166.70",,,"1","6","2","5","9",,"1",,"70","4","82",,,,,"10144",,,"8","266",,,"205","3","268",,,"A",,"A","A",,,,,,,"233","36","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T04:02:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T04:30:00","23.36","-166.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T04:30:00","26.53","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T04:31:00","24.50","-164.15",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T05:00:00","23.36","-166.97",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","269",,,,,,,,,,,,,"233","36","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T05:00:00","26.53","-162.00",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T05:00:00","24.00","-166.90",,,"1","6","2","5","9",,"1",,"70","4","77",,,,,"10145",,,"8","262",,,"209","3","267",,,"A",,"A","A",,,,,,,"233","46","798","172","5","1","2","2","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T05:02:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T05:30:00","23.37","-166.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T05:30:00","26.53","-162.01",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T05:32:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T06:00:00","23.37","-166.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T06:00:00","26.53","-162.01",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T06:00:00","24.00","-167.00",,,"1","6","2","5","6","3","1",,"70","4","98","1","98",,"2","10152","1","8","8","265",,,"223","7","269","5","5","2","6","A","A",,"6","2","6","6","2","233","47","798","172","5","1","2","1","111111","111A111A111111",,"5",,"2","37",,,,,,,
"5102623","2018-09-01T06:01:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T06:30:00","23.37","-166.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T06:30:00","26.53","-162.01",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T06:30:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T07:00:00","23.37","-166.98",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T07:00:00","26.53","-162.01",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","258",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T07:00:00","24.10","-167.30",,,"1","6","2","5","9",,"1",,"70","4","82",,,,,"10158",,,"8","262",,,"206","3","270",,,"A",,"A","A",,,,,,,"233","47","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T07:01:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T07:30:00","26.52","-162.01",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T07:31:00","23.38","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T07:33:00","24.50","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T08:00:00","23.38","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T08:00:00","26.52","-162.02",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T08:00:00","24.10","-167.50",,,"1","6","2","5","9",,"1",,"60","4","82",,,,,"10157",,,"8","260",,,"211","3","272",,,"A",,"A","A",,,,,,,"233","47","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T08:01:00","24.51","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T08:30:00","23.38","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T08:30:00","26.52","-162.02",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T08:33:00","24.51","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T09:00:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T09:00:00","26.51","-162.02",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T09:00:00","24.10","-167.60",,,"1","6","2","5","6","3","1",,"70","4","67","1","98",,,"10160","1","4","8","261",,,"222","7","273",,,"A",,"A","A",,"6","2","6","8","2","233","47","798","172","5","1","2","1","111111","111AA11A118111",,"5",,,,,,,,,,
"5102623","2018-09-01T09:02:00","24.51","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T09:30:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T09:30:00","26.51","-162.02",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T09:31:00","24.51","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T10:00:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T10:00:00","26.51","-162.03",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T10:00:00","24.20","-167.80",,,"1","6","2","5","9",,"1",,"80","4","82",,,,,"10162",,,"8","254",,,"214","3","271",,,"A",,"A","A",,,,,,,"233","47","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T10:01:00","24.51","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T10:30:00","26.51","-162.03",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T10:31:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","268",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T10:32:00","24.51","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T11:00:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T11:00:00","26.52","-162.03",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T11:00:00","24.30","-168.00",,,"1","6","2","5","9",,"1",,"60","4","82",,,,,"10161",,,"8","260",,,"214","3","271",,,"A",,"A","A",,,,,,,"233","48","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T11:02:00","24.52","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T11:30:00","23.39","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T11:30:00","26.52","-162.04",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T11:31:00","24.52","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","263",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T12:00:00","23.40","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T12:00:00","26.52","-162.04",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T12:00:00","24.30","-168.20",,,"1","6","2","5","9",,"1",,"60","4","77",,,,,"10155",,,"8","259",,,"202","3","271",,,"A",,"A","A",,,,,,,"233","48","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T12:01:00","24.52","-164.13",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T12:30:00","23.40","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T12:30:00","26.52","-162.04",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102623","2018-09-01T12:31:00","24.52","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T13:00:00","23.40","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102622","2018-09-01T13:00:00","26.53","-162.04",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","257",,,,,,,,,,,,,"233","62","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"WTEE","2018-09-01T13:00:00","24.30","-168.40",,,"1","6","2","5","9",,"1",,"60","4","72",,,,,"10151",,,"8","258",,,"205","3","270",,,"A",,"A","A",,,,,,,"233","48","798","172","5","1","2","1","111111","11AAA11A118AAA",,"5",,,,,,,,,,
"5102623","2018-09-01T13:01:00","24.52","-164.14",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","262",,,,,,,,,,,,,"233","44","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"5102620","2018-09-01T13:30:00","23.40","-166.99",,,"1","4","2","5",,,"11",,,,,,,,,,,,"8",,,,,"9","267",,,,,,,,,,,,,"233","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
