"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"5301504","2016-09-01T09:00:00","20.27","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10027",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T10:00:00","20.27","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10027",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T11:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10031",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T12:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10036",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8OU4","2016-09-01T12:00:00","22.00","114.20",,,"1","4","0","0","9",,,"1","0","200","4","57",,"96","10","1","10010",,,"0","300",,,,,"3","300","3","3","0","2","7","0",,"0","0",,,,"225","24","992","114","5","1","2","1","11111F","1111111AA111AA",,,"1","1",,,,,,,,,,"4"
"OWNT2","2016-09-01T12:00:00","22.40","118.40",,,"1","4","0","0","6","2","1","1","0","230","3","82",,"97","3","2","10068","0",,"0","285","0","275",,"271","1","307","4","2","5","5","8","3",,"99",,"22","3","3","225","28","992","114","5","1","2","1","111111","11111111111717",,,"1","2",,,,,,,,,,"4"
"VRDJ3","2016-09-01T12:00:00","20.30","115.00",,,"1","4","0","0","7","3","1","1","0","260","3","93",,"97","2","8","10010","0","0","0","290",,,,,"3","300","6","6","6","2","A","A",,"4","4",,,,"225","5","992","114","5","0",,"1","11111F","1111111AA111A1",,,"1","2",,,,,,,,,,"4"
"5301504","2016-09-01T13:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10040",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T14:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10040",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T15:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10040",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T16:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10042",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T17:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10032",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"C6AV5","2016-09-01T17:00:00","22.10","114.60",,,"1","4","0","0","0","0","1","1","0","230","0","70",,"97","2","1","10053","4","0","0","300",,,,,"3","308","5","5","7","2","7","A",,"5","2","18","9","2","225","24","992","114","5","0",,"1","11111F","1111111AA11111",,,"1","1",,,,,,,,,,"4"
"5301504","2016-09-01T18:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10029",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8MW9","2016-09-01T18:00:00","22.30","115.10",,,"1","4","0","0","6","2",,"1","0","230","1","70",,"98","3",,"10020","7","5","0","290","0","270",,"262",,,"2","2","1","4","A","A",,,,"0",,,"225","25","992","114","5","1","2","1","F11111","1111A1111A1A31",,,"1",,"0",,,,,,,,,"4"
"A8OU4","2016-09-01T18:00:00","22.10","114.20",,,"1","4","0","0","0","0",,"1","0","220","4","87",,"96","10","2","10016","0","4","0","290","0","260",,"249","3","300","8",,"8","4","A","A",,"10","4","0",,,"225","24","992","114","5","1","2","1","111111","11111111111131",,,"1","2","0",,,,,,,,,"4"
"ELZU3","2016-09-01T18:00:00","22.00","114.10",,,"1","4","0","0","0","0",,"1","0","230","3","57",,"96","2","1","10010","6","5","0","290","0","270",,"263","3","280","4","2","2","4","6","4",,"3","1",,,,"225","24","992","114","5","1","2","1","111111","111411111111A1",,,"1","1",,,,,,,,,,"4"
"VRDJ3","2016-09-01T18:00:00","21.10","114.90",,,"1","4","0","0","8","3","1","1","0","260","3","103",,"97","2","8","10010","4","0","0","290",,,,,"3","300",,,,"A",,,,"4","4",,,,"225","14","992","114","5","0",,"1","11111F","1111111AA181A1",,,"1","2",,,,,,,,,,"4"
"5301504","2016-09-01T19:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10027",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T20:00:00","20.27","115.04",,,"1","4","2","5",,,,"11",,,,,,,,,"10022",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T21:00:00","20.27","115.04",,,"1","4","2","5",,,,"11",,,,,,,,,"10022",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T22:00:00","20.27","115.04",,,"1","4","2","5",,,,"11",,,,,,,,,"10028",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-01T23:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10034",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T00:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10037",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8OU4","2016-09-02T00:00:00","22.00","114.20",,,"1","4","0","0","0","0",,"1","0","190","4","51",,"95","12","5","10021",,,"0","290",,,,,"3","300","4","4","6","3","7","0",,"10","1","19","10","1","225","24","992","114","5","1","2","2","11111F","1111111AA1111A",,,"1","5",,,,,,,,,,"4"
"VRDJ3","2016-09-02T00:00:00","22.20","114.50",,,"1","4","0","0","8","2","1","1","0","200","3","31",,"97","2","8","9998","4","0","0","286",,,,,"3","300","8","8","7","2","A","A",,"3","2","35","3","2","225","24","992","114","5","0",,"2","11111F","1111111AA11111",,,"1","2",,,,,,,,,,"4"
"5301504","2016-09-02T01:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10043",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T02:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10044",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T03:00:00","20.27","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10047",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T04:00:00","20.27","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10042",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T05:00:00","20.28","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10032",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8HI8","2016-09-02T05:00:00","21.90","116.90",,,"1","4","0","0","1","3",,"1","0","260","4","72",,"98","1","1","10050","8",,"0","280","0","270",,"266","3","310","5","5","5","5","6","4",,"1","2","18","1","2","225","16","992","114","5","1","2","2","111111","11111111111117",,,"1","1",,,,,,,,,,"4"
"5301504","2016-09-02T06:00:00","20.28","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10025",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8OU4","2016-09-02T06:00:00","22.10","114.20",,,"1","4","0","0","0","0",,"1","0","230","4","93",,"95","92","9","10014","0","6","0","289","0","255",,"243","3","300","8",,"7","2","A","A",,"10","4","0",,,"225","24","992","114","5","1","2","2","111111","11111111111131",,,"1","8","0",,,,,,,,,"4"
"C6DM2","2016-09-02T06:00:00","24.30","118.70",,,"1","4","0","0","5","4",,"1","0","190","4","77",,"97",,"2","10010","6","30","0","300","0","280",,"274","3","290","8","7","2","2","9","A",,"3","2","19","8","3","225","48","992","114","5","1","2","2","111111","111A1111111111",,,"1","1","19","6","2",,,,,,,"4"
"5301504","2016-09-02T07:00:00","20.29","115.05",,,"1","4","2","5",,,,"11",,,,,,,,,"10023",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T08:00:00","20.29","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10017",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T09:00:00","20.29","115.06",,,"1","4","2","5",,,,"11",,,,,,,,,"10016",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T10:00:00","20.29","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10022",,,"8",,,,,,"9","297",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T11:00:00","20.29","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10025",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T12:00:00","20.29","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10028",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"C6DM2","2016-09-02T12:00:00","24.40","118.00",,,"1","4","0","0","0","0",,"1","0","210","4","26",,"97","3","2","10020","2","20","0","280","0","260",,"253","3","290","7","6","9","5","6","3",,"5","1","38","5","2","225","48","992","114","5","1","2","1","111111","11111111111111",,,"1","2","38","4","1",,,,,,,"4"
"5301504","2016-09-02T13:00:00","20.30","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10035",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T14:00:00","20.30","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10038",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T15:00:00","20.30","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10037",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T16:00:00","20.30","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10035",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T17:00:00","20.31","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10028",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"C6AV5","2016-09-02T17:00:00","21.90","114.60",,,"1","4","0","0","0","0","1","1","0","320","0","40",,"97","62","6","10053","4","0","0","281",,,,,"3","309","7","7","7","4","7","A",,"5","2","18","10","3","225","14","992","114","5","0",,"1","11111F","1113111AA11111",,,"1","6",,,,,,,,,,"4"
"5301504","2016-09-02T18:00:00","20.31","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10025",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8MW9","2016-09-02T18:00:00","21.30","113.80",,,"1","4","0","0","4","4",,"1","0","230","1","90",,"98","2",,"10020","2","10","0","280","0","260",,"252",,,"2","2","1","4","A","A",,,,"0",,,"225","13","992","114","5","1","2","1","F11111","1111A1111A1A31",,,"1",,"0",,,,,,,,,"4"
"A8OU4","2016-09-02T18:00:00","22.10","114.20",,,"1","4","0","0","0","0",,"1","0",,"4",,,"96","63","6","10020","0","0","0","263","0","245",,"238","3","300","8",,"8","3","A","A",,"0","0","0",,,"225","24","992","114","5","1","2","1","11FF11","11111111111331",,,"1","2","0",,,,,,,,,"4"
"C6DM2","2016-09-02T18:00:00","24.20","118.60",,,"1","4","0","0","1","3",,"1","0","20","4","62",,"97","2","1","10030","1","30","0","270","0","250",,"243","3","290","6","5","1","7","2","A",,"3","2","25","8","3","225","48","992","114","5","1","2","1","111111","11111111111111",,,"1","1","22","5","2",,,,,,,"4"
"5301504","2016-09-02T19:00:00","20.32","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10022",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T20:00:00","20.33","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10017",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T21:00:00","20.33","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10021",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T22:00:00","20.34","115.07",,,"1","4","2","5",,,,"11",,,,,,,,,"10024",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-02T23:00:00","20.34","115.08",,,"1","4","2","5",,,,"11",,,,,,,,,"10026",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T00:00:00","20.33","115.09",,,"1","4","2","5",,,,"11",,,,,,,,,"10033",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"A8OU4","2016-09-03T00:00:00","22.00","114.20",,,"1","4","0","0","0","0",,"1","0","200","4","36",,"96","63","6","10020",,,"0","280",,,,,"3","300","8",,"7","2","1","0",,"0","0",,,,"225","24","992","114","5","1","2","2","11111F","1111111AA111AA",,,"1","6",,,,,,,,,,"4"
"5301504","2016-09-03T01:00:00","20.33","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10038",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T02:00:00","20.32","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10047",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T03:00:00","20.32","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10051",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T04:00:00","20.32","115.11",,,"1","4","2","5",,,,"11",,,,,,,,,"10049",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T05:00:00","20.32","115.11",,,"1","4","2","5",,,,"11",,,,,,,,,"10045",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T06:00:00","20.33","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10041",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"9V2730","2016-09-03T06:00:00","21.40","113.50",,,"1","4","0","0","8","4",,"1","0","320","3","113",,"98","16","2","10050","7",,"0","300","0","280",,"273",,,"8",,"7","3","A","A",,"4","3","32","3","3","225","13","992","114","5","1","2","2","F11111","111111111A1117",,,"1","2",,,,,,,,,,"4"
"A8OU4","2016-09-03T06:00:00","22.10","114.20",,,"1","4","0","0","9",,,"1","0","210","4","36",,"95","10","2","10020","0","0","0","320","0","310",,"307","3","300","8",,"6","2","A","A",,"99",,"0",,,"225","24","992","114","5","1","2","2","131111","11111111111731",,,"1","2","0",,,,,,,,,"4"
"5301504","2016-09-03T07:00:00","20.33","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10035",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T08:00:00","20.33","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10023",,,"8",,,,,,"9","296",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"VRDY5","2016-09-03T08:00:00","23.60","118.20",,,"1","4","0","0","5","4",,"1","0","70","3","134",,,,"2",,,"20",,,,,,,,,"4","4","7","2","A","A",,"6","4","9","6","3","225","38","992","114","5","1","2","2","FF11FF","11AA1AAAAA1117",,,"1","2",,,,,,,,,,"4"
"5301504","2016-09-03T09:00:00","20.34","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10020",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T10:00:00","20.34","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10031",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"2","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
"5301504","2016-09-03T11:00:00","20.34","115.10",,,"1","4","2","5",,,,"11",,,,,,,,,"10035",,,"8",,,,,,"9","295",,,,,,,,,,,,,"225","5","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,,,
