"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","IND_FOR_PRECIP"
"DIXJ2","2016-09-01T18:00:00","25.10","54.80",,,"1","4","0","0","0","0","1","1","0",,"3",,,"95","0","0","10013","2","4","0","303",,,"292","1","341",,,,"A",,,,,,,,,"219","54","992","114","5","1","2","1","11FF11","1114111A118AA1",,"1","0",,,,"4"
"WDE9586","2016-09-01T18:00:00","26.20","54.30",,,"1","4","0","0","2","3",,"1",,,,,,"96",,,"10010",,,"0","320","0","300","293","1","350",,,,"A",,,,,,,,,"219","64","992","114","5","0",,"1","11FF11","1A1AA111118AAA",,"1",,,,,"4"
"WMKA","2016-09-01T18:00:00","21.60","59.70",,,"1","4","0","0","8","4",,"1","0","230","4","77",,"97",,,"10010","4","0","0","240","0","220","210","1","247",,,,"A",,,,"4","1",,,,"219","19","992","114","5","1","2","1","111111","111AA1111181A1",,"1",,,,,"4"
"VQHO7","2016-09-01T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","150","3","21",,"98","2","0","10010","2","10","0","318","0","284","271","1","313","0","0","0","9","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-02T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","70","3","26",,"98","2","0","10006","6","10","0","310","0","280","269","1","307",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11111111118AA1",,"1","0",,,,"4"
"WDE9586","2016-09-02T00:00:00","26.20","55.70",,,"1","4","0","0","2","3",,"1","0","90","4","26",,"96","5",,"10000","0",,"0","330","0","310","304","1","340",,,,"A",,,,,,,,,"219","65","992","114","5","1","2","1","111111","1111A111118AA7",,"1",,,,,"4"
"VQHO7","2016-09-02T02:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","130","3","46",,"97","3","1","10019","2","1","0","308","0","286","278","1","305","5","4","A","A","0","0",,"99","1","0",,,"219","56","992","114","5","1","2","1","111111","11111111111331",,"1","1","0",,,"4"
"DIXJ2","2016-09-02T06:00:00","25.10","54.80",,,"1","4","0","0","0","0","1","1","0",,"3",,,"96","2","0","10027","2","21","0","368",,,"275","1","341","1",,"1","6","0","0",,"99",,,,,"219","54","992","114","5","1","2","2","13FF11","1114111A1117A1",,"1","0",,,,"4"
"WDE9586","2016-09-02T06:00:00","26.20","56.60",,,"1","4","0","0","4","3",,"1",,,,,,"97",,,"10030","2",,"0","330","0","290","276","1","330",,,,"A",,,,,,,,,"219","66","992","114","5","0",,"2","11FF11","1A1AA111118AA7",,"1",,,,,"4"
"WMKA","2016-09-02T06:00:00","24.20","58.40",,,"1","4","0","0","7","4",,"1","0","140","4","62",,"97","5",,"10020","4","0","0","260","0","260","260","1","330",,,,"A",,,,"3","1","11","4","2","219","48","992","114","5","1","2","2","111113","1111A111118111",,"1",,,,,"4"
"VQHO7","2016-09-02T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","150","3","36",,"97","5","0","10026","1","6","0","326","0","286","271","1","302","1","1","1","5","0","0",,,,"14","4","2","219","56","992","114","5","1","2","2","111111","11111111111A11",,"1","0",,,,"4"
"VQHO7","2016-09-02T11:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","120","3","62",,"97","5","0","10006","7","15","0","320","0","280","265","1","316","0","0","0","9","0","0",,"3","1","11","8","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","0",,,,"4"
"VQHO7","2016-09-02T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","190","3","31",,"98","2","0","10015","1","4","0","304","0","283","275","1","311","0","0","0","9","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-02T23:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0",,"3",,,"97","0","1","10014","4","0","0","300","0","275","265","1","312",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","11FF11","11111111118AA1",,"1","1",,,,"4"
"TBWUK71","2016-09-03T00:00:00","25.20","56.50",,,"1","4","0","0","0","0",,"1","0","180","3","26",,"97","2","1","10013","0","0","0","340","0","300","286",,"330","3","3","4","5","4","A",,"5","1","11","5","2","219","56","992","114","5","1","2","1","111111","11111111111111",,"1","1",,,,"4"
"VQHO7","2016-09-03T01:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","100","3","36",,"97","2","0","10020","3","1","0","303","0","283","276","1","305",,,,"A",,,,"99","1",,,,"219","56","992","114","5","1","2","1","111111","111111111183A1",,"1","0",,,,"4"
"WDE9586","2016-09-03T06:00:00","24.40","57.90",,,"1","4","0","0","3","4",,"1","0","140","4","72",,"96","5","2","10040","1",,"0","300","0","260","243","1","320","7","6","5","4","A","A",,,,,,,"219","47","992","114","5","1","2","2","111111","11111111111AA7",,"1","2",,,,"4"
"VQHO7","2016-09-03T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","120","3","31",,"97","2","2","10032","8","6","0","315","0","279","265","1","295","7","7","5","5","0","0",,"0","0","10","4","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,"4"
"TBWUK72","2016-09-03T11:00:00","26.10","55.20",,,"1","4","0","0","2","4",,"1","0","90","3","67",,"97","5","0","9990","5","20","0","370","0","370","370","1","340","0","0","0","9","0","0",,"1","0","0",,,"219","65","992","114","5","1","2","2","111113","11111116611131",,"1","0","0",,,"4"
"VQHO7","2016-09-03T11:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","100","3","62",,"97","5","0","10012","8","20","0","320","0","280","265","1","306","0","0","0","9","0","0",,"3","1","13","6","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","0",,,,"4"
"WDE9586","2016-09-03T12:00:00","23.30","59.30",,,"1","4","0","0","3","4",,"1","0","110","4","31",,"96","5","0","10013",,,"0","280","0","260","252","1","280","2","2","0","5","1","0",,"1","0","13","3","1","219","39","992","114","5","1","2","2","111111","1111111111111A",,"1","0",,,,"4"
"TBWUK50","2016-09-03T17:00:00","25.00","57.90",,,"1","4","0","0","3","4",,"1","0","130","4","51",,"98","3","1","10032","4","0","0","290","0","270","262","1","300","4","4","5","4","6","6",,"2","1",,,,"219","57","992","114","5","1","2","1","111111","111111111111A1",,"1","1",,,,"4"
"VQHO7","2016-09-03T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","140","3","26",,"98","2","0","10017","2","2","0","302","0","283","276","1","304","1","1","1","4","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-04T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","90","3","67",,"98","0","1","10019","6","10","0","305","0","290","285","1","322",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11111111118AA1",,"1","1",,,,"4"
"WDE9586","2016-09-04T00:00:00","20.40","59.10",,,"1","4","0","0","4","3",,"1","0","180","4","170",,"97","0","2","10050","1",,"0","240","0","230","225","1","250","8","8","A","A","A","A",,,,,,,"219","9","992","114","5","1","2","1","111511","11111111111AA7",,"1","2",,,,"4"
"VQHO7","2016-09-04T01:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","110","3","51",,"97","2","0","10035","3","1","0","305","0","282","274","1","294",,,,"A",,,,"99","1",,,,"219","56","992","114","5","1","2","1","111111","111111111183A1",,"1","0",,,,"4"
"9HA3489","2016-09-04T06:00:00","24.50","58.20",,,"1","4","0","0","7","3",,"1","0","60","1","60",,"97","5","1","10015","0","0","0","300",,,"260","3","340","6","5","7","2","1","8",,"3","2",,,,"219","48","992","114","5","1","2","2","311111","1111111A1111A1",,"1","1",,,,"4"
"DIXJ2","2016-09-04T06:00:00","25.50","57.00",,,"1","4","0","0","3","4","1","1","0","180","3","46",,"97","2","0","10060","2","22","0","330",,,"273","1","332","2",,"1","5","4","A",,"5","1",,,,"219","57","992","114","5","1","2","2","111111","1111111A1111A1",,"1","0",,,,"4"
"VQHO7","2016-09-04T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","170","3","31",,"98","5","0","10040","8","6","0","342","0","290","271","1","292","2","2","6","2","3","0",,"0","0","14","4","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","0",,,,"4"
"A8MW8","2016-09-04T12:00:00","24.70","59.00",,,"1","4","0","0","6","3","1","1","0","140","4","36",,"97","2","2","10060","4","0","0","310","0","280","271","3","330","5","3","4","5","4","5",,"1","1",,,,"219","49","992","114","5","1","2","2","111111","111111111111A1",,"1","2",,,,"4"
"DGXS","2016-09-04T12:00:00","20.30","59.20",,,"1","4","0","0","1","4","1","1","0","200","4","77",,"97","1","2","10060","5","7","0","275","0","237","219","1","245","8",,"6","2","2","8",,"3","2","20","7","4","219","9","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,"4"
"VQHO7","2016-09-04T12:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","90","3","51",,"97","5","0","10027","8","18","0","345","0","285","262","1","306","0","0","0","9","0","0",,"2","1","12","5","1","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","0",,,,"4"
"TBWUK74","2016-09-04T13:00:00","25.20","56.50",,,"1","4","0","0","0","0",,"1","0","180","4","36",,"98",,"2","10034","8","80","0","340","0","280","257","1","340","2","2","1","6","4","4",,"5","1",,,,"219","56","992","114","5","1","2","2","111111","111A11111111A1",,"1","2",,,,"4"
"3FEX8","2016-09-04T18:00:00","26.50","56.20",,,"1","4","0","0","6","4",,"1","0",,,,,"97","0","0","10041","1","10","0","320","0","300","293","3","300",,,"1","A","1","A",,"99","1","38",,"3","219","66","992","114","5","1","2","1","11FF11","17111111118331",,"1","0",,,,"4"
"9HA3489","2016-09-04T18:00:00","26.50","56.20",,,"1","4","0","0","5","3",,"1","0","40","1","70",,"98","5","1","10000","4","0","0","310",,,"242","3","330","4","4","A","A","A","A",,"1","1","32","3","1","219","66","992","114","5","1","2","1","111211","1111111A111111",,"1","1",,,,"4"
"A8MW8","2016-09-04T18:00:00","25.00","57.80",,,"1","4","0","0","6","3","1","1","0","260","4","46",,"97","2","1","10040","4","0","0","290","0","260","249","3","330","5","4","4","5","6","4",,"1","1",,,,"219","57","992","114","5","1","2","1","111111","111111111111A1",,"1","1",,,,"4"
"VQHO7","2016-09-04T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","190","3","26",,"98","2","0","10029","4","0","0","310","0","288","280","1","299","2","2","5","5","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,"4"
"DGXS","2016-09-05T00:00:00","23.30","59.30",,,"1","4","0","0","7","4","1","1","0",,"4",,,"97","2","0","10039","3","3","0","264","0","242","232","1","280","3","3","6","2","0","0",,,,,,,"219","39","992","114","5","1","2","1","11FF11","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-05T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","60","3","26",,"97","3","1","10032","4","0","0","310","0","290","283","1","306",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11111111118AA1",,"1","1",,,,"4"
"WMKA","2016-09-05T00:00:00","24.60","59.90",,,"1","4","0","0","2","3",,"1","0","180","4","15",,,,,"10020",,,"0","320","0","250","218","1","290",,,,"A",,,,,,,,,"219","49","992","114","5","1","2","1","111112","11AAA111118AAA",,"1",,,,,"4"
"TBWUK74","2016-09-05T04:00:00","25.20","56.50",,,"1","4","0","0","0","0",,"1","0","180","4","36",,"97",,"2","10054","3","30","0","330","0","290","276","1","340","2","2","1","5","4","5",,,,,,,"219","56","992","114","5","1","2","2","111111","111A1111111AA1",,"1","2",,,,"4"
"DGXS","2016-09-05T06:00:00","24.40","57.90",,,"1","4","0","0","7","4","1","1","0","100","4","51",,"97","3","2","10064","2","20","0","358","0","290","265","1","320","6","6","4","5","6","4",,,,"0",,,"219","47","992","114","5","1","2","2","131111","11111111111A31",,"1","2","0",,,"4"
"VQHO7","2016-09-05T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","120","3","51",,"97","5","0","10041","8","8","0","319","0","295","287","1","304","2","2","6","2","1","0",,"2","1","0",,,"219","56","992","114","5","1","2","2","111111","11111111111131",,"1","0","0",,,"4"
"A8SZ3","2016-09-05T12:00:00","21.30","59.90",,,"1","4","0","0","8","3",,"1","0","210","3","154",,"97","2","2","10060","4","0","0","270","0","250","241",,,"8","1","6","2","1","A",,"10","10","23","9","7","219","19","992","114","5","1","2","2","F11111","111111111A1111",,"1","2",,,,"4"
"DGXS","2016-09-05T12:00:00","25.40","56.80",,,"1","4","0","0","8","4","1","1","0","130","4","62",,"97","3","0","10031","5","19","0","328","0","282","265","1","330","3","3","6","2","1","0",,,,,,,"219","56","992","114","5","1","2","2","111111","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-05T12:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","150","3","51",,"97","5","0","10020","7","22","0","320","0","290","279","1","300","0","0","0","9","0","0",,"3","1","0",,,"219","56","992","114","5","1","2","2","111111","11111111111131",,"1","0","0",,,"4"
"A8MW8","2016-09-05T18:00:00","26.60","56.30",,,"1","4","0","0","6","3","1","1","0","160","4","62",,"97","2","2","10040","2","10","0","290","0","260","249","3","330","6","4","4","5","6","4",,"1","2",,,,"219","66","992","114","5","1","2","1","111111","111111111111A1",,"1","2",,,,"4"
"DGXS","2016-09-05T18:00:00","26.50","56.20",,,"1","4","0","0","5","4","1","1","0","200","4","51",,"98","2","0","10032","2","10","0","316","0","295","288","1","320","4","4","4","5","4","5",,,,,,,"219","66","992","114","5","1","2","1","111111","11111111111AA1",,"1","0",,,,"4"
"VQHO7","2016-09-05T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","100","3","26",,"98","2","2","10034","2","18","0","312","0","298","293","1","299","6","6","5","5","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","2",,,,"4"
"VQHO7","2016-09-06T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","120","3","51",,"98","2","0","10025","6","10","0","310","0","300","297","1","320",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11111111118AA1",,"1","0",,,,"4"
"TBWUK74","2016-09-06T05:00:00","25.40","56.80",,,"1","4","0","0","0","0",,"1","0","130","4","41",,"97","2","2","10061","2","15","0","310","0","280","269","1","345","6","6","7","2","A","A",,"5","1","12","14","1","219","56","992","114","5","1","2","2","311111","11111111111131",,"1","2",,,,"4"
"BATFR45","2016-09-06T08:00:00","24.40","59.80",,,"1","4","0","0","6","3",,"1","0","100","4","67",,,,,"10050","8","12","0","289",,,"249","3","299",,,,"A",,,,,,,,,"219","49","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"TBWUK77","2016-09-06T08:00:00","23.80","58.90",,,"1","4","0","0","7","4",,"1","0","50","4","51",,"96","10","0","10046","8",,"0","295","0","265","253","1","271","0","0","0","9","0","0",,"2","1",,,,"219","38","992","114","5","1","2","2","111111","111111111111A7",,"1","0",,,,"4"
"VQHO7","2016-09-06T08:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","140","3","62",,"96","5","1","10044","8","4","0","314","0","283","272","1","323","2","2","6","2","0","0",,"2","2","12","4","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","1",,,,"4"
"BATFR45","2016-09-06T09:00:00","24.50","59.50",,,"1","4","0","0","6","3",,"1","0","90","4","72",,,,,"10045","7","17","0","290",,,"257","3","297",,,,"A",,,,,,,,,"219","49","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"TBWUK77","2016-09-06T09:00:00","24.10","58.60",,,"1","4","0","0","7","4",,"1","0","70","4","87",,"97","10","0","10039","6",,"0","310","0","272","257","1","303","0","0","0","9","0","0",,"10","1","25","10","1","219","48","992","114","5","1","2","2","112111","11111111111117",,"1","0",,,,"4"
"BATFR45","2016-09-06T10:00:00","24.60","59.20",,,"1","4","0","0","6","3",,"1","0","90","4","72",,,,,"10037","8","20","0","289",,,"257","3","294",,,,"A",,,,,,,,,"219","49","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T11:00:00","24.70","59.00",,,"1","4","0","0","6","3",,"1","0","100","4","67",,,,,"10032","7","18","0","302",,,"257","3","314",,,,"A",,,,,,,,,"219","49","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T12:00:00","24.80","58.70",,,"1","4","0","0","6","3",,"1","0","100","4","67",,,,,"10028","6","17","0","319",,,"264","3","329",,,,"A",,,,,,,,,"219","48","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"VQHO7","2016-09-06T12:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","150","3","62",,"97","5","0","10019","7","22","0","315","0","280","267","1","300","3","1","6","2","1","7",,"4","1","15","5","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","0",,,,"4"
"BATFR45","2016-09-06T13:00:00","24.80","58.40",,,"1","4","0","0","6","3",,"1","0","110","4","62",,,,,"10032","5","5","0","309",,,"262","3","332",,,,"A",,,,,,,,,"219","48","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T14:00:00","24.90","58.10",,,"1","4","0","0","6","3",,"1","0","120","4","72",,,,,"10029","6","3","0","304",,,"264","3","332",,,,"A",,,,,,,,,"219","48","992","114","5","1","2","2","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T15:00:00","25.00","57.90",,,"1","4","0","0","6","3",,"1","0","120","4","67",,,,,"10032","1","4","0","299",,,"272","3","330",,,,"A",,,,,,,,,"219","57","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T16:00:00","25.10","57.60",,,"1","4","0","0","6","3",,"1","0","130","4","67",,,,,"10037","3","5","0","299",,,"274","3","322",,,,"A",,,,,,,,,"219","57","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T17:00:00","25.20","57.30",,,"1","4","0","0","6","3",,"1","0","130","4","67",,,,,"10041","3","12","0","299",,,"277","3","332",,,,"A",,,,,,,,,"219","57","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"BATFR45","2016-09-06T18:00:00","25.30","57.10",,,"1","4","0","0","6","3",,"1","0","120","4","67",,,,,"10042","1","10","0","299",,,"275","3","335",,,,"A",,,,,,,,,"219","57","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"CQIV","2016-09-06T18:00:00","20.90","59.50",,,"1","4","0","0","8","3",,"1","0","200","4","108",,"97","1","1","10060","4","0","0","230","0","220","216","3","250",,,,"A",,,,"10","5","38","10","5","219","9","992","114","5","1","2","1","111111","11111111118111",,"1","1",,,,"4"
"BATFR45","2016-09-06T19:00:00","25.40","56.80",,,"1","4","0","0","7","3",,"1","0","130","4","41",,,,,"10041","0","4","0","302",,,"279","3","339",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"C6UT5","2016-09-06T19:00:00","25.40","57.40",,,"1","4","0","0","3","4",,"1","0","130","3","77",,,"2",,"10039",,,"0","300",,,,"1","320",,,,"A",,,,"3","1",,,,"219","57","992","114","5","1","2","1","11111F","11A1A11AA181AA",,"1",,,,,"4"
"MIBR","2016-09-06T19:00:00","25.20","56.40",,,"1","4","0","0","0","0","1","1","0","140","3","51",,"97","2",,"10041","2","10","0","305","0","285","278","1","310",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","1111A111118AA1",,"1",,,,,"4"
"BATFR45","2016-09-06T20:00:00","25.50","56.60",,,"1","4","0","0","6","3",,"1","0","130","4","41",,,,,"10036","8","5","0","307",,,"287","3","334",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"VQHO7","2016-09-06T20:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","140","3","41",,"98","2","2","10036","1","8","0","307","0","283","274","1","310","6","6","5","5","0","0",,,,,,,"219","56","992","114","5","1","2","1","111111","11111111111AA1",,"1","2",,,,"4"
"BATFR45","2016-09-06T21:00:00","25.40","56.40",,,"1","4","0","0","5","1",,"1","0","130","4","36",,,,,"10036","6","6","0","309",,,"287","3","320",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","111111","11AAA11A118AA1",,"6",,,,,"4"
"VQHO7","2016-09-07T00:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","110","3","87",,"98","2","2","10032","7","8","0","305","0","270","256","1","320",,,,"A",,,,,,,,,"219","56","992","114","5","1","2","1","112111","11111111118AA1",,"1","2",,,,"4"
"CQIV","2016-09-07T06:00:00","23.20","59.50",,,"1","4","0","0","7","3",,"1","0","180","4","62",,"97","5","2","10060","4","0","0","260","0","235","225","3","260",,,,"A",,,,"10","2",,,,"219","39","992","114","5","1","2","2","111111","111111111181A1",,"1","2",,,,"4"
"CQIV","2016-09-07T12:00:00","24.10","58.60",,,"1","4","0","0","7","3",,"1","0","200","4","72",,"97","5","0","10030","6","20","0","320","0","300","294","3","300","2",,,"A",,,,"10","1","0",,,"219","48","992","114","5","1","2","2","111111","11111111111131",,"1","0","0",,,"4"
"DGXS","2016-09-07T12:00:00","26.00","55.70",,,"1","4","0","0","1","4","1","1","0","10","4","62",,"97","2","0","10007","6","13","0","344","0","282","258","1","330","3","3","6","2","4","0",,"2","1",,,,"219","65","992","114","5","1","2","2","111211","111111111111A1",,"1","0",,,,"4"
"TBWUK80","2016-09-07T12:00:00","25.20","56.50",,,"1","4","0","0","0","0",,"1","0","140","4","72",,"97","3","2","10025","6","15","0","315","0","275","259","1","331","8","2","7","7","1","A",,"3","1","0",,,"219","56","992","114","5","1","2","2","111111","11111111111131",,"1","2","0",,,"4"
"VQHO7","2016-09-07T12:00:00","25.30","56.50",,,"1","4","0","0","0","0","1","1","0","130","3","51",,"97","5","2","10021","7","18","0","306","0","268","253","1","320","6","5","6","2","1","0",,"2","1","12","4","2","219","56","992","114","5","1","2","2","111111","11111111111111",,"1","2",,,,"4"
