"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_DIR","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"4401540","2017-09-01T00:00:00","28.57","-62.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10174",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","82","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401543","2017-09-01T00:00:00","29.52","-64.51",,,"1","4","2","5",,,,"11",,,,,,,,,"10176",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"WTOI","2017-09-01T00:00:00","20.40","-68.20",,,"1","6","2","5","3","4",,"1",,,"4",,,,,,"10166","4","0","8","289",,"256","242","1","264",,,"A",,"A","A",,,,,,,"243","8","798","172","5","1","2","1","117111","11AAA111118AA1",,"5",,,,,,,,,,
"4100043","2017-09-01T00:10:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10172",,,,"287",,,"244",,,,,,,,,,,,,,,"243","14","793","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T00:10:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","10",,,,,"10183",,,,"289",,,"234","1","302",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4400843","2017-09-01T00:15:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4100043","2017-09-01T00:20:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10173",,,"8","286",,,"240",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T00:20:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","10",,,,,"10184",,,,"289",,,"234","1","303",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4100043","2017-09-01T00:30:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10174",,,"8","287",,,"237",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T00:30:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","60","1","10",,,,,"10185",,,,"289",,,"235","1","301",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4400843","2017-09-01T00:30:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4100043","2017-09-01T00:40:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"80","1","50",,,,,"10176",,,"8","287",,,"237",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T00:40:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","60","1","10",,,,,"10186",,,,"289",,,"236","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"1300871","2017-09-01T00:50:00","28.97","-69.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10186",,,"8",,,,,"9","293",,,,,,,,,,,,,"243","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T00:50:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","80","1","50",,,,,"10176",,,,"287",,,"239",,,,,,,,,,"5","1","0","11","2","243","14","793","103","6","1","2","1","F11111","11AAA11A1AA17A",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T00:50:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","10",,,,,"10186",,,,"289",,,"236","1","301",,,,,,,,"8","2","7","8","2","243","38","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,,"4"
"4100049","2017-09-01T00:50:00","27.50","-62.90",,,"1","4",,"0",,,,"11","0","330","1","30",,,,,"10178","1","7",,"288",,,"241","1","295",,,,,,,,"4","1","33","15","3","243","72","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,"4"
"3201557","2017-09-01T01:00:00","22.56","-65.44",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"243","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"3201560","2017-09-01T01:00:00","25.98","-64.27",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T01:00:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"80","1","50",,,,,"10175","3","10","8","286",,,"236",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,
"4100046","2017-09-01T01:00:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","100","1","20",,,,,"10187","3","11",,"289",,,"236","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,"4"
"4101539","2017-09-01T01:00:00","29.29","-67.88",,,"1","4","2","5",,,,"11",,,,,,,,,"10192",,,"8",,,,,"9","291",,,,,,,,,,,,,"243","97","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4201510","2017-09-01T01:00:00","23.49","-66.00",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,,"243","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201511","2017-09-01T01:00:00","26.20","-68.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,,"243","68","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201515","2017-09-01T01:00:00","25.26","-64.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4401527","2017-09-01T01:00:00","22.12","-60.60",,,"1","4","2","5",,,,"11",,,,,,,,,"10184",,,"8",,,,,"9","292",,,,,,,,,,,,,"243","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401529","2017-09-01T01:00:00","25.15","-68.49",,,"1","4","2","5",,,,"11",,,,,,,,,"10186",,,"8",,,,,"9","301",,,,,,,,,,,,,"243","58","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401540","2017-09-01T01:00:00","28.56","-62.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10176",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","82","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401543","2017-09-01T01:00:00","29.51","-64.51",,,"1","4","2","5",,,,"11",,,,,,,,,"10177",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T01:10:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"80","1","50",,,,,"10175",,,"8","286",,,"236",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T01:10:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","70","1","20",,,,,"10188",,,,"289",,,"237","1","299",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4400843","2017-09-01T01:15:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4100043","2017-09-01T01:20:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10176",,,"8","286",,,"235",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T01:20:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10188",,,,"289",,,"238","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4100043","2017-09-01T01:30:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10176",,,,"287",,,"235",,,,,,,,,,,,,,,"243","14","793","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T01:30:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","100","1","20",,,,,"10188",,,,"289",,,"237","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4400843","2017-09-01T01:30:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4100043","2017-09-01T01:40:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10175",,,"8","286",,,"234",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T01:40:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10188",,,,"289",,,"238","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"1300871","2017-09-01T01:50:00","28.97","-69.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10189",,,"8",,,,,"9","293",,,,,,,,,,,,,"243","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T01:50:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10176",,,,"286",,,"233",,,,,,,,,,"5","1","3","11","2","243","14","793","103","6","1","2","1","F11111","11AAA11A1AA11A",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T01:50:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","80","1","20",,,,,"10188",,,,"288",,,"238","1","299",,,,,,,,"9","2","8","9","2","243","38","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,,"4"
"4100049","2017-09-01T01:50:00","27.50","-62.90",,,"1","4",,"0",,,,"11","0","340","1","30",,,,,"10181","2","7",,"288",,,"243","1","295",,,,,,,,"4","1","33","14","4","243","72","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,"4"
"3201557","2017-09-01T02:00:00","22.56","-65.44",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"243","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"3201560","2017-09-01T02:00:00","25.99","-64.27",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T02:00:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10175","1","8","8","287",,,"234",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAA1",,,,,,,,,,,,
"4100046","2017-09-01T02:00:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","80","1","20",,,,,"10190","1","12",,"289",,,"240","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,"4"
"4201510","2017-09-01T02:00:00","23.50","-66.01",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"243","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201511","2017-09-01T02:00:00","26.19","-68.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","299",,,,,,,,,,,,,"243","68","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201515","2017-09-01T02:00:00","25.26","-64.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400843","2017-09-01T02:00:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4401527","2017-09-01T02:00:00","22.12","-60.59",,,"1","4","2","5",,,,"11",,,,,,,,,"10183",,,"8",,,,,"9","292",,,,,,,,,,,,,"243","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401529","2017-09-01T02:00:00","25.15","-68.49",,,"1","4","2","5",,,,"11",,,,,,,,,"10185",,,"8",,,,,"9","299",,,,,,,,,,,,,"243","58","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401540","2017-09-01T02:00:00","28.56","-62.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10177",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","82","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401543","2017-09-01T02:00:00","29.50","-64.51",,,"1","4","2","5",,,,"11",,,,,,,,,"10178",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T02:10:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10175",,,"8","286",,,"233",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T02:10:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","100","1","20",,,,,"10190",,,,"288",,,"238","1","300",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4400843","2017-09-01T02:15:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4100043","2017-09-01T02:20:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10174",,,"8","286",,,"234",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T02:20:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10188",,,,"288",,,"238","1","299",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4100043","2017-09-01T02:30:00","21.10","-64.90",,,"1","4","2","5",,,,"11",,"70","1","50",,,,,"10173",,,"8","286",,,"236",,,,,,,,,,,,,,,"243","14","798","172","6","1","2","1","F11111","11AAA11A1AAAAA",,,,,,,,,,,,
"4100046","2017-09-01T02:30:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","80","1","20",,,,,"10188",,,,"288",,,"239","1","299",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"4100043","2017-09-01T02:40:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","40",,,,,"10173",,,,"286",,,"237",,,,,,,,,,,,,,,"243","14","793","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T02:40:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10186",,,,"288",,,"238","1","299",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
"1300871","2017-09-01T02:50:00","28.97","-69.82",,,"1","4","2","5",,,,"11",,,,,,,,,"10186",,,"8",,,,,"9","293",,,,,,,,,,,,,"243","89","798","172","7","1","2","1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T02:50:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","80","1","50",,,,,"10173",,,,"286",,,"235",,,,,,,,,,"4","1","4","11","2","243","14","793","103","6","1","2","1","F11111","11AAA11A1AA11A",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T02:50:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10186",,,,"288",,,"240","1","297",,,,,,,,"8","2","7","8","2","243","38","793","103","6","1","2","1","111111","11AAA11A11A11A",,,"6",,,,,,,,,"4"
"4100049","2017-09-01T02:50:00","27.50","-62.90",,,"1","4",,"0",,,,"11","0","340","1","30",,,,,"10177","0","0",,"287",,,"244","1","295",,,,,,,,"4","1","33","14","4","243","72","793","103","6","1","2","1","111111","11AAA11A11A111",,,"6",,,,,,,,,"4"
"3201557","2017-09-01T03:00:00","22.56","-65.45",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","296",,,,,,,,,,,,,"243","25","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"3201560","2017-09-01T03:00:00","25.99","-64.28",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4100043","2017-09-01T03:00:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10173","1","3",,"286",,,"234",,,,,,,,,,,,,,,"243","14","793","103","6","1","2","1","F11111","11AAA11A1AAAA1",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T03:00:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","90","1","20",,,,,"10186","0","3",,"288",,,"241","1","298",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAA1",,,"6",,,,,,,,,"4"
"4101539","2017-09-01T03:00:00","29.27","-67.90",,,"1","4","2","5",,,,"11",,,,,,,,,"10187",,,"8",,,,,"9","290",,,,,,,,,,,,,"243","97","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4201510","2017-09-01T03:00:00","23.51","-66.02",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","297",,,,,,,,,,,,,"243","36","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201511","2017-09-01T03:00:00","26.17","-68.90",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","298",,,,,,,,,,,,,"243","68","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4201515","2017-09-01T03:00:00","25.26","-64.75",,,"1","4","2","5",,,,"11",,,,,,,,,,,,"8",,,,,"9","295",,,,,,,,,,,,,"243","54","798","172","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,
"4400843","2017-09-01T03:00:00","26.46","-66.39",,,"1","3","2","5",,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"243","66","798","172","7","1","2","1","FFFFFF","1AAAAAAAAAAAAA","4",,,,,,,,,,,
"4401527","2017-09-01T03:00:00","22.11","-60.57",,,"1","4","2","5",,,,"11",,,,,,,,,"10178",,,"8",,,,,"9","291",,,,,,,,,,,,,"243","20","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401529","2017-09-01T03:00:00","25.15","-68.48",,,"1","4","2","5",,,,"11",,,,,,,,,"10182",,,"8",,,,,"9","299",,,,,,,,,,,,,"243","58","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401540","2017-09-01T03:00:00","28.56","-62.81",,,"1","4","2","5",,,,"11",,,,,,,,,"10173",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","82","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"4401543","2017-09-01T03:00:00","29.48","-64.51",,,"1","4","2","5",,,,"11",,,,,,,,,"10174",,,"8",,,,,"9","294",,,,,,,,,,,,,"243","94","798","172","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA","4",,,,,,,,,,,
"ELZU2","2017-09-01T03:00:00","28.40","-62.20",,,"1","6","2","5","7","3",,"1",,"200","4","41","1","97","2","2","10170","4","0","8","273",,"247","236","1","290","5","5","4","5","A","A",,"3","1","36","9","3","243","82","798","172","5","1","2","1","111111","11111111111111",,"5",,"2",,,,,,,,
"4100043","2017-09-01T03:10:00","21.10","-64.90",,,"1","4",,"0",,,,"11","0","70","1","50",,,,,"10171",,,,"286",,,"236",,,,,,,,,,,,,,,"243","14","793","103","6","1","2","1","F11111","11AAA11A1AAAAA",,,"6",,,,,,,,,"4"
"4100046","2017-09-01T03:10:00","23.80","-68.40",,,"1","4",,"0",,,,"11","0","80","1","20",,,,,"10184",,,,"287",,,"239","1","298",,,,,,,,,,,,,"243","38","793","103","6","1","2","1","111111","11AAA11A11AAAA",,,"6",,,,,,,,,"4"
